Rang,Name,Allianz,Punkte
1,SNEAKY BUNNY,[AZO] AZOZ,20783450
2,haasenpeter rex,[AZO] AZOZ,20521075
3,Giorgiotown,[AZO] AZOZ,15275350
4,Fürst der Nazgûl,[AZO] AZOZ,15048225
5,joaocosta11,[AZO] AZOZ,14430820
6,JSheridan,[AZO] AZOZ,14327900
7,Kampfratze,[AZO] AZOZ,13879000
8,Fran171526,[AZO] AZOZ,13678475
9,Peridakles,[AZO] AZOZ,13670950
10,Kvothekg,[AZO] AZOZ,12911800
11,Kotor47,[AZO] AZOZ,12538575
12,SNPOL,[AZO] AZOZ,11833325
13,Azuuzz,[AZO] AZOZ,11471725
14,Jacob Carter,[AZO] AZOZ,11327300
15,Haulsen,[AZO] AZOZ,11132875
16,Kytrider,[AZO] AZOZ,11048450
17,Tyskie 66,[AZO] AZOZ,10364550
18,DooYooDoo,[AZO] AZOZ,10174500
19,Amir Yakuza,[AZO] AZOZ,9976743
20,SmartesGirl,[AZO] AZOZ,9527325
21,LUCIFER,[AZO] AZOZ,9494375
22,Irongrim,[AZO] AZOZ,9398725
23,Aenwe,[AZO] AZOZ,9144425
24,Queen from AZO,[AZO] AZOZ,9124525
25,Crossf4d3,[AZO] AZOZ,9044225
26,CalziferFire,[AZO] AZOZ,8937150
27,DiamonS,[AZO] AZOZ,8747700
28,Dejweed,[AZO] AZOZ,8570350
29,feimel,[AZO] AZOZ,8446200
30,Feivel D MauS,[AZO] AZOZ,8440025
31,Himbeertony,[AZO] AZOZ,8278825
32,zImperial,[AZO] AZOZ,8211650
33,Xamberon,[AZO] AZOZ,8091750
34,Skywölkchen,[AZO] AZOZ,8086575
35,fffeyz,[AZO] AZOZ,7958900
36,Dr Cal Lightman,[AZO] AZOZ,7944475
37,Mischel89,[AZO] AZOZ,7887496
38,Fürstin von Knolle,[AZO] AZOZ,7851075
39,jobcenter FFM,[AZO] AZOZ,7742175
40,EXITUS,[AZO] AZOZ,7685075
41,DaliborDaki,[AZO] AZOZ,7680450
42,FATUUM,[AZO] AZOZ,7627100
43,عLiM,[AZO] AZOZ,7590250
44,LosChapito,[AZO] AZOZ,7511675
45,Sphere8472,[AZO] AZOZ,7446350
46,MacRoM,[AZO] AZOZ,7424525
47,Tom12234455,[AZO] AZOZ,7397775
48,Mel Lyn,[AZO] AZOZ,7381475
49,Lady Emm,[AZO] AZOZ,7331775
50,XxGranatxX,[AZO] AZOZ,7281275
51,GaaGol,[AZO] AZOZ,7263250
52,MESCALINECIRCUS,[AZO] AZOZ,7221683
53,Dragon blou,[AZO] AZOZ,6757100
54,LatastrophenUlli,[AZO] AZOZ,6415566
55,DragonWiz,[AZO] AZOZ,6394650
56,Sultan Murat X,[AZO] AZOZ,6203975
57,Katerina77,[AZO] AZOZ,5935875
58,Marshalfregy,[AZO] AZOZ,5768549
59,ToxicV9,[AZO] AZOZ,5703100
60,K u r d o,[AZO] AZOZ,5672071
61,Flugente,[AZO] AZOZ,5591075
62,Li La LiNuS,[AZO] AZOZ,5559525
63,metauchopf,[AZO] AZOZ,5558200
64,1tukasz1,[AZO] AZOZ,5539175
65,VxClicker,[AZO] AZOZ,5465275
66,Hubi2025,[AZO] AZOZ,5370750
67,Pr0sent,[AZO] AZOZ,5360840
68,sunny75,[AZO] AZOZ,5354850
69,Lord78,[AZO] AZOZ,5313725
70,nicodu08,[AZO] AZOZ,5186225
71,Lilly187,[AZO] AZOZ,5159725
72,Z4ID,[AZO] AZOZ,4893675
73,Bestia77,[AZO] AZOZ,4687425
74,Pinsel20,[AZO] AZOZ,4521075
75,Darkweed,[AZO] AZOZ,4418475
76,SoreAss,[AZO] AZOZ,4323925
77,Ali lub,[AZO] AZOZ,4310337
78,bjian,[AZO] AZOZ,4197549
79,abo loona963,[AZO] AZOZ,4109237
80,kawaman35,[AZO] AZOZ,3710450
81,VanEricson,[AZO] AZOZ,3518300
82,War1992rior,[AZO] AZOZ,2970359
83,Last Arti,[AZO] AZOZ,2859200
84,AMJAD bd,[AZO] AZOZ,2694910
85,anaeliss,[AZO] AZOZ,2669500
86,Saladin 1998,[AZO] AZOZ,2309540
87,El Profesor 92,[AZO] AZOZ,2262500
88,The Pharo 2026,[AZO] AZOZ,2055600
89,Gedl,[AZO] AZOZ,1843650
90,AHMD54,[AZO] AZOZ,686075
