Rang,Kommandant,Allianz,Punkte
1,Li La LiNuS,AZO,47288402
2,Peridakles,AZO,46154898
3,Azuuzz,AZO,42950274
4,Jacob Carter,AZO,29149304
5,Giorgiotown,AZO,26938300
6,Xamberon,AZO,23719162
7,haasenpeter rex,AZO,22360490
8,MacRoM,AZO,21966850
9,Haulsen,AZO,19427454
10,DaliborDaki,AZO,14209002
11,SNEAKY BUNNY,AZO,14167314
12,feimel,AZO,12668736
13,Queen from AZO,AZO,12412314
14,Kotor47,AZO,12315318
15,Aenwe,AZO,12201304
16,Himbeertony,AZO,11717488
17,Amir Yakuza,AZO,11325282
18,SNPOL,AZO,11275648
19,Feivel D MauS,AZO,11254660
20,fffeyz,AZO,10949362
21,VxClicker,AZO,10936056
22,1tukasz1,AZO,10524062
23,ToxicV9,AZO,10328880
24,Skywölkchen,AZO,10304018
25,Fran171526,AZO,10091422
26,Lilly187,AZO,10063150
27,Kampfratze,AZO,9994028
28,JSheridan,AZO,9907418
29,Sphere8472,AZO,9773246
30,Pinsel20,AZO,9640596
31,Dr Cal Lightman,AZO,9332142
32,Dejweed,AZO,8989588
33,sunny75,AZO,8896546
34,Dragon blou,AZO,8634838
35,anaeliss,AZO,8600964
36,Kvothekq,AZO,8599896
37,Mischel89,AZO,8565142
38,Gedl,AZO,8562648
39,GaaGol,AZO,8550262
40,Bestia77,AZO,8197268
41,bjian,AZO,8068440
42,abo loona963,AZO,8062896
43,Tom12234455,AZO,7969158
44,LosChapito,AZO,7949930
45,Jimi777,AZO,7936954
46,Lord78,AZO,7860812
47,Kurdo,AZO,7762702
48,Fürstin von Knolle,AZO,7543084
49,DragonWiz,AZO,7540264
50,Crossf4d3,AZO,7540016
51,FATUUM,AZO,7491728
52,Fürst der Nazgûl,AZO,7464786
53,Katerina77,AZO,7367112
54,MESCALINECIRCUS,AZO,7345092
55,Marshalfery,AZO,7325324
56,SmartesGirl,AZO,7291816
57,Tyskie 66,AZO,7214296
58,Hubi2025,AZO,7201846
59,DooYooDoo,AZO,6838816
60,EXITUS,AZO,6825860
61,LatastrophenUlli,AZO,6635106
62,Pr0sent,AZO,6025440
63,عليM,AZO,5465558
64,CalziferFire,AZO,5393586
65,Flugente,AZO,5115500
66,The Pharo 2026,AZO,4998540
67,Lady Emm,AZO,4927522
68,Mel Lyn,AZO,4894604
69,nicodu08,AZO,4535930
70,Ali lub,AZO,4326830
71,Sultan Murat X,AZO,4281914
72,El Profesor 92,AZO,4131850
73,Last Arti,AZO,3932424
74,Irongrim,AZO,3819078
75,Z4ID,AZO,3729630
76,metauchopf,AZO,3622464
77,kawaman35,AZO,3496860
78,Saladin 1998,AZO,3291042
79,VanEricson,AZO,2985526
80,joaocosta11,AZO,2962224
81,AMJAD bd,AZO,2202634
82,zImperial,AZO,2177296
83,jobcenter FFM,AZO,2158326
84,AHMD54,AZO,2120816
85,Darkweed,AZO,1815136
86,XxGranatxX,AZO,1299318

