Rang,Kommandant,Allianz,Punkte
1,Li La LiNuS,AZOZ,45002110
2,Tyskie 66,AZOZ,34692494
3,Peridakles,AZOZ,33112036
4,JSheridan,AZOZ,30703724
5,Jacob Carter,AZOZ,29484598
6,Haulsen,AZOZ,28743687
7,Fran171526,AZOZ,28710204
8,Kvothekg,AZOZ,27377134
9,Crossf4d3,AZOZ,27363218
10,haasenpeter rex,AZOZ,26198084
11,Kampfratze,AZOZ,25420980
12,Schlabberbacke,AZOZ,23629210
13,Giorgiotown,AZOZ,22503482
14,Fürst der Nazgúl,AZOZ,21866264
15,EXITUS,AZOZ,21524638
16,DaliborDaki,AZOZ,21296500
17,Kotor47,AZOZ,21082834
18,Skywölkchen,AZOZ,20917270
19,Dejweed,AZOZ,20801858
20,Feivel D MauS,AZOZ,20737050
21,SNEAKY BUNNY,AZOZ,20312832
22,joaocosta11,AZOZ,19506688
23,Amir Yakuza,AZOZ,19230669
24,SmartesGirl,AZOZ,18521456
25,Xamberon,AZOZ,17458986
26,Mel Lyn,AZOZ,16665686
27,Sphere8472,AZOZ,16033518
28,TESLUX,AZOZ,15934774
29,Aenwe,AZOZ,13769324
30,FATUUM,AZOZ,13401360
31,Himbeertony,AZOZ,12783676
32,metauchopf,AZOZ,12770246
33,Bestia77,AZOZ,12483958
34,LosChapito,AZOZ,12180592
35,DooYooDoo,AZOZ,12165846
36,feimel,AZOZ,12083506
37,Sultan Murat X,AZOZ,11679780
38,Queen from AZO,AZOZ,11679146
39,Tom12234455,AZOZ,11554722
40,Jimi777,AZOZ,11446372
41,The Pharo 2026,AZOZ,11357678
42,Irongrim,AZOZ,10967852
43,jobcenter FFM,AZOZ,10612390
44,Pinsel20,AZOZ,10527776
45,Marshalfery,AZOZ,10344774
46,nicodu08,AZOZ,10301780
47,DragonWiz,AZOZ,10277260
48,sunny75,AZOZ,10218602
49,VanEricson,AZOZ,10089300
50,Lilly187,AZOZ,10087846
51,ToxicV9,AZOZ,9785240
52,LatastrophenUlli,AZOZ,9712438
53,SNPOL,AZOZ,9409962
54,Gedl,AZOZ,9269404
55,Dragon blou,AZOZ,8779422
56,Katerina77,AZOZ,8658522
57,GaaGol,AZOZ,8573584
58,Lady Emm,AZOZ,8082104
59,CalziferFire,AZOZ,8042948
60,bjian,AZOZ,7950177
61,fffeyz,AZOZ,7910210
62,anaeliss,AZOZ,7868524
63,VxClicker,AZOZ,7745330
64,Ali lub,AZOZ,7631638
65,AMJAD bd,AZOZ,7582384
66,Fürstin von Knolle,AZOZ,7350556
67,Last Arti,AZOZ,7299654
68,الحاجM,AZOZ,7275686
69,Dr Cal Lightman,AZOZ,7260184
70,MESCALINECIRCUS,AZOZ,7252000
71,K u r d o,AZOZ,7215786
72,1Łukasz1,AZOZ,7213160
73,Lord78,AZOZ,5649368
74,War1992rior,AZOZ,5313984
75,Mischel89,AZOZ,5201940
76,zImperial,AZOZ,5001785
77,Hubi2025,AZOZ,4919114
78,Pr0sent,AZOZ,3947721
79,Flugente,AZOZ,3839762
80,Darkweed,AZOZ,3814500
81,El Profesor  92,AZOZ,3736142
82,Saladin 1998,AZOZ,3066382
83,abo loona963,AZOZ,2008854
84,AHMD54,AZOZ,1521938
85,XxGranatxX,AZOZ,1384846
