
Rang,Kommandant,Allianz,Punkte
1,Li La LiNuS,AZOZ,23394550
2,JSheridan,AZOZ,22059325
3,Fürst der Nazgûl,AZOZ,17554200
4,Kotor47,AZOZ,16220075
5,Skywölkchen,AZOZ,15402825
6,haasenpeter rex,AZOZ,15331925
7,Feivel D Maus,AZOZ,14792725
8,Kvothekg,AZOZ,14743050
9,Kampfratze,AZOZ,14136955
10,Haulsen,AZOZ,13234483
11,DaliborDaki,AZOZ,12639400
12,Queen from AZO,AZOZ,12163775
13,Tyskie 66,AZOZ,12009100
14,Fürstin von Knolle,AZOZ,11825675
15,Amir Yakuza,AZOZ,11781712
16,LatastrophenUlli,AZOZ,11414425
17,Jacob Carter,AZOZ,10381075
18,Mischel89,AZOZ,10191614
19,Schlabberbacke,AZOZ,10155200
20,Lilly187,AZOZ,10151418
21,VanEricson,AZOZ,9925316
22,Crossf4d3,AZOZ,9876976
23,SNEAKY BUNNY,AZOZ,9460125
24,Giorgiotown,AZOZ,9035125
25,DooYooDoo,AZOZ,9032398
26,ToxicV9,AZOZ,8987300
27,SmartesGirl,AZOZ,8714200
28,Sphere8472,AZOZ,8544275
29,Fran171526,AZOZ,8466100
30,FATUUM,AZOZ,7927414
31,fffeyz,AZOZ,7896675
32,feimel,AZOZ,7888000
33,Last Arti,AZOZ,7834075
34,metauchopf,AZOZ,7807804
35,Himbeertony,AZOZ,7804525
36,Peridakles,AZOZ,7612275
37,joaocosta11,AZOZ,7570341
38,Dejweed,AZOZ,7533157
39,Tom12234455,AZOZ,7474727
40,Lady Emm,AZOZ,7430427
41,Mel Lyn,AZOZ,7420400
42,Aenwe,AZOZ,7352037
43,LosChapito,AZOZ,7348953
44,GaaGol,AZOZ,7270640
45,1Łukasz1,AZOZ,7268969
46,Xamberon,AZOZ,7234250
47,DragonWiz,AZOZ,7206385
48,anaeliss,AZOZ,6943285
49,عليM,AZOZ,6764850
50,SNPOL,AZOZ,6762013
51,Marshalfery,AZOZ,6590732
52,Bestia77,AZOZ,6053496
53,LatastrophenUlli,AZOZ,5429066
54,EXITUS,AZOZ,5267225
55,AHMD54,AZOZ,5113225
56,CalziferFire,AZOZ,4733575
57,bjian,AZOZ,4715751
58,Jimi777,AZOZ,4708325
59,Saladin 1998,AZOZ,4690370
60,Pr0sent,AZOZ,4588913
61,Kurdo,AZOZ,4535928
62,Katerina77,AZOZ,4254425
63,Hubi2025,AZOZ,4139000
64,TESLUX,AZOZ,4103056
65,jobcenter FFM,AZOZ,3995298
66,AMJAD bd,AZOZ,3903590
67,Dr Cal Lightman,AZOZ,3712725
68,Sultan Murat X,AZOZ,3596050
69,XxGranatxX,AZOZ,3470250
70,Ali lub,AZOZ,3381828
71,VxClicker,AZOZ,3374875
72,Flugente,AZOZ,3303301
73,Pinsel20,AZOZ,3205000
74,Dragon blou,AZOZ,3093916
75,The Pharo 2026,AZOZ,2821880
76,kawaman35,AZOZ,2812125
77,nicodu08,AZOZ,2788118
78,War1992rior,AZOZ,2620750
79,Darkweed,AZOZ,2618775
80,MESCALINECIRCUS,AZOZ,2303050
81,Gedl,AZOZ,2302900
82,abo loona963,AZOZ,1989047
83,Irongrim,AZOZ,1750000
84,zImperial,AZOZ,1448099
85,El Profesor 92,AZOZ,1442777
86,Lord78,AZOZ,1178230
