Rank,Name,Points
1,"[AZO]Kvothekg",2766449
2,"[AZO]Xambash",2725508
3,"[AZO]UMY Stern",2530078
4,"[AZO]Haulsen",2073717
5,"[AZO]Kitoisbestplsmarryme",1834797
6,"[AZO]Gordon Freimann",1738600
7,"[AZO]Kampfratze",1578286
8,"[AZO]Feivel D MauS",1532671
9,"[AZO]Lucifer",1432698
10,"[AZO]PHOENIX FOX",1201137
11,"[AZO]JSheridan",1056934
12,"[AZO]Cluster82",1047812
13,"[AZO]Skywölkchen",947018
14,"[AZO]Bugaboo",890494
15,"[AZO]Bogo und Pini",647120
16,"[AZO]azerty57",478916
17,"[AZO]Amir Yakuza",464463
18,"[AZO]Jónny666",355457
19,"[AZO]ozzy5255",261914
20,"[AZO]Hhjijjcg",241250
21,"[AZO]Jyyyyyyvhhnmll",172964
22,"[AZO]Bestia77",166260
23,"[AZO]Mac1902",165402
24,"[AZO]Christo30",35322
