rank,player,score,timestamp
1,[AZO]SNEAKY BUNNY,3866841,2026-02-20 12:30:19
2,[AZO]Azuuzz,2069671,2026-02-20 12:30:19
3,[AZO]Fran171526,1963133,2026-02-20 12:30:19
4,[AZO]EXITUS,1320188,2026-02-20 12:30:19
5,[AZO]haasenpeter rex,1152044,2026-02-20 12:30:19
6,[AZO]Kotor47,1082718,2026-02-20 12:30:19
7,[AZO]Fürst der Nazgûl,1068212,2026-02-20 12:30:19
8,[AZO]Giorgiotown,1031332,2026-02-20 12:30:19
9,[AZO]Aenwe,803937,2026-02-20 12:30:19
10,[AZO]Li La LiNuS,750830,2026-02-20 12:30:19
11,[AZO]Queen from AZO,709393,2026-02-20 12:30:19
12,[AZO]lefueT,591217,2026-02-20 12:30:19
13,[AZO]Dejweed,519603,2026-02-20 12:30:19
14,[AZO]Kytrider,402984,2026-02-20 12:30:19
15,[AZO]FATUUM,333568,2026-02-20 12:30:19
16,[AZO]1Lukasz1,223184,2026-02-20 12:30:19
17,[AZO]Dr Cal Lightman,208725,2026-02-20 12:30:19
18,[AZO]Fürstin von Knolle,182184,2026-02-20 12:30:19
19,[AZO]Jimi777,139036,2026-02-20 12:30:19
20,[AZO]jukata,121478,2026-02-20 12:30:19
