Rang,Kommandant,Rangstufe,Spendenpunkte
1,Fran171526,R3,204000
2,azerty57,R3,184850
3,cappu97,R3,87800
4,Bugab0o,R3,86650
5,Swe Sandman,R3,72400
6,Sanya Longer,R3,61350
7,sunny75,R3,60050
8,Jónny666,R3,59050
9,Hhjjjjcg,R3,58400
10,K E R S Y,R3,57700
11,LUCIFER,R3,57400
12,Gordon Freimann,R3,56750
13,jukata,R3,56200
14,Cluster82,R3,55800
15,PHOENIX FOX,R4,55650
16,Svela17,R3,54750
17,Skywölkchen,R4,54200
18,DragonWiz,R3,53800
19,Last Wolf Warrior,R4,52700
20,Haulsen,R3,52550
21,UMY Stern,R3,51600
22,haasenpeter rex,R3,51450
23,ECSI,R3,50950
24,Leijonamieli,R3,50350
25,Kpiftw,R3,50000
26,Smowy,R4,50000
27,Fürst der Nazgúl,R4,48650
28,Toby Urbex,R3,47750
29,SNPOL,R3,47350
30,Kotor47,R3,47200
31,EXITUS,R3,46100
32,Jimi777,R2,45250
33,Li La LiNuS,R3,45050
34,Dr Cal Lightman,R3,45000
35,Marshalferry,R3,44900
36,R2DrehZwo,R2,44400
37,ozzy5255,R3,44400
38,Bogo und Pini,R3,44400
39,Christo30,R3,44300
40,Dragon blou,R3,44250
41,SNEAKY BUNNY,R3,44050
42,1Łukasz1,R2,43900
43,Yama Arashi,R3,43750
44,DaliborDaki,R3,43550
45,feimel,R3,43400
46,Fürstin von Knolle,R3,43400
47,JSheridan,R4,43300
48,GaaGol,R2,43100
49,Br0nzo,R3,42650
50,lefueT,R3,42500
51,케프 부인,R3,42350
52,Pinsel20,R3,42300
53,The Pharo 2026,R2,42150
54,Crossf4d3,R3,42100
55,CalziferFire,R3,42100
56,Amir Yakuza,R3,42000
57,Giorgiotown,R3,41900
58,Last Arti,R3,41800
59,Mac1902,R3,41750
60,Queen from AZO,R4,41700
61,Jacob Carter,R3,41200
62,SmartesGirl,R4,41100
63,Cheesynator,R3,40800
64,Schlabberbacke,R5,40500
65,Bestia77,R2,40400
66,Aenwe,R3,40350
67,LatastrophenUlli,R2,40250
68,FATUUM,R2,40150
69,metauchopf,R2,39750
70,Dejweed,R3,39600
71,Sultan Murat X,R2,39000
72,Sphere8472,R3,38900
73,Himbeertony,R3,38650
74,Tom12234455,R2,38600
75,fffeyz,R3,37950
76,El Profesor 92,R2,37950
77,K u r d o,R3,36750
78,Tyskie 66,R3,36050
79,MiepStreet,R3,34600
80,Mel Lyn,R2,33850
81,yyyyyyyvhnmll,R3,33750
82,DooYooDoo,R3,33750
83,jobcenter FFM,R3,32650
84,Feivel D MauS,R4,31900
85,Kytrider,R4,31900
86,Katerina77,R3,31150
87,Lilly187,R2,30150
88,Xambash,R3,29700
89,ZIYOUD,R2,29500
90,Lieutenant Treetops,R2,26900
91,Lord78,R2,26800
92,VxClicker,R2,25100
93,kawaman35,R2,24200
94,AHMD54,R1,19950
95,Peridakles,R3,11750
96,Mischel89,R2,10550
97,MacRoM,R3,0
