Rang;Kommandant;Allianz;Punkte
1;Dr Cal Lightman;[AZO] AZOZ;11939000
2;VxClicker;[AZO] AZOZ;10792375
3;haasenpeter rex;[AZO] AZOZ;9905250
4;Bugab0o;[AZO] AZOZ;9902875
5;azerty57;[AZO] AZOZ;9856825
6;Skywölkchen;[AZO] AZOZ;9481625
7;Gordon Freimann;[AZO] AZOZ;9330000
8;fffeyz;[AZO] AZOZ;9302250
9;lefueT;[AZO] AZOZ;9018375
10;PHOENIX FOX;[AZO] AZOZ;8788325
11;Kytrider;[AZO] AZOZ;8722625
12;Feivel D MauS;[AZO] AZOZ;8183125
13;Schlabberbacke;[AZO] AZOZ;8170000
14;JSheridan;[AZO] AZOZ;8061625
15;Jacob Carter;[AZO] AZOZ;8044750
16;cappu97;[AZO] AZOZ;8030250
17;Fran171526;[AZO] AZOZ;7988000
18;Svela17;[AZO] AZOZ;7974675
19;EXITUS;[AZO] AZOZ;7963750
20;Smowy;[AZO] AZOZ;7929625
21;Kotor47;[AZO] AZOZ;7904875
22;Dejweed;[AZO] AZOZ;7877350
23;Cheesynator;[AZO] AZOZ;7851875
24;Kpiftw;[AZO] AZOZ;7845500
25;Crossf4d3;[AZO] AZOZ;7832425
26;DaliborDaki;[AZO] AZOZ;7801750
27;Aenwe;[AZO] AZOZ;7761000
28;ECSI;[AZO] AZOZ;7718875
29;Hhjjjjcg;[AZO] AZOZ;7700875
30;Marshalferry;[AZO] AZOZ;7692879
31;Fürst der Nazgûl;[AZO] AZOZ;7640375
32;R2DrehZwo;[AZO] AZOZ;7632750
33;Cluster82;[AZO] AZOZ;7628125
34;Sphere8472;[AZO] AZOZ;7609250
35;Mischel89;[AZO] AZOZ;7602694
36;jobcenter FFM;[AZO] AZOZ;7566125
37;The Pharo 2026;[AZO] AZOZ;7530240
38;Last Wolf Warrior;[AZO] AZOZ;7529975
39;SNEAKY BUNNY;[AZO] AZOZ;7508500
40;Katerina77;[AZO] AZOZ;7452000
41;Queen from AZO;[AZO] AZOZ;7423250
42;Himbeertony;[AZO] AZOZ;7410750
43;MiepStreet;[AZO] AZOZ;7403025
44;UMY Stern;[AZO] AZOZ;7400250
45;Bogo und Pini;[AZO] AZOZ;7393525
46;Haulsen;[AZO] AZOZ;7387425
47;Jimi777;[AZO] AZOZ;7349375
48;DooYooDoo;[AZO] AZOZ;7341500
49;Amir Yakuza;[AZO] AZOZ;7338210
50;Last Arti;[AZO] AZOZ;7332500
51;Xambash;[AZO] AZOZ;7327875
52;Li La LiNuS;[AZO] AZOZ;7317375
53;Leijonamieli;[AZO] AZOZ;7292625
54;Dragon blou;[AZO] AZOZ;7286575
55;Swe Sandman;[AZO] AZOZ;7264875
56;계포 부인;[AZO] AZOZ;7253675
57;Lilly187;[AZO] AZOZ;7247550
58;Bestia77;[AZO] AZOZ;7239825
59;LUCIFER;[AZO] AZOZ;7239500
60;ozzy5255;[AZO] AZOZ;7227020
61;Fürstin von Knolle;[AZO] AZOZ;7226000
62;SmartesGirl;[AZO] AZOZ;7219625
63;DragonWiz;[AZO] AZOZ;7219575
64;Pinsel20;[AZO] AZOZ;7219500
65;Tyskie 66;[AZO] AZOZ;7218750
66;Br0nzo;[AZO] AZOZ;7215375
67;Jónny666;[AZO] AZOZ;7209875
68;sunny75;[AZO] AZOZ;7208375
69;Mac1902;[AZO] AZOZ;7204875
70;Mel Lyn;[AZO] AZOZ;7204875
71;K E R S Y;[AZO] AZOZ;7203775
72;SNPOL;[AZO] AZOZ;7203575
73;Sanya Longer;[AZO] AZOZ;7203375
74;Giorgiotown;[AZO] AZOZ;7200125
75;Christo30;[AZO] AZOZ;6947000
76;FATUUM;[AZO] AZOZ;6699425
77;GaaGol;[AZO] AZOZ;6423275
78;1Łukasz1;[AZO] AZOZ;6410950
79;jukata;[AZO] AZOZ;6400875
80;metauchopf;[AZO] AZOZ;6394250
81;Yama Arashi;[AZO] AZOZ;5984125
82;Sultan Murat X;[AZO] AZOZ;5805625
83;Tom12234455;[AZO] AZOZ;5725200
84;Peridakles;[AZO] AZOZ;5340000
85;LatastrophenUlli;[AZO] AZOZ;4842575
86;feimel;[AZO] AZOZ;4799625
87;ZIYOUD;[AZO] AZOZ;4493075
88;El Profesor 92;[AZO] AZOZ;4118250
89;CalziferFire;[AZO] AZOZ;3709875
90;Toby Urbex;[AZO] AZOZ;3328850
91;Lordz8;[AZO] AZOZ;3299625
92;AHMD54;[AZO] AZOZ;3156300
93;yyyyyyvhnmll;[AZO] AZOZ;2813290
94;kawaman35;[AZO] AZOZ;2356875
95;Kurdo;[AZO] AZOZ;1853000
