Rang,Kommandant,Punkte
1,Bugab0o,73371170
2,Li La LiNus,58154626
3,lefueT,51174076
4,Last Wolf Warrior,50588802
5,JSheridan,47251034
6,UMY Stern,40691978
7,Haulsen,40475497
8,Jimi777,40106994
9,Giorgiovillage,38680424
10,Cluster82,38064134
11,Baba Basti,34716094
12,Gordon Freimann,34571542
13,SNEAKY BUNNY,34519300
14,Xambash,34430150
15,Smowy,31509114
16,haasenpeter rex,30209212
17,Dejweed,29719092
18,Fürst der Nazgûl,29687696
19,Amir Yakuza,28686278
20,SmartesGirl,27501500
21,Skywölkchen,26564596
22,RAV28,26340746
23,Tyskie 66,25479590
24,cappu97,24256594
25,Kotor47,22955380
26,Sanya Longer,22620836
27,MrSajmonn,22610360
28,FATUUM,22552560
29,Peridakles,22198000
30,sunny75,21844466
31,Lieutenant Treetops,21750604
32,DaliborDaki,21586184
33,Fran171526,21541110
34,feimel,21308176
35,Jacob Carter,21285272
36,Bogo und Pini,21151790
37,Aenwe,20699024
38,Christo30,20653086
39,KERSY,20366130
40,ECSI,19647506
41,azerty57,19442756
42,Giorgiotown,19402328
43,SamoZlo,19358138
44,2 s t y,18936194
45,Kpiftw,18813506
46,DooYooDoo,18707760
47,Swe Sandman,18101136
48,Queen from AZO,17696954
49,케포 부인,17174020
50,Last Arti,16723544
51,DragonWiz,16489054
52,Jónny666,16303088
53,Crossf4d3,16186738
54,Cheesynator,15933394
55,EXITUS,15836810
56,jukata,15780392
57,PHOENIX FOX,15613200
58,Tom12234455,15521194
59,Kurdo,15441788
60,Svela17,15413938
61,Feivel D MauS,15409772
62,Sphere8472,14981810
63,Leijonamieli,13908162
64,Elora Faye,13274626
65,Himbeertony,12934128
66,SNPOL,12510356
67,Yama Arashi,12103552
68,Toby Urbex,12038562
69,jobcenter FFM,12029018
70,Pinsel20,12007916
71,R2DrehZwo,11475180
72,Kytrider,11320344
73,Dr Cal Lightman,11033306
74,fffeyz,10712114
75,Marshalferry,10688752
76,ozzy5255,10651708
77,Katerina77,10598134
78,Lilly187,10395488
79,Mac1902,10280660
80,Hhjjjjcg,10219944
81,ZIYOUD,10178770
82,Dragon blou,9497672
83,Schlabberbacke,9352578
84,GaaGol,9287664
85,yyyyyvhhnmll,9136464
86,Sultan Murat X,8897350
87,Br0nzo,8677118
88,metauchopf,8386736
89,VxClicker,8287532
90,LatastrophenUlli,8252870
91,Mischel89,7786738
92,MiepStreet,7459060
93,The Pharo 2026,7406646
94,Bestia77,7372416
95,Mel Lyn,7285432
96,CalziferFire,7266952
97,1Łukasz1,3410978
98,El Profesor 92,3083992
