Rang,Kommandant,Punkte
1,SNEAKY BUNNY,24925977
2,Amir Yakuza,17564567
3,Kotor47,14270007
4,Bugab0o,12345632
5,Giorgiotown,10215835
6,PHOENIX FOX,10167217
7,lefueT,9756834
8,Schlabberbacke,9600538
9,Smowy,9441139
10,Last Wolf Warrior,8273488
11,RAV28,8052750
12,Li La LiNuS,7722520
13,DragonWiz,7644042
14,Cluster82,7639047
15,haasenpeter rex,7611755
16,Gordon Freimann,7594062
17,Lieutenant Treetops,7438232
18,Jacob Carter,7376353
19,iAmTed,7262093
20,JSheridan,7259694
21,SamoZlo,7230120
22,Fran171526,7213534
23,Jőnny666,6900254
24,R2DrehZwo,5292676
25,cappu97,5278321
26,Dr Cal Lightman,5093447
27,Dragon blou,5091711
28,fffeyz,4330562
29,jukata,4286558
30,KERSY,4273283
31,Dejweed,4164821
32,Fürst der Nazgúl,4044100
33,LatastrophenUlli,4038892
34,jobcenter FFM,3993566
35,Svela17,3893409
36,Baba Basti,3886260
37,Feivel D MauS,3783425
38,Hhjjjjcg,3774912
39,CalziferFire,3766893
40,feimel,3728398
41,Mac1902,3654250
42,UMY Stern,3646669
43,Haulsen,3608983
44,2 s t y,3596551
45,Kytrider,3499215
46,Queen from AZO,3388516
47,Katerina77,3310000
48,metauchopf,3309478
49,Peridakles,3262875
50,Marshalfery,3235932
51,Bestia77,3235000
52,yyyyyvhhnmll,3234453
53,Christo30,3229125
54,Z4ID,3209137
55,Toby Urbex,3208350
56,Tyskie 66,3175165
57,DooYooDoo,3161291
58,Br0nzo,3125671
59,1Łukasz1,3103375
60,MrSajmonn,3059700
61,ECSI,3010915
62,GaaGol,3004067
63,Aenwe,2998390
64,Bogo und Pini,2924752
65,DaliborDaki,2882525
66,Leijonamieli,2879885
67,The Pharo 2026,2819070
68,Sanya Longer,2803673
69,케포 부인,2794544
70,azerty57,2778500
71,Xambash,2778025
72,Crossf4d3,2635345
73,Skywölkchen,2437243
74,El Profesor 92,2419228
75,Sûgårpûff,2362295
76,SmartesGirl,2358750
77,Tom12234455,2357500
78,Elora Faye,2341625
79,EXITUS,2314750
80,Yama Arashi,2309375
81,Himbeertony,2308125
82,Pinsel20,2304908
83,Cheesynator,2303125
84,Swe Sandman,2267899
85,ozzy5255,2207085
86,Jimi777,2150000
87,Kpiftw,2150000
88,SNPOL,2122195
89,sunny75,2086625
90,Last Arti,2072375
91,Mel Lyn,2053156
92,Kurdo,2043287
93,Lilly187,2000000
94,FATUUM,1785712
95,Sultan Murat X,1727618
96,Sphere8472,1663375
97,Mischel89,1382684
98,VxClicker,1272625
99,MiepStreet,1257675
