Rang,Kommandant,Allianz,Punkte
1,Bugab0o,AZO,198714525
2,Li La LiNuS,AZO,173102249
3,UMY Stern,AZO,156543712
4,Haulsen,AZO,142996371
5,SNEAKY BUNNY,AZO,141783697
6,Baba Basti,AZO,138931176
7,Last Wolf Warrior,AZO,138919614
8,Fürst der Nazgûl,AZO,135357828
9,JSheridan,AZO,134835591
10,Cluster82,AZO,117629129
11,SmartesGirl,AZO,116561825
12,Kotor47,AZO,116008998
13,haasenpeter rex,AZO,114642718
14,Amir Yakuza,AZO,113238578
15,Gordon Freimann,AZO,113127565
16,Fran171526,AZO,111612717
17,lefueT,AZO,110891940
18,Smowy,AZO,102719239
19,iAmTed,AZO,95376714
20,Giorgiotown,AZO,95020142
21,Tyskie 66,AZO,93644875
22,Queen from AZO,AZO,92726153
23,cappu97,AZO,91234091
24,Xambash,AZO,90561097
25,Jacob Carter,AZO,89934309
26,Skywölkchen,AZO,89825877
27,feimel,AZO,85602824
28,PHOENIX FOX,AZO,83604156
29,RAV28,AZO,78469702
30,FATUUM,AZO,77737061
31,DaliborDaki,AZO,76317316
32,MrSajmonn,AZO,75754934
33,Bogo und Pini,AZO,75161466
34,K E R S Y,AZO,72613515
35,Jimi777,AZO,71896571
36,Aenwe,AZO,69093112
37,2 s t y,AZO,68696730
38,Dejweed,AZO,68592277
39,EXITUS,AZO,64334293
40,Lieutenant Treetops,AZO,64287612
41,Swe Sandman,AZO,63741516
42,Kytrider,AZO,63262459
43,DragonWiz,AZO,61580161
44,Marshalfery,AZO,60459319
45,SamoZlo,AZO,59753097
46,sunny75,AZO,59035506
47,azerty57,AZO,58771104
48,Jónny666,AZO,58684013
49,ECSI,AZO,57907492
50,Schlabberbacke,AZO,57578950
51,DooYooDoo,AZO,57414810
52,Dr Cal Lightman,AZO,57199705
53,Tom12234455,AZO,57130833
54,Last Arti,AZO,55294054
55,Crossf4d3,AZO,55244133
56,Himbeertony,AZO,54905184
57,Christo30,AZO,54629280
58,Svela17,AZO,53576698
59,Elora Faye,AZO,52449011
60,GaaGol,AZO,51623043
61,Sphere8472,AZO,50403878
62,Lilly187,AZO,50112397
63,SNPOL,AZO,49763889
64,Feivel D MauS,AZO,49321926
65,Cheesynator,AZO,49242135
66,jukata,AZO,47122071
67,Dragon blou,AZO,46809103
68,케포 부인,AZO,46672902
69,Pinsel20,AZO,46618738
70,Mel Lyn,AZO,46596857
71,fffeyz,AZO,46404489
72,Sanya Longer,AZO,46202097
73,R2DrehZwo,AZO,45291480
74,Leijonamieli,AZO,45043330
75,Peridakles,AZO,43572525
76,Hhjjjjcg,AZO,43164032
77,Kpiftw,AZO,42643334
78,Katerina77,AZO,42331159
79,metauchopf,AZO,41585167
80,jobcenter FFM,AZO,40991427
81,CalziferFire,AZO,40907466
82,Bestia77,AZO,40700735
83,K u r d o,AZO,39969494
84,ozzy5255,AZO,36963430
85,Mac1902,AZO,36645302
86,LatastrophenUlli,AZO,35697680
87,Toby Urbex,AZO,35468306
88,Mischel89,AZO,34387791
89,Br0nzo,AZO,33841285
90,Z4ID,AZO,33614851
91,The Pharo 2026,AZO,33511728
92,Sultan Murat X,AZO,32898128
93,VxClicker,AZO,32714659
94,MiepStreet,AZO,32401092
95,yyyyyyvhnnmlI,AZO,31746017
96,Yama Arashi,AZO,31077771
97,1tukasz1,AZO,26362975
98,El Profesor 92,AZO,22353142
99,Súgárpüff,AZO,10489670
