Rank,Commander,Alliance,Points
1,Last Wolf Warrior,AZOZ,31.851.858
2,Jónny666,AZOZ,21.853.362
3,Amir Yakuza,AZOZ,16.692.218
4,Dr Cal Lightman,AZOZ,14.466.636
5,DragonWiz,AZOZ,13.700.894
6,Jacob Carter,AZOZ,13.602.264
7,Cluster82,AZOZ,13.361.828
8,Giorgiotown,AZOZ,12.532.078
9,UMY Stern,AZOZ,11.637.958
10,GaaGol,AZOZ,10.889.982
11,CêrêâlKîllêr,AZOZ,10.139.086
12,Sanya Longer,AZOZ,10.092.440
13,Leijonamieli,AZOZ,9.844.852
14,Aenwe,AZOZ,9.828.010
15,Fran171526,AZOZ,9.779.332
16,Bugab0o,AZOZ,9.664.402
17,Christo30,AZOZ,9.627.706
18,fffeyz,AZOZ,9.615.516
19,Cheesynator,AZOZ,9.548.732
20,VxClicker,AZOZ,8.988.788
21,FATUUM,AZOZ,8.947.648
22,EXITUS,AZOZ,8.924.408
23,2 s t y,AZOZ,8.919.524
24,Sphere8472,AZOZ,8.874.826
25,Feivel D MauS,AZOZ,8.872.470
26,Marshalfery,AZOZ,8.808.018
27,Skywölkchen,AZOZ,8.657.776
28,Dejweed,AZOZ,8.640.972
29,Fürstin Elora Faye,AZOZ,8.533.468
30,Dragon blou,AZOZ,8.500.092
31,MiepStreet,AZOZ,8.486.000
32,Svela17,AZOZ,8.417.910
33,DaliborDaki,AZOZ,8.188.328
34,Gordon Freimann,AZOZ,8.171.074
35,cappu97,AZOZ,8.041.776
36,The Pharo 2026,AZOZ,7.929.954
37,lefueT,AZOZ,7.873.384
38,Katerina77,AZOZ,7.868.500
39,Mischel89,AZOZ,7.858.454
40,jobcenter FFM,AZOZ,7.855.014
41,Baba Basti,AZOZ,7.843.424
42,Swe Sandman,AZOZ,7.771.846
43,Lilien1999,AZOZ,7.760.030
44,Lieutenant Treetops,AZOZ,7.740.224
45,Jimi777,AZOZ,7.663.880
46,Hhjjjjcg,AZOZ,7.659.628
47,JSheridan,AZOZ,7.647.320
48,Mac1902,AZOZ,7.632.386
49,Pawelte,AZOZ,7.625.308
50,Kotor47,AZOZ,7.622.456
51,jukata,AZOZ,7.610.306
52,SNEAKY BUNNY,AZOZ,7.608.592
53,Yama Arashi,AZOZ,7.605.230
54,MrSajmonn,AZOZ,7.603.638
55,Li La LiNuS,AZOZ,7.572.682
56,Haulsen,AZOZ,7.547.296
57,Bogo und Pini,AZOZ,7.539.126
58,PHOENIX FOX,AZOZ,7.536.614
59,Sûgârpûff,AZOZ,7.532.078
60,ECSI,AZOZ,7.531.702
61,RAV28,AZOZ,7.473.804
62,Pinsel20,AZOZ,7.421.654
63,Kytrider,AZOZ,7.399.650
64,R2DrehZwo,AZOZ,7.390.538
65,KERSY,AZOZ,7.389.430
66,SamoZlo,AZOZ,7.361.794
67,ozzy5255,AZOZ,7.352.262
68,haasenpeter rex,AZOZ,7.329.742
69,Last Arti,AZOZ,7.283.602
70,Xambash,AZOZ,7.277.324
Rank,Commander,Alliance,Points
71,CalziferFire,AZOZ,7.209.992
72,Queen from AZO,AZOZ,7.207.598
73,Kpiftw,AZOZ,7.206.232
74,Smowy,AZOZ,7.137.664
75,MetauChopf,AZOZ,6.969.390
76,yyyyyyyvhnnmll,AZOZ,6.893.998
77,K u r d o,AZOZ,6.038.626
78,Schlabberbacke,AZOZ,5.950.972
79,케포 부인,AZOZ,5.847.744
80,azerty57,AZOZ,5.498.272
81,Bestia77,AZOZ,5.438.368
82,Tom12234455,AZOZ,5.314.946
83,DooYooDoo,AZOZ,5.131.368
84,Toby Urbex,AZOZ,5.012.878
85,LatastrophenUlli,AZOZ,4.956.986
86,Z4ID,AZOZ,4.435.362
87,Fürst der Nazgûl,AZOZ,4.398.568
88,feimel,AZOZ,4.087.300
89,Peridakles,AZOZ,4.068.250
90,sunny75,AZOZ,4.063.456
91,SNPOL,AZOZ,4.061.076
92,Himbeertony,AZOZ,3.818.938
93,SmartesGirl,AZOZ,3.296.150
94,iAmTed,AZOZ,3.015.052
95,Br0nzo,AZOZ,2.818.846
96,Lilly187,AZOZ,2.722.038
97,Mel Lyn,AZOZ,2.701.936
98,Tyskie 66,AZOZ,2.113.256
99,Sultan Murat X,AZOZ,1.986.300
