Rank,Player,Points
1,[AZO]Azuuzz,2537262
2,[AZO]Feivel D MauS,2183485
3,[AZO]Cluster82,1320770
4,[AZO]Jsheridan,1196180
5,[AZO]BugabOo,992059
6,[AZO]Baba Basti,743904
7,[AZO]Amir Yakuza,611373
8,[AZO]SamoZlo,535514
9,[AZO]케포 부인,481253
10,[AZO]JSnoopy,478920
11,[AZO]MrSajmonn,476052
12,[AZO]Gordon Freimann,461598
13,[AZO]RAV28,422185
14,[AZO]UMY Stern,382918
15,[AZO]DaliborDaki,349675
16,[AZO]Pawelte,345820
17,[AZO]Sanya Longer,335110
18,[AZO]Last Wolf Warrior,233430
19,[AZO]Mac1902,222064
20,[AZO]Smowy,215105
21,[AZO]fffeyz,196704
22,[AZO]azerty57,162700
23,[AZO]Bestia77,82720
24,[AZO]PHOENIX FOX,77665
25,[AZO]jukata,43307
