Rank,Name,Punkte
1,[Azo]Li La LiNuS,2871183
2,[Azo]SNEAKY BUNNY,2631492
3,[Azo]2 s t y,2324993
4,[Azo]EXITUS,1564867
5,[Azo]Giorgiotown,1186631
6,[Azo]Kytrider,1107927
7,[Azo]Fran171526,1034354
8,[Azo]Svela17,980121
9,[Azo]haasenpeter rex,753126
10,[Azo]Kotor47,726315
11,[Azo]FATUUM,676779
12,[Azo]Hhjjjjcg,640098
13,[Azo]Sügårpüff,604324
14,[Azo]CërëålKillêr,567577
15,[Azo]Aenwe,508800
16,[Azo]Bogo und Pini,450524
17,[Azo]z4lD,448397
18,[Azo]Dejweed,446996
19,[Azo]Jónny666,441893
20,[Azo]IefueT,426410
21,[Azo]Dr Cal Lightman,315566
22,[Azo]Lieutenant Treetops,261488
23,[Azo]SNPOL,231431
