Position,Rank,Kommandant,Spendenpunkte
1,R2,azerty57,105350
2,R3,cappu97,80850
3,R3,Bugab0o,75700
4,R3,Svela17,58200
5,R4,Last Wolf Warrior,57900
6,R3,Gordon Freimann,57500
7,R3,Jónny666,57300
8,R2,jukata,57200
9,R2,KERSY,55550
10,R2,Sanya Longer,54850
11,R2,Swe Sandman,54750
12,R2,ECSI,54550
13,R2,Hhjjjjcg,53750
14,R4,Smowy,52900
15,R4,Skywölkchen,52400
16,R3,DragonWiz,51400
17,R3,JSnoopy,50900
18,R3,RAV28,49200
19,R4,PHOENIX FOX,49000
20,R3,SNPOL,48450
21,R3,Cluster82,48300
22,R3,Kotor47,47800
23,R4,Fürst der Nazgúl,46500
24,R3,Fürstin Elora Faye,45800
25,R2,Toby Urbex,45250
26,R2,Aenwe,45200
27,R3,Haulsen,45050
28,R3,Dragon blou,44650
29,R2,sunny75,44450
30,R3,haasenpeter rex,44350
31,R3,lefueT,44350
32,R2,Jimi777,44300
33,R2,jobcenter FFM,44250
34,R2,Bogo und Pini,44100
35,R3,Baba Basti,43900
36,R3,fffeyz,43850
37,R2,Lieutenant Treetops,43800
38,R2,FATUUM,43750
39,R2,MrSajmonn,43750
40,R3,Jacob Carter,43600
41,R2,Sügarpüff,43550
42,R3,Peridakles,43150
43,R3,EXITUS,43100
44,R3,SNEAKY BUNNY,43100
45,R2,Leijonamieli,42950
46,R2,GaaGol,42950
47,R3,Amir Yakuza,42950
48,R4,Feivel D Maus,42800
49,R3,2 s t y,42750
50,R2,케포 부인,42350
51,R2,ozzy5255,42150
52,R3,SamoZlo,42150
53,R3,Li La LiNuS,42100
54,R3,Dr Cal Lightman,42050
55,R2,Sultan Murat X,41850
56,R3,DaliborDaki,41750
57,R2,Kpiftw,41600
58,R4,SmartesGirl,41550
59,R2,Christo30,41450
60,R4,JSheridan,41250
61,R2,Pawelte,41000
62,R1,Tyskie 66,40850
63,R2,Himbeertony,40800
64,R2,Yama Arashi,40700
65,R2,Tom12234455,40550
66,R3,CalziferFire,40550
67,R3,Bestia77,40500
68,R3,Fran171526,40100
69,R5,Queen from AZO,40050
70,R2,Mac1902,40000
71,R2,Pinsel20,40000
72,R3,MetauChopf,40000
73,R2,The Pharo 2026,39500
74,R3,Dejweed,39250
75,R3,Giorgiotown,39150
76,R2,Marshalfery,38350
77,R3,UMY Stern,38200
78,R3,Cheesynator,37950
79,R2,LatastrophenUlli,37850
80,R3,feimel,37400
81,R3,CërêålKïllêr,36600
82,R4,Kytrider,36150
83,R2,Sphere8472,35500
84,R2,Mel Lyn,34650
85,R2,K u r d o,33000
86,R2,DooYooDoo,32800
87,R1,yyyyyvhhnmll,31550
88,R3,Katerina77,31550
89,R3,Xambash,31250
90,R2,MiepStreet,30800
91,R2,iAmTed,30750
92,R2,Last Arti,30250
93,R2,R2DrehZwo,26300
94,R4,Schlabberbacke,26050
95,R2,Z4ID,23250
96,R2,Lilien1999,22550
97,R2,Mischel89,16900
98,R2,VxClicker,15050
99,R1,MacRoM,0
