Rang,Kommandant,Allianz,Punkte
1,Li La LiNuS,AZOZ,48670275
2,Bugab0o,AZOZ,35508500
3,UMY Stern,AZOZ,34567750
4,Feivel D MauS,AZOZ,34235875
5,RAV28,AZOZ,27555875
6,SmartesGirl,AZOZ,26578775
7,Gordon Freimann,AZOZ,26561100
8,JSheridan,AZOZ,25763575
9,Haulsen,AZOZ,24637350
10,Smowy,AZOZ,24541700
11,haasenpeter rex,AZOZ,23966325
12,Kytrider,AZOZ,23582800
13,Kotor47,AZOZ,21689125
14,Mel Lyn,AZOZ,21545225
15,Sphere8472,AZOZ,20878850
16,SNEAKY BUNNY,AZOZ,20777275
17,2 s t y,AZOZ,20731125
18,Jacob Carter,AZOZ,20284725
19,MrSajmonn,AZOZ,19943225
20,Baba Basti,AZOZ,19134400
21,Schlabberbacke,AZOZ,18033125
22,Fran171526,AZOZ,17842900
23,Dr Cal Lightman,AZOZ,17621500
24,Queen from AZO,AZOZ,17611350
25,cappu97,AZOZ,17601175
26,Giorgiotown,AZOZ,17419300
27,CêrêålKïllêr,AZOZ,17251925
28,sunny75,AZOZ,16610675
29,JSnoopy,AZOZ,16271100
30,Z4ID,AZOZ,16196775
31,DooYooDoo,AZOZ,15412950
32,Swe Sandman,AZOZ,14718600
33,Cluster82,AZOZ,14715975
34,Svela17,AZOZ,14654975
35,ECSI,AZOZ,13988375
36,iAmTed,AZOZ,13655950
37,K E R S Y,AZOZ,13442075
38,PHOENIX FOX,AZOZ,13420525
39,Lilien1999,AZOZ,13343625
40,fffeyz,AZOZ,13145650
41,Fürst der Nazgúl,AZOZ,12959625
42,Mischel89,AZOZ,12869697
43,CalziferFire,AZOZ,12863325
44,Bogo und Pini,AZOZ,12516775
45,SNPOL,AZOZ,12486225
46,Leijonamieli,AZOZ,12219250
47,Dejweed,AZOZ,12139650
48,DaliborDaki,AZOZ,11612825
49,Amir Yakuza,AZOZ,11457117
50,feimel,AZOZ,11443125
51,Tyskie 66,AZOZ,11299400
52,SamoZlo,AZOZ,11096525
53,DragonWiz,AZOZ,10855500
54,GaaGol,AZOZ,10723075
55,Xambash,AZOZ,10693800
56,Kpiftw,AZOZ,10427250
57,Pinsel20,AZOZ,10394325
58,lefueT,AZOZ,10350875
59,Peridakles,AZOZ,10307750
60,Skywölkchen,AZOZ,10293025
61,Dragon blou,AZOZ,10200200
62,Toby Urbex,AZOZ,9888425
63,FATUUM,AZOZ,9846375
64,Last Wolf Warrior,AZOZ,9605400
65,Aenwe,AZOZ,9518025
66,Christo30,AZOZ,9172800
67,Br0nzo,AZOZ,9157150
68,Katerina77,AZOZ,8768975
69,Cheesynator,AZOZ,8531925
70,Tom12234455,AZOZ,8502100
71,Sügarpüff,AZOZ,8338475
72,K u r d o,AZOZ,8067031
73,Fürstin Elora Faye,AZOZ,8046450
74,Pawelte,AZOZ,8011075
75,Marshalfery,AZOZ,8002872
76,Jimi777,AZOZ,7979075
77,케포 부인,AZOZ,7977150
78,Hhjjjjcg,AZOZ,7943625
79,MetauChopf,AZOZ,7779375
80,azerty57,AZOZ,7775075
81,Himbeertony,AZOZ,7723475
82,EXITUS,AZOZ,7605575
83,Lieutenant Treetops,AZOZ,7596150
84,MiepStreet,AZOZ,7595700
85,Last Arti,AZOZ,7482275
86,yyyyyyyvhhnmll,AZOZ,7404625
87,LatastrophenUlli,AZOZ,7282725
88,ozzy5255,AZOZ,7243330
89,Sultan Murat X,AZOZ,7242625
90,Mac1902,AZOZ,7204800
91,Sanya Longer,AZOZ,6643950
92,Jónny666,AZOZ,6487350
93,jobcenter FFM,AZOZ,6323200
94,The Pharo 2026,AZOZ,6044195
95,jukata,AZOZ,5799725
96,R2DrehZwo,AZOZ,5407425
97,Bestia77,AZOZ,5339425
98,Yama Arashi,AZOZ,5131225
99,VxClicker,AZOZ,3748625
