Rang,Kommandant,Allianz,Punkte
1,UMY Stern,[AZO] AZOZ,24806947
2,SNEAKY BUNNY,[AZO] AZOZ,21929256
3,Kotor47,[AZO] AZOZ,21242619
4,Amir Yakuza,[AZO] AZOZ,17428664
5,BugaB0o,[AZO] AZOZ,14680312
6,Giorgiotown,[AZO] AZOZ,13481408
7,Last Wolf Warrior,[AZO] AZOZ,11374305
8,Jacob Carter,[AZO] AZOZ,10243067
9,Smowy,[AZO] AZOZ,9923431
10,lefueT,[AZO] AZOZ,9407440
11,Cluster82,[AZO] AZOZ,8872345
12,Gordon Freimann,[AZO] AZOZ,8802244
13,RAV28,[AZO] AZOZ,8058825
14,Svela17,[AZO] AZOZ,7667087
15,JSheridan,[AZO] AZOZ,7646601
16,Feivel D MauS,[AZO] AZOZ,7549863
17,Dragon blou,[AZO] AZOZ,7471738
18,Hhjjjjcg,[AZO] AZOZ,7426783
19,Bogo und Pini,[AZO] AZOZ,7385524
20,SNPOL,[AZO] AZOZ,7381246
21,MrSajmonn,[AZO] AZOZ,7313945
22,케포 부인,[AZO] AZOZ,7313890
23,cappu97,[AZO] AZOZ,7296905
24,Lieutenant Treetops,[AZO] AZOZ,7278547
25,SamoZlo,[AZO] AZOZ,7249088
26,Sanya Longer,[AZO] AZOZ,7245904
27,ECSI,[AZO] AZOZ,7233670
28,Dr Cal Lightman,[AZO] AZOZ,7225891
29,Jónny666,[AZO] AZOZ,7225001
30,Fran171526,[AZO] AZOZ,7215455
31,Sügarpüff,[AZO] AZOZ,7205952
32,Fürstin Elora Faye,[AZO] AZOZ,6685858
33,Haulsen,[AZO] AZOZ,5650949
34,Sultan Murat X,[AZO] AZOZ,5546997
35,The Pharo 2026,[AZO] AZOZ,5179490
36,Tyskie 66,[AZO] AZOZ,4696118
37,CalziferFire,[AZO] AZOZ,4622522
38,Baba Basti,[AZO] AZOZ,4592970
39,K E R S Y,[AZO] AZOZ,4592875
40,CërëålKillër,[AZO] AZOZ,4574605
41,PHOENIX FOX,[AZO] AZOZ,4544373
42,VxClicker,[AZO] AZOZ,4328224
43,Kytrider,[AZO] AZOZ,4320948
44,Li La LiNuS,[AZO] AZOZ,4212236
45,haasenpeter rex,[AZO] AZOZ,4069510
46,Fürst der Nazgûl,[AZO] AZOZ,3960750
47,Mel Lyn,[AZO] AZOZ,3875040
48,Pawelte,[AZO] AZOZ,3844468
49,ozzy5255,[AZO] AZOZ,3750805
50,DragonWiz,[AZO] AZOZ,3745419
51,Kpiftw,[AZO] AZOZ,3741095
52,MetauChopf,[AZO] AZOZ,3730665
53,JSnoopy,[AZO] AZOZ,3726323
54,Christo30,[AZO] AZOZ,3702875
55,jukata,[AZO] AZOZ,3668304
56,Himbeertony,[AZO] AZOZ,3668222
57,Queen from AZO,[AZO] AZOZ,3648427
58,Dejweed,[AZO] AZOZ,3638041
59,Mac1902,[AZO] AZOZ,3628510
60,Xambash,[AZO] AZOZ,3371824
61,Marshalfery,[AZO] AZOZ,3294747
62,Tom12234455,[AZO] AZOZ,3288125
63,Skywölkchen,[AZO] AZOZ,3272734
64,DaliborDaki,[AZO] AZOZ,3267132
65,feimel,[AZO] AZOZ,3247145
66,azerty57,[AZO] AZOZ,2956750
67,Swe Sandman,[AZO] AZOZ,2950675
68,Katerina77,[AZO] AZOZ,2901250
69,Peridakles,[AZO] AZOZ,2825000
70,LatastrophenUlli,[AZO] AZOZ,2688003
71,jobcenter FFM,[AZO] AZOZ,2662784
72,Cheesynator,[AZO] AZOZ,2639500
73,fffeyz,[AZO] AZOZ,2529125
74,Pinsel20,[AZO] AZOZ,2525625
75,Yama Arashi,[AZO] AZOZ,2450750
76,Aenwe,[AZO] AZOZ,2399316
77,Z4ID,[AZO] AZOZ,2364844
78,iAmTed,[AZO] AZOZ,2315980
79,EXITUS,[AZO] AZOZ,2303125
80,Sphere8472,[AZO] AZOZ,2301125
81,GaaGol,[AZO] AZOZ,2300625
82,FATUUM,[AZO] AZOZ,2237112
83,Schlabberbacke,[AZO] AZOZ,2212785
84,Last Arti,[AZO] AZOZ,2185926
85,yyyyyyvhhnmll,[AZO] AZOZ,2154203
86,SmartesGirl,[AZO] AZOZ,2150000
87,DooYooDoo,[AZO] AZOZ,2150000
88,sunny75,[AZO] AZOZ,2074280
89,Jimi777,[AZO] AZOZ,2053500
90,2 s t y,[AZO] AZOZ,2000000
91,Bestia77,[AZO] AZOZ,2000000
92,Kurdo,[AZO] AZOZ,1850000
93,Mischel89,[AZO] AZOZ,1797714
94,Toby Urbex,[AZO] AZOZ,1789122
95,Leijonamieli,[AZO] AZOZ,1700000
96,MiepStreet,[AZO] AZOZ,1350000
97,R2DrehZwo,[AZO] AZOZ,1192208
