Rang,Kommandant,Allianz,Punkte
1,MrSajmonn,[AZO] AZOZ,17337625
2,RAV28,[AZO] AZOZ,15106875
3,MiepStreet,[AZO] AZOZ,14426250
4,UMY Stern,[AZO] AZOZ,14105125
5,Li La LiNuS,[AZO] AZOZ,13853375
6,Fran171526,[AZO] AZOZ,13203625
7,Bugab0o,[AZO] AZOZ,13067500
8,Bogo und Pini,[AZO] AZOZ,13025125
9,jobcenter FFM,[AZO] AZOZ,12562375
10,Kotor47,[AZO] AZOZ,12341375
11,Sphere8472,[AZO] AZOZ,12110500
12,Fürst der Nazgûl,[AZO] AZOZ,11226500
13,Peridakles,[AZO] AZOZ,11226500
14,CalziferFire,[AZO] AZOZ,10956125
15,feimel,[AZO] AZOZ,10728250
16,lefueT,[AZO] AZOZ,10572625
17,SNEAKY BUNNY,[AZO] AZOZ,10416250
18,supi pupi,[AZO] AZOZ,10301000
19,Kytrider,[AZO] AZOZ,10200875
20,sunny75,[AZO] AZOZ,10198375
21,Baba Basti,[AZO] AZOZ,10188625
22,Christo30,[AZO] AZOZ,9892375
23,Mel Lyn,[AZO] AZOZ,9873000
24,Giorgiotown,[AZO] AZOZ,9834000
25,MG Mayo,[AZO] AZOZ,9788750
26,Jacob Carter,[AZO] AZOZ,9776750
27,Last Wolf Warrior,[AZO] AZOZ,9642125
28,MetauChopf,[AZO] AZOZ,9633125
29,Schlabberbacke,[AZO] AZOZ,9585500
30,Haulsen,[AZO] AZOZ,9521450
31,JSheridan,[AZO] AZOZ,9431250
32,Lilien1999,[AZO] AZOZ,9388875
33,Xambash,[AZO] AZOZ,9326250
34,cappu97,[AZO] AZOZ,9099000
35,Tyskie 66,[AZO] AZOZ,9087625
36,Pawelte,[AZO] AZOZ,9009375
37,fffeyz,[AZO] AZOZ,8987875
38,ozzy5255,[AZO] AZOZ,8952760
39,Jónny666,[AZO] AZOZ,8950375
40,Cheesynator,[AZO] AZOZ,8903750
41,DragonWiz,[AZO] AZOZ,8766125
42,Dr Cal Lightman,[AZO] AZOZ,8734375
43,DaliborDaki,[AZO] AZOZ,8733125
44,KERSY,[AZO] AZOZ,8557375
45,DooYooDoo,[AZO] AZOZ,8518600
46,CéréälKiller,[AZO] AZOZ,8508550
47,Queen from AZO,[AZO] AZOZ,8485625
48,Himbeertony,[AZO] AZOZ,8437375
49,SNPOL,[AZO] AZOZ,8220000
50,Skywölkchen,[AZO] AZOZ,8171375
51,Süßgärpüff,[AZO] AZOZ,8101250
52,Tom12234455,[AZO] AZOZ,8089375
53,Jimi777,[AZO] AZOZ,8088375
54,2 s t y,[AZO] AZOZ,8065875
55,PHOENIX FOX,[AZO] AZOZ,7953625
56,Marshalfery,[AZO] AZOZ,7928332
57,SamoZlo,[AZO] AZOZ,7903800
58,Feivel D MauS,[AZO] AZOZ,7890500
59,Bestia77,[AZO] AZOZ,7862500
60,Dejweed,[AZO] AZOZ,7801500
61,ECSI,[AZO] AZOZ,7788000
62,Smowy,[AZO] AZOZ,7733000
63,Yama Arashi,[AZO] AZOZ,7681750
64,Last Arti,[AZO] AZOZ,7655375
65,Fürstin Elora Faye,[AZO] AZOZ,7640000
66,Hhjjjjcg,[AZO] AZOZ,7612650
67,Swe Sandman,[AZO] AZOZ,7549750
68,The Pharo 2026,[AZO] AZOZ,7487140
69,Amir Yakuza,[AZO] AZOZ,7456297
70,SmartesGirl,[AZO] AZOZ,7383625
71,jukata,[AZO] AZOZ,7369625
72,Sultan Murat X,[AZO] AZOZ,7365875
73,Kpiftw,[AZO] AZOZ,7361875
74,Leijonamieli,[AZO] AZOZ,7339625
75,Gordon Freimann,[AZO] AZOZ,7339125
76,Svela17,[AZO] AZOZ,7334000
77,Dragon blou,[AZO] AZOZ,7323775
78,Cluster82,[AZO] AZOZ,7295625
79,GaaGol,[AZO] AZOZ,7266100
80,haasenpeter rex,[AZO] AZOZ,7251250
81,계포 부인,[AZO] AZOZ,7214650
82,Pinsel20,[AZO] AZOZ,7209875
83,EXITUS,[AZO] AZOZ,7209125
84,azerty57,[AZO] AZOZ,6977125
85,Z4ID,[AZO] AZOZ,6708750
86,VxClicker,[AZO] AZOZ,6488750
87,Katerina77,[AZO] AZOZ,5783125
88,Mischel89,[AZO] AZOZ,5651794
89,Mac1902,[AZO] AZOZ,5409000
90,yyyyyyvhnnml,[AZO] AZOZ,4652750
91,LatastrophenUlli,[AZO] AZOZ,4541100
92,Toby Urbex,[AZO] AZOZ,4532000
93,Kurdo,[AZO] AZOZ,4367520
94,Aenwe,[AZO] AZOZ,3748500
95,FATUUM,[AZO] AZOZ,3070200
