Position,Kommandant,Allianz,Punkte
1,Gordon Freimann,[AZO] AZOZ,31683575
2,Fürst der Nazgûl,[AZO] AZOZ,25027700
3,RAV28,[AZO] AZOZ,22626625
4,SNEAKY BUNNY,[AZO] AZOZ,22353775
5,Li La LiNuS,[AZO] AZOZ,22224400
6,JSheridan,[AZO] AZOZ,21484800
7,Baba Basti,[AZO] AZOZ,20673175
8,SNPOL,[AZO] AZOZ,19411375
9,Queen from AZO,[AZO] AZOZ,19029150
10,Haulsen,[AZO] AZOZ,17742527
11,Kotor47,[AZO] AZOZ,17659775
12,Skywölkchen,[AZO] AZOZ,16713025
13,Feivel D MauS,[AZO] AZOZ,16404525
14,Smowy,[AZO] AZOZ,16250075
15,Last Wolf Warrior,[AZO] AZOZ,15204525
16,Giorgiotown,[AZO] AZOZ,14990675
17,Bugab0o,[AZO] AZOZ,14904050
18,Fran171526,[AZO] AZOZ,14327300
19,2 s t y,[AZO] AZOZ,14260250
20,haasenpeter rex,[AZO] AZOZ,14105625
21,Tom12234455,[AZO] AZOZ,13467752
22,CalziferFire,[AZO] AZOZ,12980650
23,Jónny666,[AZO] AZOZ,12894375
24,supi pupi,[AZO] AZOZ,12860050
25,Dejweed,[AZO] AZOZ,12822850
26,SmartesGirl,[AZO] AZOZ,12664875
27,UMY Stern,[AZO] AZOZ,11940500
28,lefueT,[AZO] AZOZ,11342775
29,cappu97,[AZO] AZOZ,11320175
30,PHOENIX FOX,[AZO] AZOZ,10938025
31,MetauChopf,[AZO] AZOZ,10836975
32,sunny75,[AZO] AZOZ,10741700
33,Lilien1999,[AZO] AZOZ,10620775
34,DaliborDaki,[AZO] AZOZ,10393325
35,Kytrider,[AZO] AZOZ,10161375
36,Sphere8472,[AZO] AZOZ,10090325
37,Aenwe,[AZO] AZOZ,10069225
38,MrSajmonn,[AZO] AZOZ,9916925
39,fffeyz,[AZO] AZOZ,9897475
40,Tyskie 66,[AZO] AZOZ,9792275
41,DragonWiz,[AZO] AZOZ,9732900
42,Dr Cal Lightman,[AZO] AZOZ,9282775
43,Jimi777,[AZO] AZOZ,9220950
44,feimel,[AZO] AZOZ,9148175
45,Bogo und Pini,[AZO] AZOZ,9051851
46,Christo30,[AZO] AZOZ,8933725
47,Schlabberbacke,[AZO] AZOZ,8843650
48,Fürstin Elora,[AZO] AZOZ,8722350
49,Mischel89,[AZO] AZOZ,8697686
50,CèrèâlKillèr,[AZO] AZOZ,8570862
51,azerty57,[AZO] AZOZ,8491711
52,Bestia77,[AZO] AZOZ,8476032
53,Cluster82,[AZO] AZOZ,8321150
54,Sūgarpüff,[AZO] AZOZ,8229000
55,Himbeertony,[AZO] AZOZ,8225575
56,Dragon blou,[AZO] AZOZ,8168936
57,Last Arti,[AZO] AZOZ,8092175
58,FATUUM,[AZO] AZOZ,7908875
59,Jacob Carter,[AZO] AZOZ,7751000
60,MG Mayo,[AZO] AZOZ,7669583
61,Mac1902,[AZO] AZOZ,7661650
62,Xambash,[AZO] AZOZ,7619700
63,Katerina77,[AZO] AZOZ,7537425
64,Svela17,[AZO] AZOZ,7514475
65,SamoZlo,[AZO] AZOZ,7497062
66,Sanya Longer,[AZO] AZOZ,7376750
67,ECSI,[AZO] AZOZ,7371075
68,Mel Lyn,[AZO] AZOZ,7284125
69,jukata,[AZO] AZOZ,7209400
70,계포 부인,[AZO] AZOZ,7204149
71,K u r d o,[AZO] AZOZ,6979194
72,Peridakles,[AZO] AZOZ,6811250
73,Marshalfery,[AZO] AZOZ,6698481
74,Kpiftw,[AZO] AZOZ,6289450
75,LatastrophenUlli,[AZO] AZOZ,6250258
76,Pawelte,[AZO] AZOZ,5851175
77,K E R S Y,[AZO] AZOZ,5821902
78,Swe Sandman,[AZO] AZOZ,5805375
79,Toby Urbex,[AZO] AZOZ,5629200
80,Pinsel20,[AZO] AZOZ,5402925
81,DooYooDoo,[AZO] AZOZ,5310083
82,Hhjjjjcg,[AZO] AZOZ,5104993
83,Cheesynator,[AZO] AZOZ,4822375
84,ozzy5255,[AZO] AZOZ,4726045
85,EXITUS,[AZO] AZOZ,4654000
86,Z4ID,[AZO] AZOZ,4054913
87,GaaGol,[AZO] AZOZ,4042694
88,VxClicker,[AZO] AZOZ,3897000
89,Yama Arashi,[AZO] AZOZ,3831725
90,MiepStreet,[AZO] AZOZ,3823850
91,Sultan Murat X,[AZO] AZOZ,3746850
92,jobcenter FFM,[AZO] AZOZ,3353083
93,The Pharo 2026,[AZO] AZOZ,3248208
94,yyyyyyvhhnmll,[AZO] AZOZ,3233130
95,Leijonamieli,[AZO] AZOZ,2624300
