Position,Name,Allianz,Punkte
1,Kotor47,[AZO] AZOZ,16810167
2,Giorgiotown,[AZO] AZOZ,13958031
3,UMY Stern,[AZO] AZOZ,13250568
4,RAV28,[AZO] AZOZ,10355126
5,SNEAKY BUNNY,[AZO] AZOZ,9307401
6,Kytrider,[AZO] AZOZ,9260474
7,SNPOL,[AZO] AZOZ,9151061
8,Smowy,[AZO] AZOZ,9005265
9,Gordon Freimann,[AZO] AZOZ,8832078
10,Fran171526,[AZO] AZOZ,8825039
11,Schlabberbacke,[AZO] AZOZ,8821225
12,Bugab0o,[AZO] AZOZ,8643532
13,Jónny666,[AZO] AZOZ,8488816
14,supi pupi,[AZO] AZOZ,8172448
15,Last Wolf Warrior,[AZO] AZOZ,7643786
16,Kpiftw,[AZO] AZOZ,7503584
17,Cluster82,[AZO] AZOZ,7451655
18,Baba Basti,[AZO] AZOZ,7393480
19,Li La LiNuS,[AZO] AZOZ,7358211
20,JSheridan,[AZO] AZOZ,7313443
21,Svela17,[AZO] AZOZ,7282067
22,Dragon blou,[AZO] AZOZ,7279756
23,PHOENIX FOX,[AZO] AZOZ,7247202
24,Skywölkchen,[AZO] AZOZ,6905623
25,sunny75,[AZO] AZOZ,6708250
26,Tyskie 66,[AZO] AZOZ,6379102
27,cappu97,[AZO] AZOZ,5748183
28,Jacob Carter,[AZO] AZOZ,4430292
29,MetauChopf,[AZO] AZOZ,4344390
30,Feivel D MauS,[AZO] AZOZ,4326170
31,LatastrophenUlli,[AZO] AZOZ,4207382
32,K E R S Y,[AZO] AZOZ,4103000
33,Aenwe,[AZO] AZOZ,3996835
34,Marshalfery,[AZO] AZOZ,3935086
35,Hhjjjjcg,[AZO] AZOZ,3773380
36,jukata,[AZO] AZOZ,3714935
37,CalziferFire,[AZO] AZOZ,3682875
38,MrSajmonn,[AZO] AZOZ,3654615
39,haasenpeter rex,[AZO] AZOZ,3615121
40,Xambash,[AZO] AZOZ,3611172
41,GaaGol,[AZO] AZOZ,3610386
42,lefueT,[AZO] AZOZ,3600875
43,Dejweed,[AZO] AZOZ,3573188
44,SamoZlo,[AZO] AZOZ,3559485
45,Lilien1999,[AZO] AZOZ,3546492
46,Himbeertony,[AZO] AZOZ,3380250
47,Fürstin Elora,[AZO] AZOZ,3297375
48,MG Mayo,[AZO] AZOZ,3269616
49,ozzy5255,[AZO] AZOZ,3209920
50,Fürst der Nazgûl,[AZO] AZOZ,3111970
51,Katerina77,[AZO] AZOZ,3105000
52,Swe Sandman,[AZO] AZOZ,2952000
53,Sügärpüff,[AZO] AZOZ,2861625
54,azerty57,[AZO] AZOZ,2861125
55,DaliborDaki,[AZO] AZOZ,2844500
56,Toby Urbex,[AZO] AZOZ,2795625
57,Bestia77,[AZO] AZOZ,2777250
58,Mac1902,[AZO] AZOZ,2764125
59,Peridakles,[AZO] AZOZ,2737000
60,feimel,[AZO] AZOZ,2687536
61,Queen from AZO,[AZO] AZOZ,2682967
62,DragonWiz,[AZO] AZOZ,2651172
63,SmartesGirl,[AZO] AZOZ,2646875
64,Jimi777,[AZO] AZOZ,2639750
65,Sanya Longer,[AZO] AZOZ,2631625
66,fffeyz,[AZO] AZOZ,2593875
67,EXITUS,[AZO] AZOZ,2500625
68,Dr Cal Lightman,[AZO] AZOZ,2464125
69,Cheesynator,[AZO] AZOZ,2453875
70,The Pharo 2026,[AZO] AZOZ,2434010
71,Haulsen,[AZO] AZOZ,2396250
72,FATUUM,[AZO] AZOZ,2393500
73,Pinsel20,[AZO] AZOZ,2380191
74,Sphere8472,[AZO] AZOZ,2350000
75,Tom12234455,[AZO] AZOZ,2348667
76,Z4ID,[AZO] AZOZ,2346911
77,K u r d o,[AZO] AZOZ,2203039
78,Mel Lyn,[AZO] AZOZ,2190015
79,2 s t y,[AZO] AZOZ,2179500
80,DooYooDoo,[AZO] AZOZ,2173375
81,Bogo und Pini,[AZO] AZOZ,2151250
82,CërêâlKîllêr,[AZO] AZOZ,2150000
83,jobcenter FFM,[AZO] AZOZ,2150000
84,yyyyyyvhhnmll,[AZO] AZOZ,2020314
85,Christo30,[AZO] AZOZ,2013875
86,Last Arti,[AZO] AZOZ,1980750
87,Mischel89,[AZO] AZOZ,1881489
88,ECSI,[AZO] AZOZ,1743875
89,Yama Arashi,[AZO] AZOZ,1707375
90,계프 부인,[AZO] AZOZ,1693000
91,Pawelte,[AZO] AZOZ,1678498
92,Sultan Murat X,[AZO] AZOZ,1553875
93,Leijonamieli,[AZO] AZOZ,1354125
94,MiepStreet,[AZO] AZOZ,1347875
95,VxClicker,[AZO] AZOZ,1200000
96,R2DrehZwo,[AZO] AZOZ,11684
