Position,Name,Points
1,Li La LiNuS,144844997
2,Baba Basti,141098953
3,UMY Stern,140324280
4,Kotor47,135785580
5,Fran171526,109328669
6,RAV28,107073273
7,Fürst der Nazgûl,102240483
8,SNEAKY BUNNY,101377643
9,MrSajmonn,89534723
10,BugaBoo,87559780
11,cappu97,87445241
12,supi pupi,81363920
13,lefu eT,80852397
14,Bogo und Pini,80293938
15,Haulsen,79747746
16,Jacob Carter,79664016
17,Gordon Freimann,79577656
18,Kytirider,78049804
19,Smowy,76843204
20,SmartesGirl,76694576
21,JSheridan,76266349
22,Peridakles,76121628
23,Giorgiotown,75140188
24,SNPOL,74567150
25,Marshalfery,74542017
26,jobcenter FFM,74368502
27,Jónny666,74239148
28,Feivel D Maus,71645660
29,Sügarpüff,70998007
30,K E R S Y,70522711
31,2 s t y,70403462
32,Queen from AZO,69402141
33,DragonWiz,68434611
34,Himbeertony,68394289
35,Cluster82,67428948
36,ozzy5255,66597709
37,Dejweed,65904860
38,PHOENIX FOX,63961403
39,Tom12234455,63340752
40,Svela17,63196589
41,CalziferFire,62487102
42,fffeyz,62212603
43,Hhjjjjcg,52461027
44,Aenwe,60889716
45,Swe Sandman,60104199
46,DaliborDaki,59897978
47,feimel,59649391
48,CérëålKïllér,59489470
49,Fürstin Elora,59256517
50,Schlabberbacke,58670300
51,Tyskie 66,58575395
52,haasenpeter rex,57896683
53,Skywölkchen,57329285
54,Sphere8472,57291797
55,MetauChopf,56859085
56,Dragon blou,56035515
57,MiepStreet,55644886
58,sunny75,55072299
59,Dr Cal Lightman,54007825
60,Lilien1999,53897808
61,Pawelte,53325917
62,Xambash,52582916
63,MG Mayo,52552108
64,Hhjjjjcg,52461027
65,Last Arti,50510112
66,케포 부인,50141804
67,Cheesynator,49781583
68,azerty57,49339427
69,Katerina77,47901126
70,EXITUS,46996318
71,Sultan Murat X,46745568
72,Kpiftw,46325213
73,Christo30,45988139
74,Last Wolf Warrior,45797538
75,jukata,45471744
76,LatastrophenUlli,45256370
77,Z4ID,43842391
78,Jimi777,43125220
79,Sanya Longer,42770196
80,Mel Lyn,42065371
81,ECSI,41918803
82,Yama Arashi,41600387
83,Mischel89,39842112
84,Pinsel20,39747564
85,Mac1902,39676912
86,Bestia77,38977888
87,K u r d o,37901874
88,GaaGol,37761450
89,DooYooDoo,36086684
90,Leijonamieli,36085230
91,FATUUM,35187813
92,The Pharo 2026,34097753
93,Toby Urbex,31028327
94,VxClicker,27576296
95,yyyyyyvhhnmll,26651251
96,R2DrehZwo,11684
