Position,Name,Punkte
1,[AZO]SNEAKY BUNNY,3827084
2,[AZO]Azuuzz,2847834
3,[AZO]Li La LiNuS,2305772
4,[AZO]Kotor47,2214035
5,[AZO]Last Wolf Warrior,1784200
6,[AZO]supi pupi,1746189
7,[AZO]Fran171526,1539583
8,[AZO]Giorgiotown,1387268
9,[AZO]lefueT,1208043
10,[AZO]Aenwe,1175461
11,[AZO]Pawelte,1070453
12,[AZO]MrSajmonn,894157
13,[AZO]Jónny666,762053
14,[AZO]Kytrider,724799
15,[AZO]Dejweed,654119
16,[AZO]Hhjjjjcg,540876
17,[AZO]SNPOL,514854
18,[AZO]sunny75,375090
19,[AZO]Fürstin Elora,145568
20,[AZO]Jimi777,129634
21,Commander 38e441902,0
