Position,Name,Punkte
1,Last Wolf Warrior,60107510
2,Cluster82,42594646
3,azerty57,33435534
4,Svela17,30512410
5,Fran171526,28624950
6,jukata,24408270
7,Jónny666,24339960
8,Bogo und Pini,22752386
9,Hhjjjjcg,21405602
10,Christo30,21049522
11,cappu97,20628532
12,feimel,20205248
13,Kotor47,19963814
14,Bugab0o,19132860
15,Sphere8472,18515274
16,ECSI,17140616
17,Queen from AZO,15683454
18,Schlabberbacke,15600444
19,sunny75,15523576
20,2 s t y,15431554
21,DragonWiz,15056418
22,Bestia77,15026122
23,haasenpeter rex,14851928
24,lefueT,14245082
25,Giorgiotown,14221338
26,Katerina77,13697962
27,Dejweed,13676830
28,Toby Urbex,13464920
29,Haulsen,12955234
30,Baba Basti,12909000
31,Smowy,12597402
32,JSheridan,12380034
33,PHOENIX FOX,12314362
34,MrSajmonn,12211306
35,Leijonamieli,12152194
36,Skywölkchen,11975572
37,Jacob Carter,11918772
38,Gordon Freimann,11637870
39,Kytrider,11563602
40,SNEAKY BUNNY,11523628
41,SNPOL,11338008
42,Aenwe,11335050
43,Peridakles,11276596
44,FATUUM,11276162
45,CalziferFire,11252556
46,Jimi777,11141978
47,SamoZlo,11097866
48,RAV28,10943666
49,MetauChopf,10884388
50,Dragon blou,10687890
51,UMY Stern,10549970
52,Marshalfery,10452668
53,Mac1902,9945790
54,supi pupi,9858432
55,GaaGol,9683056
56,EXITUS,9358760
57,Pinsel20,9137416
58,DaliborDaki,8975358
59,Pawelte,8942626
60,Mel Lyn,8835788
61,Himbeertony,8617754
62,Sügarpüff,8566200
63,Li La LiNuS,8529946
64,Tyskie 66,8308160
65,fffeyz,8151406
66,Fürstin Elora,7975994
67,Kpiftw,7821610
68,Last Arti,7776714
69,Tom12234455,7759222
70,Dr Cal Lightman,7751452
71,Cheesynator,7728186
72,Fürst der Nazgûl,7649130
73,CërêâlKillêr,7633966
74,Lilien1999,7563534
75,Feivel D MauS,7551798
76,MiepStreet,7528870
77,jobcenter FFM,7383720
78,KERSY,7340770
79,케포 부인,7325590
80,Xambash,7230284
81,Sanya Longer,5959526
82,SmartesGirl,5928830
83,The Pharo 2026,5614748
84,Z4ID,5513446
85,LatastrophenUlli,5158024
86,MG Mayo,5138466
87,Sultan Murat X,5042900
88,yyyyyyvhhmnll,4615158
89,Mischel89,4172354
90,VxClicker,3939370
91,Yama Arashi,3712370
92,ozzy5255,3702666
93,Kurdo,3005832
