position,name,points
1,SNEAKY BUNNY,34781727
2,Smowy,30227899
3,Kotor47,26723127
4,Schlabberbacke,19819381
5,supi pupi,16640898
6,RAV28,13970775
7,Li La LiNuS,13378281
8,SNPOL,13085490
9,Giorgiotown,12642588
10,Fran171526,11965872
11,lefueT,11861393
12,Last Wolf Warrior,11664040
13,SamoZlo,11529715
14,2 s t y,9775902
15,JSheridan,8910167
16,fffeyz,8024765
17,haasenpeter rex,7883291
18,Jacob Carter,7706465
19,UMY Stern,7692290
20,Gordon Freimann,7594813
21,Dr Cal Lightman,7502099
22,Dejweed,7417786
23,Kytrider,7369440
24,MrSajmonn,7276126
25,Bogo und Pini,7225952
26,CërêâlKïllêr,5907509
27,DragonWiz,5696976
28,Christo30,5121870
29,sunny75,5105181
30,Tyskie 66,4993603
31,MetauChopf,4989169
32,Jónny666,4793736
33,Kpiftw,4706930
34,cappu97,4607979
35,Himbeertony,4507755
36,KERSY,4352252
37,Marshalferry,4077945
38,Bugab0o,4011675
39,Baba Basti,3967750
40,Mac1902,3904125
41,Z4ID,3902154
42,CalziferFire,3697168
43,Skywölkchen,3657875
44,feimel,3617485
45,Cheesynator,3605500
46,MG Mayo,3508000
47,Dragon blou,3305308
48,케프 부인,2968582
49,Queen from AZO,2947222
50,Kurdo,2850912
51,azerty57,2801000
52,DaliborDaki,2772875
53,Fürst der Nazgûl,2729970
54,Katerina77,2725625
55,Feivel D MauS,2718000
56,Peridakles,2699875
57,Fürstin Elora,2699125
58,Svela17,2689000
59,Sphere8472,2653750
60,Tom12234455,2612744
61,ozzy5255,2584000
62,Pinsel20,2505625
63,Sanya Longer,2484750
64,Cluster82,2451000
65,EXITUS,2429980
66,jukata,2386027
67,PHOENIX FOX,2370625
68,ECSI,2370175
69,VxClicker,2356875
70,SmartesGirl,2350000
71,Jimi777,2310625
72,Toby Urbex,2310000
73,Mischel89,2208327
74,Hhjjjjcg,2203125
75,Last Arti,2088500
76,yyyyyyvhnmll,2034818
77,FATUUM,2033214
78,Aenwe,2015000
79,Haulsen,2015000
80,Lilien1999,2000000
81,Bestia77,2000000
82,jobcenter FFM,1856625
83,Pawelte,1850000
84,Mel Lyn,1750000
85,LatastrophenUlli,1553375
86,Leijonamieli,1550000
87,MiepStreet,1500000
88,Xambash,1472375
89,Sultan Murat X,1153045
90,GaaGol,1011743
91,The Pharo 2026,750000
92,R2DrehZwo,184300
