
Position,Name,Punkte
1,Last Wolf Warrior,195401816
2,Smowy,153789122
3,SNEAKY BUNNY,146065019
4,Kotor47,145958931
5,JSheridan,143454107
6,Gordon Freimann,134223756
7,Svela17,131922308
8,supi pupi,128250646
9,Haulsen,126620882
10,Giorgiotown,126315800
11,Baba Basti,125389607
12,Li La LiNuS,125292266
13,Bugab0o,124138909
14,Cluster82,120622570
15,ECSI,116917061
16,Jónny666,116287135
17,Fran171526,115027425
18,RAV28,114361865
19,lefueT,110829313
20,UMY Stern,110556811
21,haasenpeter rex,103966279
22,MrSajmonn,101150314
23,SamoZlo,98325580
24,Fürst der Nazgúl,97489971
25,cappu97,97429522
26,PHOENIX FOX,95375538
27,Queen from AZO,95074876
28,Dr Cal Lightman,94691571
29,Sphere8472,94325902
30,SNPOL,91527278
31,Bogo und Pini,90702259
32,2 s t y,90244919
33,Skywölkchen,87507047
34,azerty57,86874424
35,Kytrider,86530803
36,sunny75,85521444
37,fffeyz,85352470
38,feimel,85350125
39,Jacob Carter,83796421
40,K E R S Y,82223922
41,Christo30,80913438
42,Aenwe,80828058
43,Schlabberbacke,80403943
44,jukata,78956256
45,Feivel D MauS,77161104
46,Katerina77,76411972
47,Tom12234455,76136056
48,CêrêâlKïllêr,75660648
49,Tyskie 66,74837657
50,SmartesGirl,74740191
51,DragonWiz,73080006
52,Hhjjjjcg,72722222
53,Last Arti,71743913
54,DaliborDaki,71525520
55,FATUUM,69542028
56,Dejweed,67927813
57,Pawelte,67649429
58,CalziferFire,65014565
59,Mel Lyn,63601600
60,Dragon blou,63029800
61,Kpiftw,62837629
62,Z4ID,62185541
63,Pinsel20,62141538
64,Marshalfery,62024942
65,Peridakles,61853591
66,Jimi777,61347906
67,Fürstin Elora,61053077
68,Sanya Longer,59016441
69,Toby Urbex,58692916
70,MetauChopf,58598844
71,케포 부인,56800539
72,Mac1902,56567839
73,Leijonamieli,56192603
74,GaaGol,52806655
75,Lilien1999,52363184
76,jobcenter FFM,51268680
77,Xambash,51003173
78,EXITUS,50633326
79,LatastrophenUlli,50233175
80,MG Mayo,48759812
81,ozzy5255,47157316
82,Himbeertony,45123012
83,Cheesynator,45039897
84,Bestia77,43236102
85,MiepStreet,42176227
86,VxClicker,37516187
87,Mischel89,36090884
88,Sultan Murat X,36052729
89,yyyyyyvhnnmlI,36043577
90,The Pharo 2026,28245184
91,K u r d o,23764825
92,R2DrehZwo,184300
