Position,Name,Punkte
1,Li La Linus,17863875
2,DragonWiz,14752000
3,Kotor47,14336250
4,Jacob Carter,14076375
5,Sphere8472,13553750
6,Cheesynator,13374000
7,Bugab0o,12723000
8,SNPOL,12641500
9,Baba Basti,11864375
10,Mischel89,11630800
11,Fürst der Nazgûl,11604875
12,Fürstin Elora,11339500
13,MrSajmonn,10890750
14,Haulsen,10833750
15,sunny75,10821125
16,lefueT,10745750
17,jukata,10653250
18,SNEAKY BUNNY,10268000
19,The Pharo 2026,10221385
20,feimel,9962625
21,EXITUS,9958875
22,haasenpeter rex,9947875
23,DaliborDaki,9939250
24,MiepStreet,9864825
25,Last Wolf Warrior,9830125
26,SmartesGirl,9824750
27,Mel Lyn,9739375
28,Queen from AZO,9726250
29,Dragon blou,9703475
30,Christo30,9583000
31,Schlabberbacke,9511625
32,Marshalfery,9462353
33,azerty57,9455750
34,Tyskie 66,9404500
35,Lilien1999,9224250
36,Pawelte,9209550
37,Leijonamieli,9196250
38,Toby Urbex,9132250
39,Gordon Freimann,9095250
40,ozzy5255,9088960
41,Skywölkchen,9013875
42,Last Arti,8928000
43,JSheridan,8802375
44,Tom12234455,8545625
45,Fran171526,8514875
46,2 s t y,8359750
47,Himbeertony,8284000
48,RAV28,8178000
49,ECSI,8137375
50,cappu97,8113500
51,KERSY,7992125
52,PHOENIX FOX,7982450
53,Cluster82,7961000
54,Katerina77,7956625
55,Kytrider,7910000
56,Peridakles,7870250
57,Sultan Murat X,7859625
58,Svela17,7712375
59,Mac1902,7697875
60,Dejweed,7672625
61,Sanya Longer,7669125
62,SamoZlo,7661825
63,Pinsel20,7653000
64,MetauChopf,7632750
65,Giorgiotown,7519000
66,UMY Stern,7490750
67,Jimi777,7408125
68,supi pupi,7349250
69,Smowy,7334375
70,케포 부인,7282850
71,Jónny666,7266875
72,Aenwe,7260625
73,Bogo und Pini,7254375
74,Kpiftw,7241250
75,CalziferFire,7227625
76,GaaGol,7208075
77,Dr Cal Lightman,7206875
78,fffeyz,7203250
79,Bestia77,7035250
80,yyyyyyvhnmll,6734125
81,LatastrophenUlli,6604825
82,Feivel D Maus,4969500
83,Hhjjjjcg,4873750
84,Z4ID,4583850
85,FATUUM,4140725
86,MG Mayo,4134100
87,VxClicker,3614625
88,Kurdo,2963439
89,jobcenter FFM,2805125
