Position,Name,Points
1,Giorgiotown,26.033.333
2,Feivel D MauS,14.465.971
3,SNPOL,13.218.777
4,lefueT,12.628.977
5,RAV28,10.527.126
6,Dragon blou,9.710.232
7,Smowy,8.609.241
8,Kotor47,8.587.773
9,UMY Stern,8.434.598
10,SamoZlo,8.433.215
11,fffeyz,8.333.551
12,Gordon Freimann,8.069.216
13,Dejweed,7.898.365
14,supi pupi,7.783.245
15,Last Wolf Warrior,7.700.596
16,JSheridan,7.592.235
17,Svela17,7.498.726
18,Kytrider,7.458.849
19,Li La LiNuS,7.452.500
20,Fran171526,7.401.703
21,Dr Cal Lightman,7.241.314
22,2 s t y,7.228.935
23,Jónny666,7.226.085
24,Cluster82,7.209.963
25,Bugab0o,7.020.050
26,Mel Lyn,6.082.591
27,Fürst der Nazgûl,5.778.083
28,Jacob Carter,5.677.460
29,cappu97,5.469.050
30,LatastrophenUlli,5.455.628
31,PHOENIX FOX,4.479.103
32,Mac1902,4.287.081
33,DragonWiz,4.266.904
34,Haulsen,4.098.923
35,haasenpeter rex,4.060.099
36,Mischel89,3.727.413
37,feimel,3.724.875
38,Christo30,3.709.250
39,Fürstin Elora,3.686.375
40,DaliborDaki,3.662.375
41,Sanya Longer,3.646.875
42,CalziferFire,3.622.542
43,Last Arti,3.611.750
44,K E R S Y,3.602.750
45,Himbeertony,3.453.250
46,SNEAKY BUNNY,3.398.513
47,케포 부인,3.192.918
48,The Pharo 2026,3.126.715
49,Marshalferry,3.048.154
50,Katerina77,3.042.875
51,Kpiftw,3.031.068
52,Cheesynator,2.955.875
53,Z4ID,2.932.909
54,EXITUS,2.903.375
55,Pawelte,2.902.657
56,Sultan Murat X,2.851.055
57,VxClicker,2.806.526
58,K u r d o,2.758.709
59,Toby Urbex,2.743.125
60,jukata,2.677.197
61,azerty57,2.673.275
62,dome94G,2.655.276
63,ECSI,2.600.085
64,MrSajmonn,2.503.561
65,Tom12234455,2.460.625
66,Baba Basti,2.460.325
67,Bogo und Pini,2.359.625
68,SmartesGirl,2.350.000
69,ozzy5255,2.347.614
70,sunny75,2.346.500
71,Sphere8472,2.337.500
72,Tyskie 66,2.333.625
73,Hhjjjjcg,2.200.000
74,MG Mayo,2.200.000
75,Bestia77,2.104.000
76,Queen from AZO,2.059.175
77,Jimi777,2.003.000
78,Skywölkchen,2.000.000
79,Pinsel20,1.984.347
80,Leijonamieli,1.923.250
81,MetauChopf,1.822.560
82,Lilien1999,1.731.250
83,Aenwe,1.608.000
84,yyyyyyvhnmll,1.583.750
85,Peridakles,1.412.700
86,jobcenter FFM,1.400.000
87,MiepStreet,1.150.000
88,Schlabberbacke,1.039.315
89,FATUUM,1.030.345
90,GaaGol,668.676
91,TheShorty,513.483
