Position,Name,Points
1,[AZO]supi pupi,3439702
2,[AZO]Haulsen,2091423
3,[AZO]SNEAKY BUNNY,1896479
4,[AZO]Giorgiotown,1601664
5,[AZO]Smowy,1482031
6,[AZO]Kotor47,1312126
7,[AZO]Fran171526,1255714
8,[AZO]MrSajmonn,1040825
9,[AZO]JSheridan,902942
10,[AZO]Last Wolf Warrior,863708
11,[AZO]Pawelte,676864
12,[AZO]Kytrider,609152
13,[AZO]Svela17,580280
14,[AZO]Dejweed,576817
15,[AZO]Jónny666,568390
16,[AZO]Bogo und Pini,417461
17,[AZO]Fürst der Nazgûl,371855
18,[AZO]jukata,256487
19,[AZO]K E R S Y,139960
20,[AZO]Amir Yakuza,135939
