Position,Name,Rank,Points
1,cappu97,R4,125450
2,azerty57,R3,123050
3,Sanya Longer,R3,63900
4,Last Wolf Warrior,R3,63000
5,Svela17,R3,62550
6,Jónny666,R3,62300
7,Queen from AZO,R5,62000
8,Smowy,R4,60250
9,PHOENIX FOX,R4,59050
10,jukata,R3,58450
11,Bugab0o,R3,57450
12,supi pupi,R4,57400
13,K E R S Y,R3,57300
14,Kotor47,R3,56800
15,Kytrider,R4,56650
16,Cluster82,R3,56050
17,Toby Urbex,R3,55250
18,Fürstin Elora,R3,54550
19,Gordon Freimann,R3,54350
20,Schlabberbacke,R4,53350
21,ECSI,R3,52650
22,Kpiftw,R3,52050
23,RAV28,R3,50700
24,Haulsen,R3,50600
25,TheShorty,R1,49350
26,SNPOL,R3,49300
27,sunny75,R3,48450
28,Sphere8472,R3,48250
29,Christo30,R3,48100
30,Fran171526,R3,47350
31,DragonWiz,R3,47150
32,Sultan Murat X,R1,46700
33,Last Arti,R3,46650
34,Fürst der Nazgúl,R4,46650
35,Pinsel20,R3,45650
36,Pawelte,R3,45600
37,UMY Stern,R3,45300
38,FATUUM,R3,45300
39,lefueT,R3,44650
40,Baba Basti,R3,44400
41,Dragon blou,R3,44350
42,Jimi777,R3,44050
43,ozzy5255,R2,42950
44,SNEAKY BUNNY,R3,42850
45,DaliborDaki,R3,42800
46,JSheridan,R4,42800
47,Aenwe,R3,42700
48,MrSajmonn,R3,42550
49,2 s t y,R3,42500
50,dome94G,R2,42500
51,The Pharo 2026,R1,42400
52,EXITUS,R3,42350
53,haasenpeter rex,R4,41950
54,fffeyz,R3,41450
55,Jacob Carter,R3,41400
56,Amir Yakuza,R1,41300
57,Mac1902,R3,41200
58,SamoZlo,R3,41200
59,Giorgiotown,R3,41000
60,Bogo und Pini,R3,40950
61,케포 부인,R2,40800
62,CalziferFire,R3,40800
63,Bestia77,R3,40600
64,Katerina77,R3,40550
65,Marshalfery,R3,40350
66,SmartesGirl,R4,40200
67,feimel,R3,39950
68,MG Mayo,R2,39900
69,Skywölkchen,R3,38750
70,Feivel D Maus,R3,37950
71,Hhjjjjcg,R3,37050
72,Himbeertony,R2,36900
73,GaaGol,R2,36850
74,Dejweed,R3,36750
75,MetauChopf,R3,36400
76,Lilien1999,R3,36000
77,Tom12234455,R3,35700
78,Tyskie 66,R2,34450
79,LatastrophenUlli,R2,34250
80,Dr Cal Lightman,R3,33100
81,jobcenter FFM,R2,32100
82,Leijonamieli,R3,31100
83,z4ID,R3,30900
84,Li La LiNuS,R3,30500
85,Cheesynator,R2,29900
86,Peridakles,R3,29300
87,yyyyyyyhhnmll,R1,28050
88,K u r d o,R1,26650
89,MiepStreet,R2,25300
90,Mischel89,R1,15450
91,VxClicker,R1,11600
92,MacRoM,R1,0
93,Mel Lyn,R1,0
94,R2DrehZwo,R1,0
