Position,Name,Points
1,Himbeertony,35085938
2,Bestia77,28616188
3,Jacob Carter,27461352
4,Aenwe,23648736
5,ozzy5255,17484210
6,케프 부인,14947342
7,Marshalfery,14673732
8,Giorgiotown,13037740
9,supi pupi,12893906
10,Feivel D MauS,12594046
11,Fürstin Elora,11309498
12,Amir Yakuza,10812102
13,Cheesynator,10333662
14,Tyskie 66,10166292
15,RAV28,10146164
16,Pawelte,10028586
17,Dragon blou,10009918
18,Z4ID,9995458
19,fffeyz,9841252
20,EXITUS,9827846
21,UMY Stern,9798464
22,Fran171526,9502634
23,FATUUM,9405142
24,Last Arti,9397990
25,cappu97,9362420
26,lefueT,9231610
27,JSheridan,9139786
28,feimel,9102818
29,Cluster82,9074172
30,Kotor47,8981606
31,Sphere8472,8965454
32,The Pharo 2026,8915984
33,Pinsel20,8832622
34,Bogo und Pini,8747632
35,Mischel89,8675408
36,TheShorty,8572384
37,Toby Urbex,8562748
38,Christo30,8560904
39,Sanya Longer,8560608
40,Mac1902,8552478
41,Baba Basti,8477460
42,K E R S Y,8400350
43,Dejweed,8305374
44,Jónny666,8242680
45,haasenpeter rex,8241094
46,Dr Cal Lightman,8175692
47,SNEAKY BUNNY,8130106
48,Bugab0o,8115580
49,Schlabberbacke,8009460
50,ECSI,7999650
51,Kpiftw,7987250
52,DaliborDaki,7944390
53,dome94G,7931646
54,DragonWiz,7912076
55,Skywölkchen,7899208
56,VxClicker,7870412
57,Svela17,7849762
58,Smowy,7846062
59,Queen from AZO,7840670
60,2 s t y,7790644
61,Haulsen,7769148
62,CalziferFire,7652522
63,MG Mayo,7648760
64,Hhjjjjcg,7637798
65,Gordon Freimann,7630130
66,Li La LiNuS,7617048
67,MetauChopf,7593736
68,Kytrider,7563300
69,PHOENIX FOX,7548322
70,Leijonamieli,7511868
71,Sultan Murat X,7481750
72,K u r d o,7437006
73,GaaGol,7402516
74,jobcenter FFM,7368742
75,Last Wolf Warrior,7337094
76,SamoZlo,7297446
77,LatastrophenUlli,7277642
78,azerty57,7266996
79,Jimi777,7266918
80,Fürst der Nazgûl,7222250
81,MrSajmonn,7204486
82,jukata,7147108
83,Katerina77,6975754
84,SNPOL,6398624
85,sunny75,5631510
86,Tom12234455,5092366
87,SmartesGirl,3812614
88,MiepStreet,3664730
89,yyyyyyvhhnmll,3509738
90,Lilien1999,2995736
91,Peridakles,2323250
