Position,Name,Points
1,azerty57,12708500
2,TheShorty,12458000
3,Tyskie 66,11127750
4,jobcenter FFM,11057625
5,Fürstin Elora,11032375
6,SNPOL,10481125
7,Cheesynator,10416875
8,haasenpeter rex,9836625
9,Giorgiotown,9816625
10,Himbeertony,9755875
11,2 s t y,9575500
12,Bugab0o,9357625
13,Sanya Longer,9331375
14,Pawelte,9298625
15,Mischel89,9137363
16,Dr Cal Lightman,8985500
17,DragonWiz,8799625
18,K E R S Y,8698875
19,lefueT,8653250
20,Fran171526,8630500
21,Haulsen,8561500
22,RAV28,8546500
23,Fürst der Nazgúl,8528375
24,Peridakles,8481000
25,Queen from AZO,8463000
26,Hhjjjjcg,8456500
27,ozzy5255,8369677
28,Jacob Carter,8358625
29,UMY Stern,8335375
30,Baba Basti,8264500
31,Jimi777,8247625
32,Dejweed,8227500
33,cappu97,8206500
34,Kotor47,8195500
35,Kpiftw,8185250
36,sunny75,8184875
37,MrSajmonn,8134000
38,Last Arti,8071875
39,CalziferFire,8032250
40,JSheridan,7982875
41,Amir Yakuza,7950797
42,Gordon Freimann,7915375
43,The Pharo 2026,7880665
44,jukata,7860375
45,Li La LiNuS,7855000
46,feimel,7806250
47,케프 부인,7789350
48,Bogo und Pini,7764000
49,Christo30,7720250
50,supi pupi,7683125
51,Sultan Murat X,7673750
52,Lilien1999,7655750
53,Smowy,7619375
54,SamoZlo,7599675
55,fffeyz,7599500
56,Toby Urbex,7572250
57,dome94G,7570625
58,Cluster82,7531250
59,FATUUM,7497575
60,KytRider,7480000
61,GaaGol,7439550
62,Aenwe,7323875
63,Dragon blou,7321350
64,Mac1902,7314125
65,ECSI,7306750
66,Katerina77,7282500
67,DaliborDaki,7270750
68,MetauChopf,7267500
69,Jónny666,7264125
70,SmartesGirl,7259750
71,Sphere8472,7255625
72,Pinsel20,7227375
73,SNEAKY BUNNY,7227250
74,Leijonamieli,7224625
75,Svela17,7222250
76,Marshalfery,7207178
77,EXITUS,7206875
78,PHOENIX FOX,7203525
79,Feivel D MauS,6755375
80,Bestia77,5530800
81,Schlabberbacke,5398375
82,LatastrophenUlli,5312875
83,MG Mayo,4933075
84,Skywölkchen,4749500
85,Tom12234455,4714750
86,VxClicker,3682375
87,Last Wolf Warrior,3050125
88,Z4ID,2677050
89,MiepStreet,2515750
90,K u r d o,1915574
91,yyyyyyvhhnmll,1650000
