Position,Name,Points
1,azerty57,21542025
2,UMY Stern,19159850
3,Fran171526,18976275
4,Bugab0o,16936450
5,JSheridan,16323850
6,Baba Basti,16197925
7,Z4ID,14936275
8,DaliborDaki,14267025
9,Smowy,14141375
10,supi pupi,14129250
11,haasenpeter rex,13639750
12,Li La LiNuS,13425875
13,Pawelte,13266150
14,RAV28,12943700
15,Fürst der Nazgûl,12195175
16,SNPOL,11608525
17,fffeyz,11405700
18,Kotor47,11330050
19,Kytrider,11144475
20,Feivel D MauS,11142450
21,lefueT,10650200
22,Jacob Carter,10608350
23,CalziferFire,10421775
24,Cluster82,10056275
25,FATUUM,9935650
26,Dr Cal Lightman,9888475
27,SamoZlo,9793950
28,Tyskie 66,9786950
29,cappu97,9393850
30,Marshalfery,9172796
31,SmartesGirl,9099325
32,2 s t y,9091950
33,jobcenter FFM,8980300
34,Dragon blou,8951200
35,Peridakles,8919275
36,feimel,8902750
37,Skywölkchen,8778725
38,Sultan Murat X,8729750
39,TheShorty,8697125
40,ECSI,8680500
41,Bogo und Pini,8625000
42,Mac1902,8583675
43,Fürstin Elora,8453875
44,jukata,8390475
45,Haulsen,8384600
46,Kpiftw,8194775
47,K E R S Y,8194700
48,Cheesynator,8182850
49,PHOENIX FOX,8041250
50,케포 부인,7979100
51,MetauChopf,7933825
52,Jónny666,7859700
53,Sphere8472,7800275
54,Aenwe,7727425
55,Gordon Freimann,7696275
56,Jimi777,7682275
57,Amir Yakuza,7658619
58,EXITUS,7644725
59,ozzy5255,7642297
60,Leijonamieli,7567525
61,Schlabberbacke,7551900
62,Sanya Longer,7545050
63,DragonWiz,7536725
64,MrSajmonn,7533200
65,dome94G,7530875
66,SNEAKY BUNNY,7473025
67,Himbeertony,7408225
68,Lilien1999,7402225
69,Dejweed,7394425
70,LatastrophenUlli,7385675
71,Last Wolf Warrior,7349725
72,sunny75,7312850
73,Last Arti,7290450
74,Giorgiotown,7251625
75,VxClicker,7243700
76,Svela17,7233550
77,Katerina77,7230950
78,Pinsel20,7224900
79,GaaGol,7210825
80,Queen from AZO,6486450
81,Hhjjjjcg,6301375
82,Toby Urbex,6220450
83,Mischel89,5988631
84,Bestia77,5986625
85,The Pharo 2026,5651460
86,MiepStreet,5622825
87,Tom12234455,5549200
88,MG Mayo,5211050
89,Christo30,4534475
90,yyyyyyyhhnmll,1864450
91,K u r d o,1633000
