Position,Name,Points
1,Kotor47,30368375
2,Fürst der Nazgûl,25026575
3,Queen from AZO,24690600
4,supi pupi,23963625
5,Last Wolf Warrior,22725875
6,Baba Basti,19306350
7,RAV28,18980250
8,SNPOL,15289400
9,Haulsen,14819800
10,Li La LiNuS,14609800
11,Fran171526,13504950
12,Smowy,12993750
13,Jónny666,12929375
14,haasenpeter rex,12772100
15,Tom12234455,12430066
16,PHOENIX FOX,12344700
17,cappu97,11822475
18,Sphere8472,11648300
19,Feivel D MauS,11118900
20,Fürstin Elora,11093850
21,Last Arti,10912650
22,Bogo und Pini,10537075
23,Schlabberbacke,10268050
24,2 s t y,10024400
25,Dragon blou,10002214
26,dome94G,9747950
27,Amir Yakuza,9694622
28,Bestia77,9606091
29,Pawelte,9394600
30,JSheridan,9322350
31,Marshalferry,9285648
32,Svela17,9197625
33,DragonWiz,9123075
34,GaaGol,9083998
35,Dejweed,9025600
36,lefueT,8712850
37,Aenwe,8613625
38,Dr Cal Lightman,8530000
39,SNEAKY BUNNY,8524175
40,jukata,8391725
41,Kpiftw,8180325
42,SmartesGirl,8157375
43,Jacob Carter,8005650
44,CalziferFire,7954725
45,Lilien1999,7934475
46,SamoZlo,7841425
47,Jimi777,7817000
48,DaliborDaki,7742650
49,sunny75,7652350
50,UMY Stern,7632500
51,EXITUS,7459050
52,Kytrider,7443350
53,ECSI,7416225
54,LatastrophenUlli,7414381
55,MrSajmonn,7331525
56,Katerina77,7309750
57,KERSY,7289939
58,Cluster82,7238450
59,Giorgiotown,7216575
60,Himbeertony,7202900
61,Gordon Freimann,7202050
62,Tyskie 66,6953200
63,Toby Urbex,6406825
64,azerty57,6190875
65,MetauChopf,6015000
66,Mac1902,5964100
67,Sultan Murat X,5957550
68,Hhjjjjcg,5785050
69,Christo30,5216950
70,Peridakles,4519625
71,Kurdo,4476333
72,Bugab0o,4432950
73,Sanya Longer,4305275
74,Pinsel20,4279800
75,MG Mayo,4088994
76,ozzy5255,4045462
77,FATUUM,3812425
78,Skywölkchen,3800650
79,VxClicker,3742550
80,케포 부인,3679776
81,fffeyz,3643725
82,TheShorty,3456900
83,The Pharo 2026,3270585
84,Cheesynator,3255925
85,Z4ID,3233727
86,MiepStreet,2501000
87,Leijonamieli,2335625
88,jobcenter FFM,2263384
89,Mischel89,2126800
90,feimel,1424675
91,yyyyyvhhnmll,1214620
