Rang,Name,Rangstufe,Punkte
1,haasenpeter rex,R3,70450
2,sunny75,R3,66650
3,Aenwe,R3,59400
4,Kvothekg,R3,56950
5,Skywölkchen,R4,56000
6,Crossf4d3,R3,55500
7,VanEricson,R2,54850
8,Haulsen,R3,54200
9,DragonWiz,R3,52400
10,abo loona963,R1,51900
11,SNPOL,R2,49400
12,Fran171526,R3,47600
13,Kotor47,R3,47500
14,JSheridan,R4,46050
15,MacRoM,R3,45950
16,jobcenter FFM,R3,45900
17,1Łukasz1,R2,45450
18,Fürst der Nazgûl,R4,45150
19,Tom12234455,R3,44900
20,Dr Cal Lightman,R3,44900
21,EXITUS,R3,44850
22,LUCIFER,R3,44750
23,Irongrim,R3,44650
24,Azuuzz,R5,44600
25,Hubi2025,R2,44400
26,عاشم,R2,44050
27,bjian,R2,44050
28,feimel,R4,43600
29,Queen from AZO,R4,43450
30,SmartesGirl,R4,43350
31,FATUUM,R3,43200
32,Dragon blou,R3,43200
33,Pinsel20,R3,43150
34,Kampfkratze,R4,43050
35,DiamonS,R2,42950
36,Jacob Carter,R3,42950
37,Himbeertony,R3,42950
38,Dejweed,R3,42750
39,GaaGol,R3,42600
40,Peridakles,R3,42000
41,metauchopf,R2,41950
42,Amir Yakuza,R3,41700
43,El Profesor 92,R2,41600
44,LatastrophenUlli,R2,41600
45,Lady Emm,R1,41600
46,Bestia77,R3,41550
47,SNEAKY BUNNY,R3,41500
48,Tyskie 66,R2,41450
49,The Pharo 2026,R2,41350
50,Fürstin von Knolle,R2,41350
51,fffeyz,R3,41200
52,Feivel D MauS,R4,41200
53,Gedl,R2,41050
54,DaliborDaki,R3,41000
55,Li La LiNuS,R3,40800
56,Lilly187,R3,40700
57,LosChapito,R3,40600
58,CalziferFire,R3,40550
59,K u r d o,R3,40150
60,VxClicker,R2,39900
61,Xamberon,R3,39700
62,Sultan Murat X,R2,39650
63,Marshalfery,R2,39600
64,Giorgiotown,R3,39000
65,Katerina77,R3,38750
66,kawaman35,R2,38000
67,anaeliss,R1,37400
68,Ali lub,R2,37150
69,Last Arti,R2,36650
70,Z4ID,R3,36200
71,Sphere8472,R3,34850
72,Mel Lyn,R3,34750
73,MESCALINECIRCUS,R2,34200
74,Saladin 1998,R2,33950
75,nicodu08,R2,33650
76,DooYooDoo,R3,33400
77,AMJAD bd,R1,33100
78,War1992rior,R2,32400
79,Flugente,R2,32300
80,joaocosta11,R2,28350
81,Kytrider,R4,26000
82,SoreAss,R2,24750
83,XxGranatxX,R2,23850
84,Pr0sent,R1,23250
85,ToxicV9,R3,22700
86,AHMD54,R1,22550
87,Lord78,R2,21950
88,Darkweed,R1,21900
89,Mischel89,R2,18150
90,zImperial,R1,17100
91,Nidhögr,R4,5550
92,Bubu2121,R3,0
93,Dekubitus,R1,0
94,AnKaBo,R1,0
95,AZO OPA,R3,0
