Rank,Name,Alliance,Points
1,Kampfratze,AZOZ,29199804
2,Kvothekg,AZOZ,24011092
3,Fran171526,AZOZ,23793512
4,Peridakles,AZOZ,18650082
5,Kotor47,AZOZ,18580534
6,Aenwe,AZOZ,15694802
7,DaliborDaki,AZOZ,14599604
8,Jacob Carter,AZOZ,14413208
9,Dragon blou,AZOZ,14180306
10,Marshalfery,AZOZ,13728294
11,DragonWiz,AZOZ,13651876
12,Giorgiotown,AZOZ,13347832
13,Amir Yakuza,AZOZ,12342970
14,SNPOL,AZOZ,12090628
15,SNEAKY BUNNY,AZOZ,11851322
16,fffeyz,AZOZ,11492150
17,joaocosta11,AZOZ,10585288
18,Haulsen,AZOZ,10514292
19,haasenpeter rex,AZOZ,10450342
20,Crossf4d3,AZOZ,9808938
21,Saladin 1998,AZOZ,9758450
22,Pinsel20,AZOZ,9706226
23,CalziferFire,AZOZ,9565398
24,jobcenter FFM,AZOZ,9427708
25,bjian,AZOZ,9390584
26,Dr Cal Lightman,AZOZ,9329302
27,EXITUS,AZOZ,9233238
28,Queen from AZO,AZOZ,8868436
29,Tyskie 66,AZOZ,8829532
30,Li La LiNuS,AZOZ,8745322
31,Fürstin von Knolle,AZOZ,8669322
32,JSheridan,AZOZ,8495468
33,Sphere8472,AZOZ,8444498
34,Skywölkchen,AZOZ,8248734
35,Tom1234455,AZOZ,8231298
36,sunny75,AZOZ,8018018
37,aL M,AZOZ,7934492
38,ToxicV9,AZOZ,7869244
39,MacRoM,AZOZ,7827150
40,DiamonS,AZOZ,7664140
41,Azuuzz,AZOZ,7654416
42,Dejweed,AZOZ,7635056
43,El Profesor 92,AZOZ,7576294
44,Feivel D MauS,AZOZ,7564614
45,Xamberon,AZOZ,7561702
46,Kytrider,AZOZ,7512518
47,Katerina77,AZOZ,7492110
48,Kurdo,AZOZ,7395368
49,MESCALINECIRCUS,AZOZ,7352776
50,FATUUM,AZOZ,7330878
51,Himbeertony,AZOZ,7202810
52,GaaGol,AZOZ,6700722
53,LUCIFER,AZOZ,6532766
54,Bestia77,AZOZ,6352768
55,XxGranafxX,AZOZ,6313496
56,Last Arti,AZOZ,6161800
57,feimel,AZOZ,6058916
58,Lilly187,AZOZ,5937958
59,VxClicker,AZOZ,5932458
60,LosChapito,AZOZ,5690076
61,SmartesGirl,AZOZ,5548696
62,nicodu08,AZOZ,5420134
63,Fürst der Nazgül,AZOZ,4982998
64,Irongrim,AZOZ,4858112
65,kawaman35,AZOZ,4797218
66,Hubi2025,AZOZ,4617266
67,AMJAD bd,AZOZ,4533500
68,Ali lub,AZOZ,4424066
69,anaeliss,AZOZ,4376072
70,1tukasz1,AZOZ,4362474
71,Lady Emm,AZOZ,4207174
72,Mischel89,AZOZ,4059484
73,The Pharo 2026,AZOZ,3852228
74,Sultan Murat X,AZOZ,3793326
75,DooYooDoo,AZOZ,3759910
76,Mel Lyn,AZOZ,3703382
77,LatastrophenUlli,AZOZ,3698092
78,War1992rior,AZOZ,3668926
79,VanEricson,AZOZ,3603038
80,Gedl,AZOZ,3333486
81,metauchopf,AZOZ,3273450
82,zimperial,AZOZ,3139908
83,Flugente,AZOZ,2961500
84,Lord78,AZOZ,2948278
85,Z4ID,AZOZ,2810028
86,SoreAss,AZOZ,2716500
87,Pr0sent,AZOZ,2320270
88,abo loona963,AZOZ,1806922
89,Nidhögr,AZOZ,1683078
90,Darkweed,AZOZ,1621000
91,AHMD54,AZOZ,1319332
