Rang,Name,Allianz,Punkte
1,Tyskie 66,AZOZ,17556875
2,Feivel D Maus,AZOZ,14200225
3,Kvothekg,AZOZ,11277000
4,Fran171526,AZOZ,11042750
5,DiamonS,AZOZ,10758125
6,Jacob Carter,AZOZ,10702250
7,Skywölkchen,AZOZ,10439875
8,Fürst der Nazgül,AZOZ,10159625
9,Sphere8472,AZOZ,10137125
10,Li La LiNuS,AZOZ,9537500
11,Xamberon,AZOZ,9492250
12,jobcenter FFM,AZOZ,9197250
13,Crossf4d3,AZOZ,8997825
14,Kampfratze,AZOZ,8639075
15,1tukasz1,AZOZ,8621700
16,feimel,AZOZ,8565375
17,Fürstin von Knolle,AZOZ,8437500
18,SmartesGirl,AZOZ,8398625
19,Katerina77,AZOZ,8332125
20,DaliborDaki,AZOZ,8260175
21,SNEAKY BUNNY,AZOZ,8254750
22,sunny75,AZOZ,8231875
23,Giorgiotown,AZOZ,8223000
24,Dragon blou,AZOZ,8113575
25,Dejweed,AZOZ,7916650
26,Mischel89,AZOZ,7820925
27,Haulsen,AZOZ,7772950
28,Darkweed,AZOZ,7735875
29,Himbeertony,AZOZ,7721050
30,SNPOL,AZOZ,7666175
31,Azuzzz,AZOZ,7619500
32,Kotor47,AZOZ,7593250
33,Dr Cal Lightman,AZOZ,7565100
34,JSheridan,AZOZ,7519625
35,Kytrider,AZOZ,7449875
36,Amir Yakuza,AZOZ,7445758
37,MacRoM,AZOZ,7391875
38,joaocosta11,AZOZ,7367410
39,Lilly187,AZOZ,7287900
40,FATUUM,AZOZ,7279850
41,LUCIFER,AZOZ,7275500
42,Last Arti,AZOZ,7270125
43,XxGranatxX,AZOZ,7270000
44,metauchopf,AZOZ,7246800
45,Sultan Murat X,AZOZ,7219500
46,Queen from AZO,AZOZ,7215875
47,Pinsel20,AZOZ,7203375
48,Bestia77,AZOZ,6823225
49,GaaGol,AZOZ,6743400
50,SoreAss,AZOZ,6713875
51,fffeyz,AZOZ,6683700
52,anaeliss,AZOZ,6645730
53,Z4ID,AZOZ,6491775
54,Peridakles,AZOZ,6484975
55,CalziferFire,AZOZ,6324500
56,Tom12234455,AZOZ,6138450
57,DooYooDoo,AZOZ,5975125
58,aLiM,AZOZ,5916475
59,Mel Lyn,AZOZ,5867275
60,Lord78,AZOZ,5860625
61,EXITUS,AZOZ,5560375
62,ToxicV9,AZOZ,5461875
63,The Pharo 2026,AZOZ,5311165
64,DragonWiz,AZOZ,5296400
65,Ali lub,AZOZ,5292735
66,Saladin 1998,AZOZ,5099720
67,LosChapito,AZOZ,5099300
68,LatastrophenUlli,AZOZ,4839293
69,El Profesor 92,AZOZ,4701125
70,Aenwe,AZOZ,4490600
71,AHMD54,AZOZ,4442125
72,haasenpeter rex,AZOZ,4431500
73,kawaman35,AZOZ,4094750
74,Hubi2025,AZOZ,3993525
75,bijan,AZOZ,3937603
76,Marshalfery,AZOZ,3929283
77,nicodu08,AZOZ,3864250
78,MESCALINECIRCUS,AZOZ,3849001
79,Irongrim,AZOZ,3810375
80,VxClicker,AZOZ,3633975
81,Lady Emm,AZOZ,3574500
82,War1992rior,AZOZ,3460274
83,Pr0sent,AZOZ,3364000
84,VanEricson,AZOZ,3310050
85,Flugente,AZOZ,3083425
86,Gedl,AZOZ,2648625
87,AMJAD bd,AZOZ,2340675
88,zImperial,AZOZ,2310350
89,Kurdo,AZOZ,2300852
90,Nidhögr,AZOZ,1672450
91,abo loona963,AZOZ,1200000
