Rang,Name,Allianz,Punkte
1,Feivel D MauS,AZOZ,26915925
2,JSheridan,AZOZ,24812625
3,haasenpeter rex,AZOZ,22681200
4,Fürst der Nazgûl,AZOZ,19863825
5,Crossf4d3,AZOZ,16165668
6,Haulsen,AZOZ,15237732
7,Li La LiNuS,AZOZ,14642075
8,Skywölkchen,AZOZ,14546400
9,SNEAKY BUNNY,AZOZ,14541450
10,Kytrider,AZOZ,14258275
11,SmartesGirl,AZOZ,14065625
12,Fran171526,AZOZ,13382775
13,LUCIFER,AZOZ,11656000
14,Kampfratze,AZOZ,11034586
15,Kotor47,AZOZ,10529175
16,Giorgiotown,AZOZ,10087700
17,Queen from AZO,AZOZ,10007805
18,DooYooDoo,AZOZ,9806125
19,Fürstin von Knolle,AZOZ,9714000
20,Katerina77,AZOZ,9612747
21,Tyskie 66,AZOZ,9411775
22,DaliborDaki,AZOZ,9357975
23,joaocosta11,AZOZ,9061950
24,Kvothekg,AZOZ,8707250
25,Azuuzz,AZOZ,8325852
26,Peridakles,AZOZ,8139625
27,EXITUS,AZOZ,7937450
28,Last Arti,AZOZ,7926875
29,metauchopf,AZOZ,7770288
30,Jacob Carter,AZOZ,7733800
31,ToxicV9,AZOZ,7629025
32,SNPOL,AZOZ,7571416
33,Marshalfery,AZOZ,7536637
34,DiamonS,AZOZ,7525900
35,Amir Yakuza,AZOZ,7381100
36,Dr Cal Lightman,AZOZ,7340353
37,Xamberon,AZOZ,7291750
38,Dejweed,AZOZ,7281442
39,sunny75,AZOZ,7272750
40,fffeyz,AZOZ,7266675
41,LosChapito,AZOZ,7263980
42,XxGranatxX,AZOZ,7220550
43,MacRoM,AZOZ,7206300
44,Lady Emm,AZOZ,7047098
45,Mischel89,AZOZ,6840452
46,LatastrophenUlli,AZOZ,6277472
47,Aenwe,AZOZ,6176584
48,1tukasz1,AZOZ,6158736
49,Bestia77,AZOZ,5957125
50,DragonWiz,AZOZ,5777260
51,Lilly187,AZOZ,5233392
52,kawaman35,AZOZ,5058500
53,عــلــيــم,AZOZ,5036920
54,bjian,AZOZ,4951650
55,Sultan Murat X,AZOZ,4919575
56,Irongrim,AZOZ,4638159
57,CalziferFire,AZOZ,4590750
58,Dragon blou,AZOZ,4495743
59,Sphere8472,AZOZ,4494050
60,VxClicker,AZOZ,4452300
61,feimel,AZOZ,4425750
62,Himbeertony,AZOZ,4111525
63,Darkweed,AZOZ,4051252
64,nicodu08,AZOZ,4025724
65,Pinsel20,AZOZ,3983800
66,jobcenter FFM,AZOZ,3903210
67,Hubi2025,AZOZ,3868921
68,Tom12234455,AZOZ,3824741
69,War1992rior,AZOZ,3701006
70,FATUUM,AZOZ,3686607
71,Saladin 1998,AZOZ,3447420
72,abo loona963,AZOZ,3367508
73,GaaGol,AZOZ,3181081
74,Ali lub,AZOZ,3149947
75,Z4ID,AZOZ,3093369
76,The Pharo 2026,AZOZ,3074342
77,MESCALINECIRCUS,AZOZ,2984252
78,Lord78,AZOZ,2889908
79,AHMD54,AZOZ,2774836
80,Kurdo,AZOZ,2765943
81,AMJAD bd,AZOZ,2521355
82,zImperial,AZOZ,2476025
83,Flugente,AZOZ,2350181
84,VanEricson,AZOZ,2244375
85,Pr0sent,AZOZ,2123041
86,Gedl,AZOZ,2066700
87,anaeliss,AZOZ,2007155
88,Mel Lyn,AZOZ,1175000
89,El Profesor 92,AZOZ,750000
90,SoreAss,AZOZ,725000
