Rank,Name,Alliance,Points
1,Kvothekg,AZOZ,32667321
2,SNEAKY BUNNY,AZOZ,27650974
3,Giorgiotown,AZOZ,15213453
4,Feivel D Maus,AZOZ,14244210
5,Fran171526,AZOZ,12455108
6,MacRoM,AZOZ,12307310
7,Kampfratze,AZOZ,9892757
8,Fürst der Nazgûl,AZOZ,8859497
9,LUCIFER,AZOZ,8654390
10,Kotor47,AZOZ,7332859
11,JSheridan,AZOZ,7277417
12,Tyskie 66,AZOZ,7222997
13,Jacob Carter,AZOZ,6812180
14,Azuuzz,AZOZ,6540401
15,EXITUS,AZOZ,5791887
16,Li La LiNuS,AZOZ,5774855
17,XxGranatxX,AZOZ,5644220
18,Skywölkchen,AZOZ,5449681
19,Saladin 1998,AZOZ,5294416
20,DiamonS,AZOZ,5038005
21,Queen from AZO,AZOZ,4990342
22,SNPOL,AZOZ,4934089
23,Amir Yakuza,AZOZ,4902111
24,Last Arti,AZOZ,4885654
25,Haulsen,AZOZ,4741403
26,Kytrider,AZOZ,4620047
27,CalziferFire,AZOZ,4585610
28,ʑLiM,AZOZ,4469439
29,VxClicker,AZOZ,4199699
30,Xamberon,AZOZ,4196825
31,Z4ID,AZOZ,4131046
32,Dejweed,AZOZ,3975653
33,LatastrophenUlli,AZOZ,3934724
34,Dragon blou,AZOZ,3925484
35,Fürstin von Knolle,AZOZ,3917293
36,Marshalfery,AZOZ,3886814
37,SmartesGirl,AZOZ,3862074
38,LosChapito,AZOZ,3792212
39,Himbeertony,AZOZ,3790705
40,joaocosta11,AZOZ,3737634
41,Mischel89,AZOZ,3661956
42,Mel Lyn,AZOZ,3600383
43,Dr Cal Lightman,AZOZ,3587017
44,Crossf4d3,AZOZ,3468543
45,1Łukasz1,AZOZ,3136536
46,haasenpeter rex,AZOZ,3056809
47,FATUUM,AZOZ,3028649
48,Irongrim,AZOZ,2950039
49,sunny75,AZOZ,2891526
50,Kurdo,AZOZ,2853086
51,Tom12234455,AZOZ,2705875
52,Bestia77,AZOZ,2682060
53,DragonWiz,AZOZ,2656700
54,nicodu08,AZOZ,2638499
55,Lilly187,AZOZ,2636478
56,Ali lub,AZOZ,2615085
57,Lady Emm,AZOZ,2596375
58,feimel,AZOZ,2585029
59,Flugente,AZOZ,2550000
60,Pinsel20,AZOZ,2492256
61,bijan,AZOZ,2471105
62,fffeyz,AZOZ,2465052
63,Peridakles,AZOZ,2460850
64,abo loona963,AZOZ,2424169
65,MESCALINECIRCUS,AZOZ,2403260
66,DaliborDaki,AZOZ,2194677
67,kawaman35,AZOZ,2192688
68,Katerina77,AZOZ,2187625
69,DooYooDoo,AZOZ,2162375
70,Sultan Murat X,AZOZ,2124823
71,ToxicV9,AZOZ,2051956
72,Gedl,AZOZ,2049653
73,metauchopf,AZOZ,2046875
74,The Pharo 2026,AZOZ,2041995
75,Hubi2025,AZOZ,2018500
76,anaeliss,AZOZ,2000000
77,ProSent,AZOZ,1990479
78,VanEricson,AZOZ,1850000
79,Sphere8472,AZOZ,1824309
80,Aenwe,AZOZ,1824119
81,El Profesor  92,AZOZ,1757500
82,jobcenter FFM,AZOZ,1566402
83,AHMD54,AZOZ,1299095
84,AMJAD bd,AZOZ,1289667
85,War1992rior,AZOZ,1070770
86,GaaGol,AZOZ,1002813
87,Lord78,AZOZ,900000
88,zImperial,AZOZ,650000
89,Darkweed,AZOZ,600000
90,Nidhögr,AZOZ,452592
91,SoreAss,AZOZ,281610
