rank,name,alliance,points
1,Kvothekg,AZOZ,124406145
2,Fran171526,AZOZ,110723640
3,SNEAKY BUNNY,AZOZ,106763750
4,Feivel D MauS,AZOZ,105598409
5,haasenpeter rex,AZOZ,97394728
6,Kampfratze,AZOZ,91142142
7,JSheridan,AZOZ,87970023
8,Kotor47,AZOZ,81061737
9,Giorgiotown,AZOZ,80241525
10,Fürst der Nazgûl,AZOZ,77203882
11,Li La LiNus,AZOZ,76331177
12,Haulsen,AZOZ,75474951
13,Peridakles,AZOZ,73454650
14,Skywölkchen,AZOZ,72171393
15,MacRoM,AZOZ,71080446
16,Jacob Carter,AZOZ,70849774
17,Crossf4d3,AZOZ,67532163
18,joaocosta11,AZOZ,66705682
19,Tyskie 66,AZOZ,65248539
20,Azuuzz,AZOZ,61081452
21,DaliborDaki,AZOZ,57796119
22,Amir Yakuza,AZOZ,57236404
23,CalziferFire,AZOZ,56393994
24,SmartesGirl,AZOZ,56057111
25,LUCIFER,AZOZ,55584719
26,Queen from AZO,AZOZ,54987119
27,Dejweed,AZOZ,54317757
28,SNPOL,AZOZ,53925251
29,Aenwe,AZOZ,53844344
30,Kytrider,AZOZ,53607099
31,Xamberon,AZOZ,52422055
32,DiamonS,AZOZ,52119304
33,jobcenter FFM,AZOZ,51053333
34,Katerina77,AZOZ,50818152
35,Fürstin von Knolle,AZOZ,49969768
36,Dragon blou,AZOZ,49606514
37,fffeyz,AZOZ,47324621
38,feimel,AZOZ,46409840
39,sunny75,AZOZ,45593685
40,Last Arti,AZOZ,45225844
41,EXITUS,AZOZ,44694551
42,Marshalfery,AZOZ,44061077
43,Sphere8472,AZOZ,43512952
44,Dr Cal Lightman,AZOZ,43462747
45,Himbeertony,AZOZ,42305425
46,DooYooDoo,AZOZ,41945131
47,DragonWiz,AZOZ,41821178
48,Pinsel20,AZOZ,40206398
49,ToxicV9,AZOZ,39983416
50,LosChapito,AZOZ,39292537
51,عليـM,AZOZ,38983026
52,Tom1234455,AZOZ,38812901
53,Mischel89,AZOZ,38425865
54,XxGranatxX,AZOZ,37738087
55,Irongrim,AZOZ,36913424
56,Lilly187,AZOZ,36680041
57,FATUUM,AZOZ,36489082
58,metauchopf,AZOZ,36209413
59,Z4ID,AZOZ,35254869
60,Bestia77,AZOZ,35161037
61,bjian,AZOZ,34675350
62,VxClicker,AZOZ,33247681
63,Sultan Murat X,AZOZ,32946563
64,GaaGol,AZOZ,32870146
65,LatastrophenUlli,AZOZ,32745302
66,1Łukasz1,AZOZ,32535995
67,MESCALINECIRCUS,AZOZ,32208334
68,Mel Lyn,AZOZ,32063585
69,Lady Emm,AZOZ,31632430
70,Kurdo,AZOZ,29056416
71,nicodu08,AZOZ,28377214
72,Flugente,AZOZ,28090343
73,Ali lub,AZOZ,27934186
74,anaeliss,AZOZ,26407337
75,Hubi2025,AZOZ,26342914
76,Saladin 1998,AZOZ,26273182
77,The Pharo 2026,AZOZ,24567614
78,kawaman35,AZOZ,24522048
79,Darkweed,AZOZ,23659470
80,Pr0sent,AZOZ,22693743
81,zImperial,AZOZ,22490384
82,Lord78,AZOZ,22270020
83,VanEricson,AZOZ,22264321
84,SoreAss,AZOZ,21409488
85,War1992rior,AZOZ,21084295
86,El Profesor 92,AZOZ,20377859
87,AMJAD bd,AZOZ,16178651
88,abo loona963,AZOZ,15975036
89,Gedl,AZOZ,15907304
90,AHMD54,AZOZ,13101221
91,Nidhögr,AZOZ,3808120
