week,position 1,position 2, position 3
001,FATUUM,Azuuzz,Feivel D MauS
002,Kvothekg,Azuuzz,FATUUM
003,Kvothekg,Xambash,UMY Stern
004,Azuuzz,Feivel D MauS,2 s t y
005,Azuuzz,Last Wolf Warrior,2 s t y
006,Azuuzz,Feivel D MauS,Cluster82
007,Azuuzz,Gordon Freimann,Smowy
008,Feivel D MauS,Gordon Freimann,Smowy
009,UMY Stern,Smowy,Azuuzz
010,Azuuzz,UMY Stern,Cluster82
011,Gordon Freimann,dome94G,Haulsen
012,Li La LiNuS,Azuuzz,Smowy
013,Cluster82,Li La LiNuS,Azuuzz
014,Smowy,Li La LiNuS,Kotor47
015,Li La LiNuS,UMY Stern,Smowy
016,pizm8 ツ,Smowy,Cluster82
017,Last Wolf Warrior,Smowy,UMY Stern
018,Fran171526,Kotor47,Li La LiNuS
