Rang,Kommandant,Rangstufe,Spendenpunkte
1,Irongrim,R3,150950
2,sunny75,R3,68450
3,Kampfratze,R4,58450
4,VanEricson,R2,56250
5,DragonWiz,R3,54200
6,Skywölkchen,R4,53600
7,Haulsen,R3,52650
8,Kvothekg,R3,52550
9,haasenpeter rex,R3,51000
10,Jimi777,R1,50100
11,SmartesGirl,R4,50050
12,SNPOL,R3,49350
13,Fürst der Nazgúl,R4,47750
14,FATUUM,R2,47150
15,Kotor47,R3,46700
16,Aenwe,R3,46700
17,DaliborDaki,R3,45400
18,Gedl,R1,44950
19,Fran171526,R3,44500
20,SNEAKY BUNNY,R3,44150
21,bijian,R2,43950
22,Pinsel20,R3,43850
23,JSheridan,R4,43850
24,The Pharo 2026,R2,43750
25,Li La LiNuS,R3,43750
26,Dr Cal Lightman,R3,43750
27,EXITUS,R3,43550
28,Giorgiotown,R3,43450
29,Crossf4d3,R3,43300
30,jobcenter FFM,R3,43150
31,Queen from AZO,R4,42900
32,شام,R2,42750
33,Bestia77,R2,42600
34,LosChapito,R2,42500
35,1Łukasz1,R2,42050
36,Marshalfery,R3,41850
37,Last Arti,R3,41850
38,Dragon blou,R3,41400
39,Sphere8472,R3,41400
40,Jacob Carter,R3,41350
41,Lady Emm,R2,41200
42,K u r d o,R3,41150
43,Tom12234455,R2,41150
44,Tyskie 66,R3,40800
45,Sultan Murat X,R2,40750
46,Schlabberbacke,R5,40750
47,Peridakles,R3,40600
48,nicodu08,R2,40500
49,Fürstin von Knolle,R3,40500
50,Mel Lyn,R2,40300
51,Himbeertony,R3,40200
52,fffeyz,R3,40200
53,El Profesor 92,R2,40150
54,abo loona963,R1,39550
55,Amir Yakuza,R3,39150
56,CalziferFire,R3,38750
57,LatastrophenUlli,R2,38250
58,Dejweed,R3,38000
59,Lilly187,R2,37650
60,Feivel D Maus,R4,37300
61,Saladin 1998,R2,37250
62,anaeliss,R2,36600
63,zlmperial,R2,36450
64,Flugente,R2,36400
65,feimel,R4,35600
66,GaaGol,R2,35450
67,MESCALINECIRCUS,R2,34800
68,joaocosta11,R3,34750
69,AMJAD bd,R1,34250
70,Hubi2025,R2,33750
71,Katerina77,R3,33450
72,Xamberon,R3,32500
73,metauchopf,R2,31050
74,DooYooDoo,R3,30750
75,Ali lub,R2,27950
76,TESLUX,R2,26100
77,AHMD54,R1,22500
78,kawaman35,R2,21700
79,ProSent,R2,21650
80,VxClicker,R2,19850
81,XxGranatxX,R2,19700
82,ToxicV9,R4,14650
83,War1992rior,R2,14550
84,Mischel89,R2,13300
85,Lord78,R2,12600
86,MacRoM,R3,4150
87,Darkweed,R2,2950
88,Bubu2121,R1,0
89,Dekubitus,R1,0
90,AnKaBo,R1,0
91,AZO OPA,R1,0
