Rang,Kommandant,Allianz,Punkte
1,SNEAKY BUNNY,[AZO],21872774
2,Fürst der Nazgûl,[AZO],20964036
3,Kvothekg,[AZO],18811733
4,Schlabberbacke,[AZO],15860199
5,Crossf4d3,[AZO],9466274
6,Kampfratze,[AZO],9258286
7,Kotor47,[AZO],8472113
8,Tyskie 66,[AZO],8289698
9,feimel,[AZO],8280250
10,JSheridan,[AZO],7700401
11,Giorgiotown,[AZO],7643706
12,Dragon blou,[AZO],7367249
13,haasenpeter rex,[AZO],7341663
14,Jacob Carter,[AZO],7313285
15,Li La LiNuS,[AZO],6368080
16,Saladin 1998,[AZO],6224087
17,Peridakles,[AZO],5816250
18,Fran171526,[AZO],5616036
19,Haulsen,[AZO],5522129
20,Sphere8472,[AZO],5437020
21,Fürstin von Knolle,[AZO],5245327
22,DaliborDaki,[AZO],5175985
23,Skywölkchen,[AZO],4892900
24,Katerina77,[AZO],4885338
25,Flugente,[AZO],4818486
26,SNPOL,[AZO],4808925
27,nicodu08,[AZO],4677162
28,TESLUX,[AZO],4557758
29,GaaGol,[AZO],4250226
30,Himbeertony,[AZO],4179125
31,sunny75,[AZO],4073875
32,Dr Cal Lightman,[AZO],3661919
33,Mischel89,[AZO],3657648
34,Feivel D MauS,[AZO],3597573
35,K u r d o,[AZO],3521235
36,Last Arti,[AZO],3291926
37,Ali lub,[AZO],3171695
38,Lady Emm,[AZO],3163676
39,LatastrophenUlli,[AZO],3060674
40,Tom12234455,[AZO],3046000
41,MESCALINECIRCUS,[AZO],2938160
42,DragonWiz,[AZO],2925002
43,Bestia77,[AZO],2924375
44,1Łukasz1,[AZO],2918921
45,FATUUM,[AZO],2913314
46,Dejweed,[AZO],2898755
47,joaocosta11,[AZO],2845360
48,fffeyz,[AZO],2826250
49,عليM,[AZO],2800500
50,Marshalfery,[AZO],2798910
51,Xamberon,[AZO],2763500
52,The Pharo 2026,[AZO],2698109
53,Amir Yakuza,[AZO],2650002
54,CalziferFire,[AZO],2613000
55,LosChapito,[AZO],2607480
56,AHMD54,[AZO],2529375
57,AMJAD bd,[AZO],2367558
58,bijan,[AZO],2342322
59,Jimi777,[AZO],2336085
60,jobcenter FFM,[AZO],2280070
61,Hubi2025,[AZO],2250000
62,SmartesGirl,[AZO],2212588
63,El Profesor 92,[AZO],2187000
64,Queen from AZO,[AZO],2165000
65,Gedl,[AZO],2164750
66,DooYooDoo,[AZO],2150000
67,metauchopf,[AZO],2148250
68,Lord78,[AZO],2082786
69,Pinsel20,[AZO],2025625
70,Aenwe,[AZO],2003000
71,Lilly187,[AZO],2000000
72,Irongrim,[AZO],2000000
73,Pr0sent,[AZO],1874750
74,VanEricson,[AZO],1873250
75,Mel Lyn,[AZO],1850000
76,ToxicV9,[AZO],1752500
77,anaeliss,[AZO],1700000
78,Sultan Murat X,[AZO],1550000
79,abo loona963,[AZO],1452748
80,EXITUS,[AZO],1400000
81,VxClicker,[AZO],1254673
82,zImperial,[AZO],1200000
83,XxGranatxX,[AZO],1000000
84,War1992rior,[AZO],688116
85,kawaman35,[AZO],317478
86,Darkweed,[AZO],307688
87,MacRoM,[AZO],195311
