week,position 1,position 2, position 3
001,haasenpeter rex,sunny75,Aenwe
002,Irongrim,sunny75,Kampfratze
003,Fran171526,azerty57,cappu97
004,azerty57,Bugab0o,cappu97
005,azerty57,cappu97,Bugab0o
006,azerty57,cappu97,Bugab0o
007,azerty57,Peridakles,cappu97
008,azerty57,cappu97,Bugab0o
009,azerty57,cappu97,Bugab0o
010,cappu97,azerty57,Sanya Longer
011,azerty57,cappu97,PHOENIX FOX
012,azerty57,cappu97,Bugab0o
013,azerty57,Fürstin,cappu97
014,azerty57,waynowazza,Bugab0o
015,azerty57,cappu97,Bugab0o
016,azerty57,haasenpeter rex,Bugab0o
017,azerty57,Bugab0o,cappu97
018,azerty57,cappu97,Archy Monkey
019,azerty57,waynowazza,cappu97
020,
021,BugaBoo,azerty57,waynowazza
