Rang,Kommandant,Punkte
1,Schlabberbacke,15.765.850
2,Smowy,15.659.975
3,haasenpeter rex,12.136.925
4,fffeyz,12.021.625
5,Bugab0o,11.051.675
6,lefueT,10.787.950
7,Cheesynator,10.188.350
8,Last Wolf Warrior,10.085.625
9,jobcenter FFM,9.997.350
10,UMY Stern,9.696.475
11,Kytrider,9.223.100
12,Kotor47,8.986.225
13,PHOENIX FOX,8.979.525
14,Haulsen,8.840.725
15,JSheridan,8.793.975
16,Giorgiotown,8.754.675
17,R2DrehZwo,8.661.825
18,SNPOL,8.625.250
19,Fran171526,8.597.925
20,Fürst der Nazgúl,8.557.100
21,Li La LiNuS,8.432.500
22,Skywölkchen,8.300.750
23,Dejweed,8.297.475
24,SNEAKY BUNNY,8.235.750
25,Jónny666,8.223.825
26,케포 부인,8.194.450
27,Hhjjjjcg,8.179.250
28,cappu97,8.177.450
29,K E R S Y,8.134.350
30,Crossf4d3,8.064.675
31,FATUUM,8.045.900
32,Gordon Freimann,8.022.825
33,Queen from AZO,7.993.150
34,Pinsel20,7.983.600
35,Cluster82,7.975.800
36,Sphere8472,7.971.825
37,ECSI,7.956.775
38,Mel Lyn,7.955.175
39,CalziferFire,7.795.725
40,feimel,7.774.025
41,Mischel89,7.706.850
42,Himbeertony,7.699.875
43,Feivel D MauS,7.694.075
44,Dr Cal Lightman,7.657.550
45,Tyskie 66,7.634.500
46,Amir Yakuza,7.617.987
47,Svela17,7.549.725
48,Sultan Murat X,7.528.925
49,sunny75,7.503.650
50,LUCIFER,7.491.675
51,Bogo und Pini,7.463.300
52,Kpiftw,7.436.375
53,Jacob Carter,7.401.300
54,Swe Sandman,7.397.700
55,LatastrophenUlli,7.371.825
56,EXITUS,7.366.925
57,Xambash,7.316.800
58,SmartesGirl,7.306.500
59,DooYooDoo,7.306.350
60,DaliborDaki,7.288.200
61,Marshalfery,7.263.599
62,DragonWiz,7.238.775
63,Jimi777,7.232.525
64,Lieutenant Treetops,7.223.400
65,Last Arti,7.222.475
66,Katerina77,7.201.900
67,Leijonamieli,6.777.850
68,Aenwe,6.772.825
69,azerty57,6.619.575
70,Fürstin von Knolle,6.256.675
71,Christo30,6.212.400
72,Bestia77,5.985.300
73,Br0nzo,5.941.650
74,MiepStreet,5.534.600
75,Lilly187,5.520.575
76,ozzy5255,5.272.000
77,metauchopf,5.087.875
78,ZIYOUD,5.050.300
79,jukata,5.008.300
80,Toby Urbex,4.875.100
81,Mac1902,4.590.200
82,The Pharo 2026,4.499.530
83,Sanya Longer,4.303.500
84,Tom12234455,4.223.600
85,GaaGol,4.186.075
86,Yama Arashi,4.091.675
87,AHMD54,4.006.075
88,VxClicker,3.953.500
89,K u r d o,3.640.432
90,Dragon blou,3.451.400
91,1Łukasz1,3.113.250
92,Lord78,2.938.775
93,yyyyyyvhhnmll,2.257.310
94,El Profesor  92,2.165.525
95,kawaman35,62.500
