Rang,Kommandant,Punkte
1,Jacob Carter,78745215
2,Marshalfery,72194025
3,haasenpeter rex,68018319
4,Fürst der Nazgûl,64414110
5,BugaBoo,63695034
6,Kotor47,61587021
7,SNEAKY BUNNY,61476291
8,Smowy,60743369
9,lefueT,59459336
10,UMY Stern,59272799
11,azerty57,58375798
12,Himbeertony,57412369
13,Tyskie 66,56531645
14,Cheesynator,55217632
15,Cluster82,54734088
16,Haulsen,54657984
17,JSheridan,53880322
18,Dejweed,53090740
19,Feivel D Maus,52595588
20,Jónny666,52382909
21,Bogo und Pini,52081733
22,Dr Cal Lightman,52073057
23,Queen from AZO,51601679
24,케포 부인,50619432
25,Katerina77,50596572
26,Amir Yakuza,50511621
27,Aenwe,50482003
28,cappu97,50381012
29,K E R S Y,49927374
30,Dragon blou,49905697
31,Skywölkchen,49718158
32,Kytrider,49694791
33,Schlabberbacke,49241489
34,Giorgiotown,49122441
35,PHOENIX FOX,48601225
36,Fran171526,48580411
37,Gordon Freimann,47242225
38,fffeyz,47196782
39,Fürstin von Knolle,47028206
40,EXITUS,46975567
41,Crossf4d3,46744848
42,DaliborDaki,46198811
43,Swe Sandman,46154978
44,Last Arti,45748433
45,sunny75,45440881
46,SNPOL,45263758
47,LUCIFER,43580072
48,Kpiftw,43242635
49,DragonWiz,42492365
50,Mischel89,42469608
51,Svela17,42052493
52,jobcenter FFM,41961564
53,Li La LiNuS,41858836
54,DooYooDoo,41130788
55,feimel,41102988
56,metauchopf,40963254
57,CalziferFire,40928408
58,Last Wolf Warrior,40865971
59,Xambash,40797031
60,Hhjjjjcg,40355693
61,Mel Lyn,40042384
62,ECSI,39954438
63,Sphere8472,39618165
64,Christo30,39378336
65,R2DrehZwo,39204956
66,Jimi777,39193562
67,Bestia77,38788016
68,FATUUM,38682768
69,Pinsel20,37962818
70,jukata,37274558
71,Lilly187,37085931
72,ozzy5255,36999688
73,Leijonamieli,36607806
74,LatastrophenUlli,36456106
75,Tom12234455,36367394
76,Mac1902,35892564
77,VxClicker,35837586
78,SmartesGirl,35795906
79,ZIYOUD,35388016
80,The Pharo 2026,35220830
81,BrOnzo,34963892
82,Sultan Murat X,33568358
83,Yama Arashi,31922462
84,Sanya Longer,29925081
85,MiepStreet,29506286
86,Toby Urbex,29242568
87,Lieutenant Treetops,28558066
88,K u r d o,27454349
89,1Łukasz1,26870778
90,GaaGol,26853957
91,Peridakles,26337846
92,El Profesor  92,25005421
93,yyyyyyvhnnmlI,19018214
94,Lord78,17882546
95,AHMD54,14395320
96,kawaman35,5279384
