Rang,Kommandant,Allianz,Punkte
1,Bugab0o,AZOZ,21648250
2,IefueT,AZOZ,19525250
3,Last Wolf Warrior,AZOZ,17860500
4,FATUUM,AZOZ,17464525
5,Kotor47,AZOZ,16768375
6,UMY Stern,AZOZ,15604000
7,Giorgiovillage,AZOZ,15199625
8,Aenwe,AZOZ,14741875
9,MrSajmonn,AZOZ,14636000
10,Queen from AZO,AZOZ,13614500
11,RAV28,AZOZ,13391500
12,Skywölkchen,AZOZ,13250875
13,EXITUS,AZOZ,13193000
14,Cluster82,AZOZ,12658250
15,JSheridan,AZOZ,12342375
16,Jacob Carter,AZOZ,12058875
17,Tom12234455,AZOZ,11995375
18,Li La LiNuS,AZOZ,11811625
19,GaaGol,AZOZ,11791175
20,SmartesGirl,AZOZ,11549000
21,Mel Lyn,AZOZ,11455250
22,cappu97,AZOZ,10800500
23,Swe Sandman,AZOZ,10738750
24,Bogo und Pini,AZOZ,10475975
25,Lilly187,AZOZ,10341125
26,Fürst der Nazgûl,AZOZ,10062250
27,haasenpeter rex,AZOZ,9982500
28,SNEAKY BUNNY,AZOZ,9752875
29,Christo30,AZOZ,9743250
30,DaliborDaki,AZOZ,9724125
31,Baba Basti,AZOZ,9714000
32,Haulsen,AZOZ,9665750
33,PHOENIX FOX,AZOZ,9610375
34,Tyskie 66,AZOZ,9527875
35,Gordon Freimann,AZOZ,9413875
36,SamoZlo,AZOZ,9404500
37,azerty57,AZOZ,9351150
38,Crossf4d3,AZOZ,9187100
39,Elora Faye,AZOZ,9144500
40,Xambash,AZOZ,9111625
41,Sphere8472,AZOZ,9028250
42,Jimi777,AZOZ,8997125
43,Kytrider,AZOZ,8948375
44,Last Arti,AZOZ,8411625
45,Pinsel20,AZOZ,8331125
46,DooYooDoo,AZOZ,8323025
47,Amir Yakuza,AZOZ,8244245
48,Fran171526,AZOZ,7982750
49,Dejweed,AZOZ,7946250
50,MiepStreet,AZOZ,7871475
51,Svela17,AZOZ,7697625
52,2 s t y,AZOZ,7657875
53,Himbeertony,AZOZ,7648250
54,Sultan Murat X,AZOZ,7540500
55,Hhjijjcg,AZOZ,7518475
56,Schlabberbacke,AZOZ,7500750
57,ECSI,AZOZ,7493250
58,Lieutenant Treetops,AZOZ,7454500
59,CalziferFire,AZOZ,7410250
60,K E R S Y,AZOZ,7346100
61,metauchopf,AZOZ,7332125
62,Bestia77,AZOZ,7307625
63,Leijonamieli,AZOZ,7295875
64,fffeyz,AZOZ,7289750
65,feimel,AZOZ,7272625
66,R2DrehZwo,AZOZ,7266675
67,Marshalfery,AZOZ,7237536
68,Mischel89,AZOZ,7219380
69,Katerina77,AZOZ,7212250
70,sunny75,AZOZ,7210250
71,The Pharo 2026,AZOZ,7207510
72,Dr Cal Lightman,AZOZ,7206250
73,Giorgiotown,AZOZ,7202875
74,Smowy,AZOZ,7200000
75,jukata,AZOZ,6433750
76,케포 부인,AZOZ,6243900
77,Toby Urbex,AZOZ,6124800
78,DragonWiz,AZOZ,6061675
79,jobcenter FFM,AZOZ,5943500
80,Jónny666,AZOZ,5659550
81,ozzy5255,AZOZ,5492120
82,Cheesynator,AZOZ,5401250
83,1Łukasz1,AZOZ,5273625
84,yyyyyyvhnmll,AZOZ,5188200
85,Yama Arashi,AZOZ,5115500
86,Kpiftw,AZOZ,5065125
87,Br0nzo,AZOZ,4998375
88,Sanya Longer,AZOZ,4872450
89,ZIYOUD,AZOZ,4851550
90,Kurdo,AZOZ,4734722
91,LatastrophenUlli,AZOZ,4715900
92,Mac1902,AZOZ,4567500
93,Dragon blou,AZOZ,4503500
94,SNPOL,AZOZ,4352250
95,El Profesor  92,AZOZ,3896625
96,Feivel D MauS,AZOZ,3582000
97,VxClicker,AZOZ,2360000
