week,position 1,position 2, position 3
001,Kvothekg,Fran171526,SNEAKY BUNNY
002,Li La LiNuS,Peridakles,Schlabberbacke
003,Jacob Carter,Marshalfery,haasenpeter rexs
004,BungabOo,Li La LiNuS,UMY Stern
005,Smowy,Fürst der Nazgúl,UMY Stern
006,Li La LiNuS,Bugab0o,UMY Stern
007,Li La LiNuS,Baba Basti,UMY Stern
008,Last Wolf Warrior,Smowy,SNEAKY BUNNY
009,Li La Linus,UMY Stern,Baba Basti
010,Himbeertony,Jacob Carter,Kotor47
011,Li La LiNuS,BugaBoo,RAV28
012,Kpiftw,RAV28,supi pupi
013,Last Wolf Warrior,Bugaboo,Baba Basti
014,Smowy,Baba Basti,supi pupi
015,pizm8 ツ,Kotor47,Smowy
016,Li La LiNuS,Baba Basti,Bugab0o
017,Bugab0o,Last Wolf Warrior,JSheridan
018,Fluffy,Kotor47,Adäm

021,Last Wolf Warrior,Kotor47,Fürst der Nazgûl
022,Li La QuEeNuS,Smowy,azerty57
023,pizm8 ツ,Baba Basti,Smowy
