Rank,Name,Points
1,[AZO]Azuuzz,4197981
2,[AZO]Last Wolf Warrior,2353740
3,[AZO]2 s t y,2039034
4,[AZO]Li La LiNuS,1885293
5,[AZO]Xambash,1573893
6,[AZO]Smowy,1374472
7,[AZO]Bestia77,1359247
8,[AZO]Feivel D Maus,1354325
9,[AZO]Skywölkchen,1122623
10,[AZO]Queen from AZO,887212
11,[AZO]Baba Basti,857306
12,[AZO]azerty57,724926
13,[AZO]케포 부인,706124
14,[AZO]Bugab0o,686433
15,[AZO]Cluster82,642001
16,[AZO]Samozlo,607518
17,[AZO]Jónny666,600405
18,[AZO]iAmTed,558194
19,[AZO]MrSajmonn,424001
20,[AZO]PHOENIX FOX,395289
21,[AZO]RAV28,162947
22,[AZO]Sanya Longer,132999
23,[AZO]Mac1902,109935
