Rank,Name,Level,Points
1,azerty57,R3,114850
2,cappu97,R3,99250
3,Bugab0o,R3,76350
4,Swe Sandman,R3,63150
5,jukata,R2,58350
6,PHOENIX FOX,R4,57000
7,Jónny666,R3,56400
8,Last Wolf Warrior,R4,56250
9,Cluster82,R3,56200
10,DragonWiz,R3,56100
11,Svela17,R3,55000
12,KERSY,R3,54450
13,Smowy,R4,53650
14,Skywölkchen,R4,53300
15,Gordon Freimann,R3,52800
16,ECSI,R3,52500
17,Hhjijjjcg,R2,50950
18,Sanya Longer,R3,49050
19,sunny75,R3,48750
20,SNPOL,R2,48250
21,Kotor47,R3,47500
22,Fürst der Nazgúl,R4,47050
23,Jimi777,R3,46700
24,MrSajmonn,R3,46050
25,RAV28,R3,46000
26,Queen from AZO,R4,44850
27,fffeyz,R2,44500
28,Kpiftw,R2,44500
29,lefueT,R3,44300
30,ozzy5255,R2,44250
31,케포 부인,R2,43850
32,Pawelte,R3,43800
33,DaliborDaki,R3,43700
34,UMY Stern,R3,43650
35,Dragon blou,R2,43600
36,Fran171526,R3,43350
37,haasenpeter rex,R3,43300
38,JSheridan,R4,43300
39,Jacob Carter,R3,43250
40,Toby Urbex,R2,43250
41,Fürstin Elora Faye,R3,43250
42,Dejweed,R3,43250
43,Amir Yakuza,R3,42800
44,feimel,R3,42650
45,Aenwe,R3,42550
46,Lieutenant Treetops,R3,42200
47,LatastrophenUlli,R2,42150
48,Sūgārpüff,R3,42150
49,Christo30,R3,42050
50,Haulsen,R3,41950
51,Bestia77,R2,41950
52,Bogo und Pini,R3,41600
53,Samozlo,R3,41450
54,Feivel D Maus,R4,40800
55,Baba Basti,R3,40750
56,SNEAKY BUNNY,R3,40750
57,Giorgiotown,R3,40650
58,Pinsel20,R2,40650
59,The Pharo 2026,R2,40550
60,CalziferFire,R2,40350
61,SmartesGirl,R4,40250
62,Marshalferry,R3,40050
63,Tom12234455,R3,39750
64,Dr Cal Lightman,R3,39150
65,Mac1902,R2,39050
66,Cheesynator,R2,38800
67,2 s t y,R3,38800
68,CërëâlKillêr,R3,38600
69,R2DrehZwo,R2,38400
70,Yama Arashi,R2,38100
71,FATUUM,R3,38000
72,iAmTed,R3,37800
73,Schlabberbacke,R5,37700
74,jobcenter FFM,R2,37550
75,Himbeertony,R3,37500
76,Li La LiNuS,R3,37200
77,EXITUS,R3,37000
78,Leijonamieli,R2,36900
79,MetauChopf,R3,36800
80,Sphere8472,R3,36650
81,Br0nzo,R2,36450
82,GaaGol,R3,36400
83,Sultan Murat X,R2,36250
84,Peridakles,R3,35500
85,Katerina77,R2,35050
86,Kytrider,R4,34100
87,Tyskie 66,R3,33950
88,Xambash,R3,33650
89,DooYooDoo,R3,31200
90,Last Arti,R3,29950
91,Mel Lyn,R2,29950
92,Lilien1999,R2,29750
93,K u r d o,R2,29200
94,Lilly187,R3,27200
95,yyyyyyvhnnmll,R2,26700
96,MiepStreet,R2,26150
97,VxClicker,R2,23100
98,z4ID,R2,18900
99,Mischel89,R2,16000
100,MacRoM,R3,0
