Rang,Kommandant,Punkte
1,Dr Cal Lightman,14659125
2,JSheridan,12464000
3,Bestia77,12419600
4,Fürst der Nazgûl,12277125
5,Dejweed,12258125
6,ozzy5255,11556340
7,fffeyz,11012750
8,Bugab0o,10396750
9,Z4ID,10339400
10,CalziferFire,10238375
11,Xambash,9932500
12,2 s t y,9057000
13,MetauChopf,9028050
14,Kotor47,8792125
15,Jónny666,8684875
16,UMY Stern,8679875
17,Schlabberbacke,8592750
18,ECSI,8328875
19,Lieutenant Treetops,8241500
20,sunny75,8203125
21,SamoZlo,7916150
22,Lilien1999,7910750
23,Skywölkchen,7880875
24,Cheesynator,7844875
25,Queen from AZO,7841750
26,haasenpeter rex,7805625
27,CêrêâlKîllêr,7790900
28,Pawelte,7700850
29,SmartesGirl,7627500
30,Himbeertony,7612750
31,lefueT,7605875
32,Tom12234455,7581250
33,Swe Sandman,7544000
34,jukata,7528375
35,Lilly187,7527500
36,Fran171526,7527250
37,Gordon Freimann,7518125
38,SNEAKY BUNNY,7504375
39,Jacob Carter,7501875
40,Toby Urbex,7485225
41,Jimi777,7481750
42,EXITUS,7471000
43,Hhjjjjcg,7470800
44,Smowy,7467250
45,Last Wolf Warrior,7464625
46,Sphere8472,7455750
47,Cluster82,7412875
48,MiepStreet,7392975
49,Last Arti,7371750
50,DooYooDoo,7346025
51,Baba Basti,7343125
52,Leijonamieli,7330875
53,Giorgiotown,7301875
54,Pinsel20,7291625
55,Christo30,7274250
56,Kpiftw,7247625
57,Fürstin Elora Faye,7244625
58,DaliborDaki,7243125
59,Katerina77,7243125
60,Amir Yakuza,7233704
61,Haulsen,7230275
62,PHOENIX FOX,7224975
63,GaaGol,7215550
64,Dragon blou,7215175
65,RAV28,7214875
66,Bogo und Pini,7211775
67,Li La LiNuS,7211000
68,cappu97,7210750
69,The Pharo 2026,7209920
70,Br0nzo,7204750
Rang,Kommandant,Punkte
71,KERSY,7200525
72,azerty57,6858775
73,Feivel D MauS,6794125
74,DragonWiz,6741125
75,Kytrider,6398500
76,Peridakles,6359000
77,LatastrophenUlli,6196700
78,VxClicker,6038875
79,iAmTed,6005625
80,SNPOL,5832375
81,Svela17,5737125
82,Sultan Murat X,5734625
83,Marshalfery,5624476
84,R2DrehZwo,5102350
85,Yama Arashi,5063250
86,케포 부인,4971075
87,feimel,4675500
88,Sanya Longer,4627825
89,Mischel89,4544577
90,Mac1902,4354875
91,Sûgârpûff,4311250
92,MrSajmonn,4180000
93,jobcenter FFM,4162000
94,FATUUM,3998825
95,Aenwe,3933375
96,Mel Lyn,3281000
97,yyyyyyyhhnmll,3028875
98,Tyskie 66,2744625
99,Kurdo,2399190
