Rang,Kommandant,Allianz,Punkte
1,Giorgiotown,AZOZ,19279425
2,EXITUS,AZOZ,17458875
3,Buqab0o,AZOZ,15500100
4,Cluster82,AZOZ,15478250
5,haasenpeter rex,AZOZ,15415225
6,JSheridan,AZOZ,14125675
7,UMY Stern,AZOZ,14050600
8,Schlabberbacke,AZOZ,12593700
9,Smowy,AZOZ,12506075
10,Baba Basti,AZOZ,12193725
11,Fürst der Nazgûl,AZOZ,12098825
12,Fran171526,AZOZ,11660775
13,Feivel D MauS,AZOZ,10918725
14,SNPOL,AZOZ,9065900
15,DooYooDoo,AZOZ,8972025
16,Last Wolf Warrior,AZOZ,8926925
17,Xambash,AZOZ,8924800
18,Lilien1999,AZOZ,8906825
19,Cheesynator,AZOZ,8877750
20,Jimi777,AZOZ,8776950
21,iAmTed,AZOZ,8646050
22,IefueT,AZOZ,8630600
23,Queen from AZO,AZOZ,8623375
24,cappu97,AZOZ,8581175
25,Kytrider,AZOZ,8498975
26,RAV28,AZOZ,8495625
27,Aenwe,AZOZ,8494400
28,Lilly187,AZOZ,8478550
29,Haulsen,AZOZ,8453000
30,PHOENIX FOX,AZOZ,8402450
31,Dejweed,AZOZ,8396200
32,Pinsel20,AZOZ,8378375
33,MrSajmonn,AZOZ,8257100
34,CalziferFire,AZOZ,8231250
35,Swe Sandman,AZOZ,8203125
36,Katerina77,AZOZ,8187125
37,feimel,AZOZ,8174925
38,MiepStreet,AZOZ,8167175
39,BrOnzo,AZOZ,8132400
40,Jacob Carter,AZOZ,8014500
41,Amir Yakuza,AZOZ,8001592
42,Kotor47,AZOZ,7992100
43,ECSI,AZOZ,7991125
44,Himbeertony,AZOZ,7972550
45,CërëâlKïllêr,AZOZ,7897900
46,Lieutenant Treetops,AZOZ,7886425
47,MetauChopf,AZOZ,7849550
48,Svela17,AZOZ,7738450
49,2 s t y,AZOZ,7721550
50,SamoZlo,AZOZ,7719275
51,Sphere8472,AZOZ,7689950
52,Fürstin Elora Faye,AZOZ,7656075
53,SmartesGirl,AZOZ,7622325
54,Li La LiNuS,AZOZ,7616425
55,FATUUM,AZOZ,7616275
56,LatastrophenUlli,AZOZ,7611700
57,R2DrehZwo,AZOZ,7592350
58,Bogo und Pini,AZOZ,7588450
59,Sûgârپüff,AZOZ,7576525
60,Mel Lyn,AZOZ,7560825
61,Tyskie 66,AZOZ,7540500
62,jobcenter FFM,AZOZ,7497475
63,Pawelte,AZOZ,7463100
64,Hhjjjjcg,AZOZ,7451625
65,sunny75,AZOZ,7439025
66,Last Arti,AZOZ,7389125
67,DaliborDaki,AZOZ,7310875
68,fffeyz,AZOZ,7287875
69,Skywölkchen,AZOZ,7279850
70,Christo30,AZOZ,7245475
Rang,Kommandant,Allianz,Punkte
71,Mac1902,AZOZ,7216500
72,azerty57,AZOZ,7216500
73,SNEAKY BUNNY,AZOZ,7205650
74,Gordon Freimann,AZOZ,7201125
75,KERSY,AZOZ,6616650
76,jukata,AZOZ,6601975
77,DragonWiz,AZOZ,6240700
78,ozzy5255,AZOZ,6030320
79,Peridakles,AZOZ,5951175
80,Marshalfery,AZOZ,5748289
81,Toby Urbex,AZOZ,5591725
82,Tom12234455,AZOZ,5554100
83,Leijonamieli,AZOZ,5459400
84,Jónny666,AZOZ,5382025
85,Bestia77,AZOZ,4938000
86,Dragon blou,AZOZ,4503575
87,Yama Arashi,AZOZ,4463175
88,Kpiftw,AZOZ,4406600
89,Z4ID,AZOZ,4066000
90,GaaGol,AZOZ,4061375
91,Dr Cal Lightman,AZOZ,3989200
92,Mischel89,AZOZ,3935087
93,계포 부인,AZOZ,3653850
94,Sanya Longer,AZOZ,3652675
95,Sultan Murat X,AZOZ,2957325
96,Kurdo,AZOZ,2467200
97,The Pharo 2026,AZOZ,2439305
98,yyyyyyvhhnmll,AZOZ,2187225
99,VxClicker,AZOZ,1814200
