Rang,Kommandant,Punkte
1,Jacob Carter,20698960
2,CërêâlKillêr,17798082
3,Cheesynator,17309920
4,Feivel D Maus,16242202
5,Dragon blou,14827726
6,2 s t y,14323270
7,Bestia77,14223420
8,Z4ID,13607910
9,케프 부인,13446224
10,DragonWiz,13135716
11,EXITUS,13128750
12,Fürstin Elora Faye,13095108
13,Tyskie 66,12958800
14,Himbeertony,12779754
15,azerty57,12701988
16,Schlabberbacke,12418710
17,The Pharo 2026,12403442
18,FATUUM,12386732
19,Cluster82,12207974
20,SNPOL,11913648
21,Sultan Murat X,11868550
22,Giorgiotown,11503592
23,jukata,11269728
24,Marshalfery,11021014
25,UMY Stern,10635838
26,Lilly187,10622590
27,RAV28,10576946
28,Fürst der Nazgûl,10536858
29,VxClicker,10365064
30,Br0nzo,10259166
31,Aenwe,10068746
32,DaliborDaki,10039794
33,SmartesGirl,10000934
34,LatastrophenUlli,9962400
35,jobcenter FFM,9798588
36,Mel Lyn,9683800
37,SamoZlo,9665980
38,Christo30,9537052
39,MetauChopf,9306774
40,Li La LiNuS,9152688
41,Lieutenant Treetops,9040224
42,Pawelte,9001412
43,Süßgärpüff,8983270
44,Yama Arashi,8972322
45,Amir Yakuza,8867834
46,feimel,8788198
47,Swe Sandman,8757046
48,Skywölkchen,8657536
49,Hhjjjjcg,8589254
50,Lilien1999,8585398
51,Queen from AZO,8477848
52,Toby Urbex,8435270
53,cappu97,8364990
54,lefueT,8356868
55,Last Arti,8228330
56,Mac1902,8168482
57,Gordon Freimann,8099102
58,Sphere8472,8057018
59,Baba Basti,7998166
60,Bogo und Pini,7992408
61,Smowy,7960296
62,PHOENIX FOX,7928384
63,Svela17,7899804
64,JSheridan,7840238
65,sunny75,7795966
66,Fran171526,7791368
67,CalziferFire,7746134
68,Mischel89,7741658
69,Kotor47,7736162
70,Peridakles,7709354
71,R2DrehZwo,7682892
72,iAmTed,7679478
73,MrSajmonn,7672526
74,Jimi777,7616206
75,DooYooDoo,7610500
76,ECSI,7604210
77,KERSY,7541612
78,Sanya Longer,7514094
79,MiepStreet,7480430
80,Dr Cal Lightman,7475748
81,Kpiftw,7459250
82,Dejweed,7457964
83,Xambash,7457574
84,Haulsen,7453395
85,fffeyz,7397680
86,ozzy5255,7397512
87,Katerina77,7391452
88,Jónny666,7369986
89,Bugab0o,7365952
90,haasenpeter rex,7358306
91,SNEAKY BUNNY,7322834
92,Pinsel20,7313162
93,Tom12234455,7275438
94,yyyyyyvhhnmll,7268724
95,Kytrider,7250096
96,Leijonamieli,7233094
97,Kurdo,5581350
98,GaaGol,4229340
99,Last Wolf Warrior,3647978
