Rang,Kommandant,Punkte
1,Fürst der Nazgûl [AZO] AZOZ,31744250
2,Smowy [AZO] AZOZ,27025025
3,Queen from AZO [AZO] AZOZ,19004600
4,RAV28 [AZO] AZOZ,17676925
5,UMY Stern [AZO] AZOZ,16961025
6,JSheridan [AZO] AZOZ,16217025
7,haasenpeter rex [AZO] AZOZ,15804525
8,Bugab0o [AZO] AZOZ,15340650
9,Li La LiNuS [AZO] AZOZ,14542225
10,SmartesGirl [AZO] AZOZ,13837650
11,MetauChopf [AZO] AZOZ,13521060
12,Kytrider [AZO] AZOZ,13370750
13,2 s t y [AZO] AZOZ,12900850
14,SNEAKY BUNNY [AZO] AZOZ,12720650
15,Katerina77 [AZO] AZOZ,12653175
16,Kotor47 [AZO] AZOZ,12395425
17,Feivel D Maus [AZO] AZOZ,12332700
18,Haulsen [AZO] AZOZ,11843959
19,Jónny666 [AZO] AZOZ,11313600
20,Last Wolf Warrior [AZO] AZOZ,10930550
21,iAmTed [AZO] AZOZ,10657675
22,Amir Yakuza [AZO] AZOZ,10308772
23,Fürstin Elora Faye [AZO] AZOZ,10210275
24,Dr Cal Lightman [AZO] AZOZ,9934400
25,Dejweed [AZO] AZOZ,9579550
26,DaliborDaki [AZO] AZOZ,9544000
27,Fran171526 [AZO] AZOZ,9301325
28,Baba Basti [AZO] AZOZ,9029850
29,IefueT [AZO] AZOZ,9027150
30,Skywölkchen [AZO] AZOZ,8832450
31,cappu97 [AZO] AZOZ,8791750
32,MrSajmonn [AZO] AZOZ,8746625
33,Giorgiotown [AZO] AZOZ,8505825
34,케포 부인 [AZO] AZOZ,8426153
35,Bogo und Pini [AZO] AZOZ,8229633
36,Gordon Freimann [AZO] AZOZ,8183775
37,Svela17 [AZO] AZOZ,8136050
38,azerty57 [AZO] AZOZ,8119244
39,Xambash [AZO] AZOZ,8113600
40,ECSI [AZO] AZOZ,8066525
41,PHOENIX FOX [AZO] AZOZ,8025040
42,Last Arti [AZO] AZOZ,8024700
43,CalziferFire [AZO] AZOZ,8003600
44,Mischel89 [AZO] AZOZ,7986726
45,feimel [AZO] AZOZ,7981675
46,Tyskie 66 [AZO] AZOZ,7965450
47,KERSY [AZO] AZOZ,7837386
48,SNPOL [AZO] AZOZ,7815950
49,Aenwe [AZO] AZOZ,7637125
50,SamoZlo [AZO] AZOZ,7634024
51,Himbeertony [AZO] AZOZ,7613525
52,DooYooDoo [AZO] AZOZ,7568466
53,Lilien1999 [AZO] AZOZ,7556725
54,R2DrehZwo [AZO] AZOZ,7546234
55,EXITUS [AZO] AZOZ,7525600
56,Jacob Carter [AZO] AZOZ,7511150
57,Lilly187 [AZO] AZOZ,7498875
58,Bestia77 [AZO] AZOZ,7491010
59,Br0nzo [AZO] AZOZ,7480925
60,Cluster82 [AZO] AZOZ,7452525
61,Christo30 [AZO] AZOZ,7430625
62,Peridakles [AZO] AZOZ,7380825
63,CêrêâlKîllêr [AZO] AZOZ,7371360
64,Mel Lyn [AZO] AZOZ,7364625
65,Hhjjjjcg [AZO] AZOZ,7326243
66,VxClicker [AZO] AZOZ,7309950
67,Sphere8472 [AZO] AZOZ,7287250
68,Jimi777 [AZO] AZOZ,7276000
69,fffeyz [AZO] AZOZ,7243350
70,sunny75 [AZO] AZOZ,7187900
71,Marshalfery [AZO] AZOZ,6514534
72,Lieutenant Treetops [AZO] AZOZ,6093950
73,DragonWiz [AZO] AZOZ,6050528
74,Tom12234455 [AZO] AZOZ,5694164
75,LatastrophenUlli [AZO] AZOZ,5532829
76,Schlabberbacke [AZO] AZOZ,5432550
77,FATUUM [AZO] AZOZ,5273325
78,Pawelte [AZO] AZOZ,5255567
79,Sûgârpûff [AZO] AZOZ,5201525
80,Mac1902 [AZO] AZOZ,5144100
81,K u r d o [AZO] AZOZ,5066863
82,Swe Sandman [AZO] AZOZ,5065125
83,jukata [AZO] AZOZ,5003800
84,Toby Urbex [AZO] AZOZ,4990217
85,Sanya Longer [AZO] AZOZ,4823510
86,Kpiftw [AZO] AZOZ,4810625
87,Yama Arashi [AZO] AZOZ,4434325
88,jobcenter FFM [AZO] AZOZ,3913710
89,Z4ID [AZO] AZOZ,3837671
90,Sultan Murat X [AZO] AZOZ,3687650
91,Dragon blou [AZO] AZOZ,3620080
92,GaaGol [AZO] AZOZ,3600695
93,Leijonamieli [AZO] AZOZ,3141010
94,ozzy5255 [AZO] AZOZ,3030213
95,yyyyyyvhhnmll [AZO] AZOZ,2576214
96,Pinsel20 [AZO] AZOZ,2405825
97,The Pharo 2026 [AZO] AZOZ,1853892
98,Cheesynator [AZO] AZOZ,1785000
99,MiepStreet [AZO] AZOZ,1593642
