week,position 1,position 2, position 3
000,Azuuzz,Li La LiNus,S N O W Y
001,Feivel D Maus,Kampfratze,SmartesGirl
002,Li La Linus,Peridakles,Azuuzz
003,JSheridan,hasenpeter rex,UMY Stern
004,Cluster82,Gordon Freimann,Lieutenant Treetops
005,Last Wolf Warrior,Smowy,Azuuzz
006,Li La Linus,Cluster82,Amir Yakuza
007,Azuuzz,Smowy,Last Wolf Warrior
008,Azuuzz,Last Wolf Warrior,Li La LiNuS
009,Phoenix Fox,Smowy,Li La LiNuS
010,supi pupi,Smowy,Azuuzz
011,UMY Stern,Jonny666,Amir Yakuza
012,Snowy,Cluster82
013,lefueT,Li La Linus,Smowy
