Rang,Kommandant,Allianz,Punkte
1,haasenpeter rex,AZOZ,38351886
2,Feivel D MauS,AZOZ,36849536
3,Baba Basti,AZOZ,32827062
4,PHOENIX FOX,AZOZ,32008896
5,azerty57,AZOZ,31409014
6,Gordon Freimann,AZOZ,29674000
7,Bugab0o,AZOZ,29576466
8,CërêâlKîllêr,AZOZ,27073834
9,Peridakles,AZOZ,25740764
10,Kotor47,AZOZ,23691332
11,iAmTed,AZOZ,23629062
12,EXITUS,AZOZ,22947120
13,Cluster82,AZOZ,22830486
14,Z4ID,AZOZ,22802404
15,DaliborDaki,AZOZ,22465022
16,JSheridan,AZOZ,21676572
17,SamoZlo,AZOZ,20850752
18,FATUUM,AZOZ,19119194
19,DragonWiz,AZOZ,18658998
20,Dragon blou,AZOZ,17960106
21,Fran171526,AZOZ,17665556
22,Aenwe,AZOZ,17325710
23,Giorgiotown,AZOZ,17263282
24,IefueT,AZOZ,17042154
25,Last Wolf Warrior,AZOZ,16110794
26,SNPOL,AZOZ,15619488
27,UMY Stern,AZOZ,14875176
28,Christo30,AZOZ,14008978
29,Amir Yakuza,AZOZ,12491868
30,Fürst der Nazgûl,AZOZ,12101196
31,Hhjjjjcg,AZOZ,11935528
32,Li La LiNuS,AZOZ,11534264
33,Jacob Carter,AZOZ,11345698
34,Dejweed,AZOZ,10724114
35,Pawelte,AZOZ,10658442
36,jukata,AZOZ,10447344
37,Queen from AZO,AZOZ,10255144
38,Tom12234455,AZOZ,10217866
39,DooYooDoo,AZOZ,10067150
40,Jónny666,AZOZ,9884012
41,Toby Urbex,AZOZ,9753248
42,Svela17,AZOZ,9675182
43,Lieutenant Treetops,AZOZ,9666654
44,MetauChopf,AZOZ,9664694
45,CalziferFire,AZOZ,9444074
46,SNEAKY BUNNY,AZOZ,9433384
47,cappu97,AZOZ,9389642
48,yyyyyyvhnnmll,AZOZ,9143618
49,Kyrtrider,AZOZ,9011238
50,RAV28,AZOZ,8687446
51,Last Arti,AZOZ,8679972
52,Sanya Longer,AZOZ,8540778
53,Pinsel20,AZOZ,8504260
54,Bogo und Pini,AZOZ,8452956
55,MrSajmonn,AZOZ,8383732
56,Bestia77,AZOZ,8089234
57,SmartesGirl,AZOZ,8016988
58,Haulsen,AZOZ,7990580
59,Jimi777,AZOZ,7927028
60,GaaGol,AZOZ,7903000
61,Leijonamieli,AZOZ,7891446
62,LatastrophenUlli,AZOZ,7747298
63,ECSI,AZOZ,7697458
64,JSnoopy,AZOZ,7678446
65,R2DrehZwo,AZOZ,7666238
66,fffeyz,AZOZ,7664544
67,sunny75,AZOZ,7622662
68,Skywölkchen,AZOZ,7597334
69,Sphere8472,AZOZ,7532270
70,Xambash,AZOZ,7506812
71,Tyskie 66,AZOZ,7470316
72,K E R S Y,AZOZ,7467420
73,Cheesynator,AZOZ,7449812
74,Smowy,AZOZ,7444130
75,케포 부인,AZOZ,7438714
76,Mac1902,AZOZ,7421868
77,Dr Cal Lightman,AZOZ,7357806
78,Himbeertony,AZOZ,7300318
79,feimel,AZOZ,7298322
80,ozzy5255,AZOZ,7276858
81,Sûgâr püff,AZOZ,7255080
82,The Pharo 2026,AZOZ,7230524
83,Marshalfery,AZOZ,6151044
84,Mischel89,AZOZ,5467706
85,Schlabberbacke,AZOZ,5395134
86,Fürstin Elora Faye,AZOZ,5139022
87,VxClicker,AZOZ,4816794
88,Swe Sandman,AZOZ,4770284
89,K u r d o,AZOZ,4648766
90,2 s t y,AZOZ,4444596
91,Katerina77,AZOZ,3974224
92,Lilien1999,AZOZ,3887758
93,MiepStreet,AZOZ,3759990
94,Mel Lyn,AZOZ,3691644
95,Br0nzo,AZOZ,3690566
96,Kpiftw,AZOZ,3616596
97,Sultan Murat X,AZOZ,3582500
98,jobcenter FFM,AZOZ,2883194
99,Yama Arashi,AZOZ,2420610
