Rang,Kommandant,Allianz,Punkte
1,Gordon Freimann,[AZO] AZOZ,27588750
2,SmartesGirl,[AZO] AZOZ,24901350
3,Fürst der Nazgûl,[AZO] AZOZ,24725550
4,Smowy,[AZO] AZOZ,23935200
5,2 s t y,[AZO] AZOZ,21237550
6,Jacob Carter,[AZO] AZOZ,20362825
7,Bugab0o,[AZO] AZOZ,19748925
8,Queen from AZO,[AZO] AZOZ,19568275
9,RAV28,[AZO] AZOZ,19115325
10,Hauslen,[AZO] AZOZ,18786931
11,haasenpeter rex,[AZO] AZOZ,18633475
12,Kotor47,[AZO] AZOZ,18461550
13,JSheridan,[AZO] AZOZ,18370275
14,Jónny666,[AZO] AZOZ,16449775
15,Feivel D MauS,[AZO] AZOZ,16434700
16,Giorgiotown,[AZO] AZOZ,14283550
17,Last Wolf Warrior,[AZO] AZOZ,13439675
18,feimel,[AZO] AZOZ,13104550
19,Katerina77,[AZO] AZOZ,12760800
20,UMY Stern,[AZO] AZOZ,12626125
21,IefueT,[AZO] AZOZ,12436700
22,Fürstin Elora Faye,[AZO] AZOZ,11884150
23,FATUUM,[AZO] AZOZ,11433825
24,MrSajmonn,[AZO] AZOZ,11214450
25,SNEAKY BUNNY,[AZO] AZOZ,11211000
26,DaliborDaki,[AZO] AZOZ,11144325
27,Tyskie 66,[AZO] AZOZ,11043650
28,Jimi777,[AZO] AZOZ,10940850
29,JSnoopy,[AZO] AZOZ,10771700
30,ozzy5255,[AZO] AZOZ,10689488
31,cappu97,[AZO] AZOZ,10616700
32,iAmTed,[AZO] AZOZ,10433125
33,Skywölkchen,[AZO] AZOZ,10205375
34,Sûgârpûff,[AZO] AZOZ,10202725
35,Baba Basti,[AZO] AZOZ,9727800
36,Mischel89,[AZO] AZOZ,9602161
37,DragonWiz,[AZO] AZOZ,9491909
38,CalziferFire,[AZO] AZOZ,9283325
39,SamoZlo,[AZO] AZOZ,9266631
40,Dr Cal Lightman,[AZO] AZOZ,9238550
41,Kytrider,[AZO] AZOZ,9238375
42,Svela17,[AZO] AZOZ,9123225
43,MetauChopf,[AZO] AZOZ,8988575
44,Swe Sandman,[AZO] AZOZ,8878675
45,Bogo und Pini,[AZO] AZOZ,8779586
46,Amir Yakuza,[AZO] AZOZ,8726265
47,GaaGol,[AZO] AZOZ,8687054
48,Pawelte,[AZO] AZOZ,8587092
49,Kpiftw,[AZO] AZOZ,8464700
50,ECSI,[AZO] AZOZ,8459325
51,Lieutenant Treetops,[AZO] AZOZ,8331200
52,Cluster82,[AZO] AZOZ,8304200
53,CèrêâlKîllêr,[AZO] AZOZ,8270532
54,Li La LiNuS,[AZO] AZOZ,8125325
55,Cheesynator,[AZO] AZOZ,8120100
56,Xambash,[AZO] AZOZ,8119600
57,Sphere8472,[AZO] AZOZ,8069125
58,DooYooDoo,[AZO] AZOZ,7915154
59,azerty57,[AZO] AZOZ,7903035
60,Marshalfery,[AZO] AZOZ,7855447
61,Br0nzo,[AZO] AZOZ,7854075
62,Tom12234455,[AZO] AZOZ,7831378
63,Christo30,[AZO] AZOZ,7771800
64,Last Arti,[AZO] AZOZ,7663375
65,Fran171526,[AZO] AZOZ,7657975
66,MiepStreet,[AZO] AZOZ,7645445
67,PHOENIX FOX,[AZO] AZOZ,7617245
68,Yama Arashi,[AZO] AZOZ,7565950
69,KERSY,[AZO] AZOZ,7540979
70,Schlabberbacke,[AZO] AZOZ,7510650
71,EXITUS,[AZO] AZOZ,7487175
72,Dragon blou,[AZO] AZOZ,7407065
73,LatastrophenUlli,[AZO] AZOZ,7320973
74,Himbeertony,[AZO] AZOZ,7297350
75,Mac1902,[AZO] AZOZ,7285625
76,sunny75,[AZO] AZOZ,7268925
77,Z4ID,[AZO] AZOZ,7261693
78,fffeyz,[AZO] AZOZ,7236625
79,Sultan Murat X,[AZO] AZOZ,6736350
80,계프 부인,[AZO] AZOZ,6656277
81,Sanya Longer,[AZO] AZOZ,6635047
82,SNPOL,[AZO] AZOZ,6291675
83,Mel Lyn,[AZO] AZOZ,5977050
84,Peridakles,[AZO] AZOZ,5642450
85,Aenwe,[AZO] AZOZ,5313700
86,K u r d o,[AZO] AZOZ,5245813
87,VxClicker,[AZO] AZOZ,5194450
88,Pinsel20,[AZO] AZOZ,5077475
89,jukata,[AZO] AZOZ,4871375
90,Toby Urbex,[AZO] AZOZ,4781339
91,Hhjjjjcg,[AZO] AZOZ,4777813
92,Leijonamieli,[AZO] AZOZ,3917725
93,yyyyyyyvhhhmll,[AZO] AZOZ,3704838
94,Dejweed,[AZO] AZOZ,3635950
95,Bestia77,[AZO] AZOZ,3178248
96,jobcenter FFM,[AZO] AZOZ,2853491
97,The Pharo 2026,[AZO] AZOZ,2135803
98,R2DrehZwo,[AZO] AZOZ,2042710
99,Lilien1999,[AZO] AZOZ,25000
