Rang,Kommandant,Allianz,Punkte
1,Li La LiNuS,AZOZ,173667481
2,Bugab0o,AZOZ,164810361
3,UMY Stern,AZOZ,147839358
4,Gordon Freimann,AZOZ,142409172
5,Baba Basti,AZOZ,137811594
6,haasenpeter rex,AZOZ,136930694
7,JSheridan,AZOZ,123978989
8,Feivel D Maus,AZOZ,123022904
9,Kotor47,AZOZ,111946298
10,Jacob Carter,AZOZ,108989306
11,Smowy,AZOZ,106791468
12,Cluster82,AZOZ,106112738
13,RAV28,AZOZ,104549193
14,SmartesGirl,AZOZ,101087651
15,2 s t y,AZOZ,98865334
16,Haulsen,AZOZ,98814394
17,SNEAKY BUNNY,AZOZ,98454060
18,Last Wolf Warrior,AZOZ,98058925
19,CêrêâlKillêr,AZOZ,95531210
20,PHOENIX FOX,AZOZ,95262885
21,Peridakles,AZOZ,94065408
22,Giorgiotown,AZOZ,86566483
23,Amir Yakuza,AZOZ,85857463
24,Z4ID,AZOZ,85356221
25,Fürst der Nazgûl,AZOZ,83390711
26,DaliborDaki,AZOZ,83074396
27,IefueT,AZOZ,82772927
28,MrSajmonn,AZOZ,80756779
29,SamoZlo,AZOZ,80662682
30,EXITUS,AZOZ,80466099
31,Queen from AZO,AZOZ,79761963
32,Fran171526,AZOZ,79713061
33,cappu97,AZOZ,78769141
34,azerty57,AZOZ,76945909
35,Tyskie 66,AZOZ,76552015
36,Skywölkchen,AZOZ,75376654
37,Swe Sandman,AZOZ,74912214
38,Jimi777,AZOZ,74750412
39,Bogo und Pini,AZOZ,74466284
40,FATUUM,AZOZ,72355960
41,Jónny666,AZOZ,72301101
42,DragonWiz,AZOZ,67614602
43,Dragon blou,AZOZ,66878075
44,Kytrider,AZOZ,66506473
45,Xambash,AZOZ,66343269
46,Dr Cal Lightman,AZOZ,64761548
47,DooYooDoo,AZOZ,64365279
48,MetauChopf,AZOZ,64285236
49,ECSI,AZOZ,63386063
50,Svela17,AZOZ,62484230
51,feimel,AZOZ,62168435
52,Cheesynator,AZOZ,61266883
53,Katerina77,AZOZ,61190279
54,Sanya Longer,AZOZ,61026616
55,Sphere8472,AZOZ,60039838
56,SNPOL,AZOZ,59324741
57,Aenwe,AZOZ,59323663
58,Lieutenant Treetops,AZOZ,58656933
59,Christo30,AZOZ,58249903
60,KERSY,AZOZ,56424913
61,jukata,AZOZ,56319745
62,SûgârPûff,AZOZ,55735756
63,GaaGol,AZOZ,55527022
64,sunny75,AZOZ,55514519
65,Pawelte,AZOZ,55443533
66,CalziferFire,AZOZ,55437467
67,Dejweed,AZOZ,54850658
68,Schlabberbacke,AZOZ,54631182
69,Hhjjjjcg,AZOZ,54334568
70,Mel Lyn,AZOZ,54163547
71,Fürstin Elora Faye,AZOZ,53103205
72,Tom12234455,AZOZ,51656964
73,Pinsel20,AZOZ,51100183
74,Marshalfery,AZOZ,49810166
75,ozzy5255,AZOZ,48494727
76,Leijonamieli,AZOZ,48273723
77,fffeyz,AZOZ,47542181
78,Mischel89,AZOZ,47489996
79,Toby Urbex,AZOZ,47440268
80,Last Arti,AZOZ,46435068
81,케포 부인,AZOZ,45789972
82,Kpiftw,AZOZ,44406391
83,Sultan Murat X,AZOZ,43800594
84,Himbeertony,AZOZ,42670725
85,Mac1902,AZOZ,41959539
86,yyyyyyvhnmll,AZOZ,40082023
87,LatastrophenUlli,AZOZ,38927402
88,Yama Arashi,AZOZ,34254198
89,The Pharo 2026,AZOZ,34032219
90,R2DrehZwo,AZOZ,33338659
91,MiepStreet,AZOZ,33084472
92,jobcenter FFM,AZOZ,31527653
93,K u r d o,AZOZ,31129374
94,Bestia77,AZOZ,30716407
95,VxClicker,AZOZ,29441705
96,Lilien1999,AZOZ,26672508
