position,name,points
1,[AZO]Azuuzz,2664062
2,[AZO]Gordon Freimann,2249373
3,[AZO]Smowy,2167295
4,[AZO]Feivel D Maus,1968806
5,[AZO]2 s t y,1705973
6,[AZO]azerty57,1467020
7,[AZO]BugabOo,1461160
8,[AZO]Skywölkchen,1430853
9,[AZO]Cluster82,1407772
10,[AZO]Last Wolf Warrior,1020902
11,[AZO]FATUUM,858052
12,[AZO]Peridakles,854651
13,[AZO]MrSajmonn,842202
14,[AZO]Baba Basti,752968
15,[AZO]lefueT,665093
16,[AZO]Pawelte,632519
17,[AZO]RAV28,465076
18,[AZO]SamoZlo,445409
19,[AZO]Marshalfery,369210
20,[AZO]Mac1902,344185
21,[AZO]Bestia77,229873
22,[AZO]DaliborDaki,212639
23,[AZO]PHOENIX FOX,211580
24,[AZO]Sanya Longer,179922
25,[AZO]MetauChopf,167352
26,[AZO]Fürstin Elora,121588
27,[AZO]fffeyz,68669
