position,rank,name,points
1,R3,azerty57,101350
2,R3,Peridakles,71950
3,R4,cappu97,71500
4,R3,Bugab0o,69400
5,R3,Swe Sandman,62150
6,R3,K E R S Y,60000
7,R3,Svela17,59800
8,R3,Jónny666,58650
9,R3,Last Wolf Warrior,57050
10,R3,Gordon Freimann,56450
11,R4,PHOENIX FOX,56400
12,R4,Skywölkchen,55250
13,R4,Smowy,53400
14,R5,Queen from AZO,53000
15,R3,SNPOL,51550
16,R3,jukata,51450
17,R3,Kotor47,51400
18,R3,UMY Stern,50400
19,R3,sunny75,50050
20,R3,DragonWiz,49850
21,R3,Cluster82,49800
22,R3,ECSI,49700
23,R3,Jimi777,48300
24,R4,Schlabberbacke,48150
25,R1,jobcenter FFM,47300
26,R3,lefueT,47050
27,R3,Christo30,46800
28,R3,Haulsen,46400
29,R2,Hhjjjjcg,46150
30,R2,Toby Urbex,46100
31,R2,Kpiftw,45250
32,R3,RAV28,44700
33,R3,Li La Linus,44100
34,R3,Baba Basti,43900
35,R3,Dr Cal Lightman,43850
36,R3,MrSajmonn,43800
37,R3,CalziferFire,43600
38,R3,Fran171526,43550
39,R3,SamoZlo,43500
40,R3,Feivel D Maus,43400
41,R3,Giorgiotown,43100
42,R3,Bogo und Pini,42900
43,R3,Fürstin Elora,42750
44,R2,Pinsel20,42700
45,R4,JSheridan,42550
46,R3,2 s t y,42400
47,R3,MetauChopf,42350
48,R3,Dragon blou,42350
49,R3,Jacob Carter,42300
50,R3,Aenwe,42150
51,R3,Sanya Longer,42000
52,R4,Fürst der Nazgúl,41850
53,R3,Sugarpüff,41650
54,R3,Pawelte,41600
55,R2,ozzy5255,41500
56,R2,fffeyz,41500
57,R3,FATUUM,41450
58,R3,Sphere8472,41350
59,R3,DaliborDaki,41000
60,R1,MG Mayo,40950
61,R2,케포 부인,40900
62,R3,CërëalKillër,40500
63,R3,haasenpeter rex,40350
64,R1,Kurdo,40200
65,R3,EXITUS,40100
66,R1,Yama Arashi,39500
67,R2,Marshalfey,39400
68,R1,Tyskie 66,39100
69,R2,Sultan Murat X,38900
70,R3,Bestia77,38700
71,R3,SNEAKY BUNNY,38700
72,R1,MiepStreet,38450
73,R1,The Pharo 2026,38400
74,R2,Himbeertony,38300
75,R4,SmartesGirl,38200
76,R4,supi pupi,37750
77,R1,LatastrophenUlli,37250
78,R2,Tom12234455,36700
79,R2,Mac1902,36350
80,R2,Dejweed,36300
81,R2,Last Arti,35650
82,R4,Kytrider,35350
83,R3,Katerina77,35350
84,R3,Xambash,35050
85,R2,Mel Lyn,34350
86,R3,GaaGol,34200
87,R3,Cheesynator,34000
88,R3,DooYooDoo,32800
89,R2,Lilien1999,29700
90,R2,Leijonamieli,27950
91,R3,feimel,27000
92,R2,yyyyyyyvhhmll,26400
93,R3,Z4ID,22400
94,R1,VxClicker,20400
95,R2,Mischel89,18050
96,R1,MacRoM,0
97,R1,R2DrehZwo,0
