Position,Name,Allianz,Punkte
1,UMY Stern,[AZO],39578358
2,Baba Basti,[AZO],38646180
3,Fran171526,[AZO],36991238
4,RAV28,[AZO],31197628
5,Jacob Carter,[AZO],30818382
6,Marshalferry,[AZO],30130272
7,Kotor47,[AZO],28536346
8,cappu97,[AZO],28236806
9,MrSajmonn,[AZO],26412230
10,Fürst der Nazgûl,[AZO],26343168
11,ozzy5255,[AZO],26342770
12,Himbeertony,[AZO],26233664
13,Sügärpüff,[AZO],26198706
14,Bogo und Pini,[AZO],25753764
15,SNEAKY BUNNY,[AZO],25544044
16,jobcenter FFM,[AZO],25122356
17,Swe Sandman,[AZO],25002844
18,SmartesGirl,[AZO],24884878
19,KERSY,[AZO],24549780
20,Smowy,[AZO],22863776
21,DragonWiz,[AZO],22689124
22,Kytrider,[AZO],22395980
23,CërëalKillër,[AZO],20457424
24,IefueT,[AZO],20107654
25,Bugab0o,[AZO],19826248
26,Queen from AZO,[AZO],19591914
27,Haulsen,[AZO],18426980
28,Pawelte,[AZO],18245562
29,Tom12234455,[AZO],17355636
30,Dragon blou,[AZO],15380392
31,Amir Yakuza,[AZO],15235234
32,Kurdo,[AZO],15084156
33,Feivel D MauS,[AZO],14284462
34,Fürstin Elora Faye,[AZO],13323004
35,supi pupi,[AZO],13228558
36,Cluster82,[AZO],13198110
37,Hhjijjcg,[AZO],13012816
38,Sphere8472,[AZO],12737222
39,SNPOL,[AZO],12051124
40,feimel,[AZO],11845150
41,Li La LiNuS,[AZO],11112388
42,Dejweed,[AZO],11078422
43,azerty57,[AZO],11054850
44,Svela17,[AZO],10850322
45,Sanya Longer,[AZO],10804656
46,2sty,[AZO],10571366
47,Gordon Freimann,[AZO],10269210
48,케포 부인,[AZO],9722886
49,Last Arti,[AZO],9656250
50,CalziferFire,[AZO],9561288
51,Skywölkchen,[AZO],9558162
52,fffeyz,[AZO],9480666
53,JSheridan,[AZO],9002912
54,sunny75,[AZO],8918554
55,Aenwe,[AZO],8880976
56,Pinsel20,[AZO],8852504
57,Giorgiotown,[AZO],8829000
58,Katerina77,[AZO],8748276
59,Schlabberbacke,[AZO],8732006
60,Cheesynator,[AZO],8646900
61,Mac1902,[AZO],8613462
62,The Pharo 2026,[AZO],8598382
63,MiepStreet,[AZO],8533306
64,DaliborDaki,[AZO],8484788
65,haasenpeter rex,[AZO],8478408
66,Mischel89,[AZO],8467202
67,Leijonamieli,[AZO],8452846
68,Toby Urbex,[AZO],8421752
69,GaaGol,[AZO],8417212
70,Yama Arashi,[AZO],8388176
71,Kpiftw,[AZO],8378432
72,MetauChopf,[AZO],8307282
73,SamoZlo,[AZO],8212786
74,jukata,[AZO],8150644
75,Dr Cal Lightman,[AZO],8075270
76,EXITUS,[AZO],8057752
77,Jimi777,[AZO],8053320
78,PHOENIX FOX,[AZO],7974144
79,FATUUM,[AZO],7941324
80,Sultan Murat X,[AZO],7824624
81,ECSI,[AZO],7776814
82,Peridakles,[AZO],7731644
83,Xambash,[AZO],7508584
84,Bestia77,[AZO],7419206
85,Christo30,[AZO],7416780
86,MG Mayo,[AZO],7350724
87,Mel Lyn,[AZO],7349956
88,Tyskie 66,[AZO],7306744
89,Jónny666,[AZO],7293410
90,LatastrophenUlli,[AZO],6565816
91,VxClicker,[AZO],5316066
92,Last Wolf Warrior,[AZO],4820152
93,DooYooDoo,[AZO],4574508
94,Z4ID,[AZO],3812696
95,yyyyyyvhhnmll,[AZO],3283622
96,Lilien1999,[AZO],3185196
