Rank,Name,Alliance,Punkte
1,Kotor47,[AZO] AZOZ,23628925
2,Li La LiNuS,[AZO] AZOZ,21370525
3,Bugab0o,[AZO] AZOZ,21349050
4,UMY Stern,[AZO] AZOZ,20052625
5,Fran171526,[AZO] AZOZ,18971325
6,Baba Basti,[AZO] AZOZ,18907075
7,supi pupi,[AZO] AZOZ,18746775
8,SamoZlo,[AZO] AZOZ,18698125
9,RAV28,[AZO] AZOZ,15543225
10,2 s t y,[AZO] AZOZ,15536175
11,Dr Cal Lightman,[AZO] AZOZ,15185600
12,fffeyz,[AZO] AZOZ,15018850
13,SNEAKY BUNNY,[AZO] AZOZ,13718525
14,Amir Yakuza,[AZO] AZOZ,13530000
15,MrSajmonn,[AZO] AZOZ,13385450
16,Giorgiotown,[AZO] AZOZ,12725300
17,Dejweed,[AZO] AZOZ,12441050
18,Haulsen,[AZO] AZOZ,12325675
19,haasenpeter rex,[AZO] AZOZ,12287425
20,Fürst der Nazgúl,[AZO] AZOZ,12066075
21,Gordon Freimann,[AZO] AZOZ,11710300
22,Z4ID,[AZO] AZOZ,11197325
23,Kytrider,[AZO] AZOZ,11193225
24,cappu97,[AZO] AZOZ,10869625
25,SmartesGirl,[AZO] AZOZ,10790975
26,JSheridan,[AZO] AZOZ,10415350
27,Feivel D MauS,[AZO] AZOZ,10116625
28,Svela17,[AZO] AZOZ,9922225
29,Tyskie 66,[AZO] AZOZ,9685175
30,Sphere8472,[AZO] AZOZ,9576950
31,lefueT,[AZO] AZOZ,9408250
32,Aenwe,[AZO] AZOZ,9226700
33,DragonWiz,[AZO] AZOZ,9025400
34,CalziferFire,[AZO] AZOZ,9018450
35,Cluster82,[AZO] AZOZ,8987800
36,Schlabberbacke,[AZO] AZOZ,8906975
37,CërêâlKillêr,[AZO] AZOZ,8878400
38,ozzy5255,[AZO] AZOZ,8869070
39,Hhjjjjcg,[AZO] AZOZ,8771800
40,jukata,[AZO] AZOZ,8696600
41,Skywölkchen,[AZO] AZOZ,8499350
42,Fürstin Elora Faye,[AZO] AZOZ,8477700
43,SNPOL,[AZO] AZOZ,8452950
44,Jónny666,[AZO] AZOZ,8442700
45,feimel,[AZO] AZOZ,8344350
46,Jacob Carter,[AZO] AZOZ,8286950
47,Xambash,[AZO] AZOZ,8268250
48,Queen from AZO,[AZO] AZOZ,8263975
49,Himbeertony,[AZO] AZOZ,8254325
50,Bogo und Pini,[AZO] AZOZ,8224650
51,Tom12234455,[AZO] AZOZ,8181250
52,MetauChopf,[AZO] AZOZ,8150075
53,Smowy,[AZO] AZOZ,8143300
54,Katerina77,[AZO] AZOZ,8141350
55,Sultan Murat X,[AZO] AZOZ,8113700
56,Leijonamieli,[AZO] AZOZ,8031850
57,PHOENIX FOX,[AZO] AZOZ,8011125
58,MiepStreet,[AZO] AZOZ,7981225
59,Sūgārpūff,[AZO] AZOZ,7893550
60,Mischel89,[AZO] AZOZ,7759721
61,jobcenter FFM,[AZO] AZOZ,7641200
62,DaliborDaki,[AZO] AZOZ,7587700
63,Pawelte,[AZO] AZOZ,7535925
64,Last Arti,[AZO] AZOZ,7487300
65,sunny75,[AZO] AZOZ,7482850
66,Swe Sandman,[AZO] AZOZ,7434850
67,Jimi777,[AZO] AZOZ,7427825
68,Mac1902,[AZO] AZOZ,7417925
69,Marshalfery,[AZO] AZOZ,7355653
70,Sanya Longer,[AZO] AZOZ,7332325
71,Lilien1999,[AZO] AZOZ,7326300
72,Mel Lyn,[AZO] AZOZ,7302525
73,DooYooDoo,[AZO] AZOZ,7294050
74,Cheesynator,[AZO] AZOZ,7281575
75,Pinsel20,[AZO] AZOZ,7253175
76,LatastrophenUlli,[AZO] AZOZ,7242900
77,ECSI,[AZO] AZOZ,7222275
78,GaaGol,[AZO] AZOZ,7209050
79,MG Mayo,[AZO] AZOZ,7208375
80,K E R S Y,[AZO] AZOZ,7099050
81,Christo30,[AZO] AZOZ,6892850
82,Dragon blou,[AZO] AZOZ,6598750
83,azerty57,[AZO] AZOZ,5839300
84,케포 부인,[AZO] AZOZ,5824275
85,Last Wolf Warrior,[AZO] AZOZ,5759450
86,EXITUS,[AZO] AZOZ,5386650
87,FATUUM,[AZO] AZOZ,5195150
88,Peridakles,[AZO] AZOZ,5024150
89,Bestia77,[AZO] AZOZ,5002150
90,Yama Arashi,[AZO] AZOZ,4989025
91,The Pharo 2026,[AZO] AZOZ,4554765
92,Toby Urbex,[AZO] AZOZ,4516900
93,K u r d o,[AZO] AZOZ,4480893
94,Kpiftw,[AZO] AZOZ,4255400
95,VxClicker,[AZO] AZOZ,3279000
96,yyyyyyyvhhhnmll,[AZO] AZOZ,2457375
