position,name,points
1,Li La LiNuS,137486786
2,Baba Basti,133705473
3,UMY Stern,127073712
4,Kotor47,118975413
5,Fran171526,100503630
6,Fürst der Nazgúl,99128513
7,RAV28,96718147
8,SNEAKY BUNNY,92070242
9,MrSajmonn,85880108
10,cappu97,81697058
11,BugaBoo,78710248
12,Bogo und Pini,78142688
13,Haulsen,77351496
14,IefueT,77251522
15,Jacob Carter,75233724
16,SmartesGirl,74047701
17,Peridakles,73384628
18,supi pupi,73168347
19,jobcenter FFM,72218502
20,Gordon Freimann,70745578
21,Marshalfery,70291445
22,JSheridan,68952906
23,Kytrider,68453205
24,2 s t y,68223962
25,Sügarpüff,68136382
26,Smowy,67837939
27,Feivel D Maus,67240490
28,Queen from AZO,66719174
29,K E R S Y,66419711
30,DragonWiz,65783439
31,Jónny666,65749582
32,SNPOL,65416089
33,Himbeertony,65014039
34,ozzy5255,63387789
35,Dejweed,62331672
36,Giorgiotown,61182157
37,Tom12234455,60992085
38,Cluster82,59977293
39,fffeyz,59618728
40,CalziferFire,58804227
41,SamoZlo,57594915
42,CërëålKïllêr,57339470
43,Swe Sandman,57152199
44,DaliborDaki,57053478
45,feimel,56961855
46,Aenwe,56892881
47,PHOENIX FOX,56714201
48,Fürstin Elora,55959142
49,Svela17,55914522
50,Sphere8472,54941797
51,MiepStreet,54297011
52,haasenpeter rex,54281562
53,MetauChopf,52514695
54,Pawelte,51647419
55,Dr Cal Lightman,51543700
56,Tyskie 66,51208865
57,Skywölkchen,50423662
58,Lilien1999,50351316
59,Schlabberbacke,49849075
60,MG Mayo,49282492
61,Xambash,48971744
62,Hhjjjjcg,48687647
63,Last Arti,48529362
64,케포 부인,48448804
65,sunny75,48364049
66,Cheesynator,47327708
67,Dragon blou,47276673
68,azerty57,46478302
69,Sultan Murat X,45191693
70,Katerina77,44796126
71,EXITUS,44495693
72,Christo30,43974264
73,jukata,41756809
74,Z4ID,41495480
75,LatastrophenUlli,41048988
76,Jimi777,40485470
77,ECSI,40174928
78,Sanya Longer,40138571
79,Yama Arashi,39893012
80,Mel Lyn,39875356
81,Kpiftw,38821629
82,Last Wolf Warrior,38153752
83,Mischel89,37960623
84,Pinsel20,37367373
85,Mac1902,36912787
86,Bestia77,36200638
87,K u r d o,35698835
88,Leijonamieli,34731105
89,GaaGol,34151064
90,DooYooDoo,33913309
91,FATUUM,32794313
92,The Pharo 2026,31663743
93,Toby Urbex,28232702
94,VxClicker,26376296
95,yyyyyyvhhnmll,24630937
