Position,Name,Points
1,[AZO]Feivel D MauS,3135425
2,[AZO]Gordon Freimann,2149200
3,[AZO]Smowy,1960740
4,[AZO]UMY Stern,1823107
5,[AZO]Baba Basti,1817180
6,[AZO]2 s t y,1695243
7,[AZO]Bugab0o,1607334
8,[AZO]haasenpeter rex,1118945
9,[AZO]Cluster82,1005489
10,[AZO]JSheridan,982409
11,[AZO]Svela17,946401
12,[AZO]Skywölkchen,914918
13,[AZO]PHOENIX FOX,844471
14,[AZO]RAV28,554173
15,[AZO]fffeyz,547749
16,[AZO]Mac1902,545973
17,[AZO]DaliborDaki,538567
18,[AZO]CalziferFire,204327
19,[AZO]Sanya Longer,196820
20,[AZO]Dr Cal Lightman,173472
21,[AZO]Katerina77,173003
22,[AZO]azerty57,142330
23,[AZO]Dragon blou,126881
24,[AZO]Marshalfery,92920
