position,name,rank,points
1,azerty57,R2,100850
2,cappu97,R4,82950
3,Bugab0o,R3,77500
4,Last Wolf Warrior,R2,72250
5,PHOENIX FOX,R4,65800
6,Svela17,R3,65250
7,Queen from AZO,R5,63450
8,Smowy,R4,63300
9,Gordon Freimann,R3,62250
10,KERSY,R3,60750
11,Jónny666,R3,60400
12,jukata,R2,58700
13,Skywölkchen,R4,57450
14,SNPOL,R3,54700
15,Sanya Longer,R2,54450
16,Li La LiNuS,R3,54350
17,ECSI,R2,53800
18,Kotor47,R3,53300
19,supi pupi,R4,53000
20,jobcenter FFM,R3,51700
21,RAV28,R3,51050
22,Toby Urbex,R1,50700
23,Jimi777,R2,49500
24,Schlabberbacke,R4,49200
25,Kpiftw,R2,49100
26,sunny75,R3,48400
27,Fürst der Nazgûl,R4,48400
28,Giorgiotown,R3,48150
29,SamoZlo,R3,48000
30,DragonWiz,R3,47550
31,lefueT,R3,47400
32,fffeyz,R3,47350
33,Haulsen,R3,47300
34,Christo30,R2,47200
35,feimel,R3,46950
36,JSheridan,R4,46250
37,Pawelte,R2,46150
38,Cluster82,R3,46050
39,MetauChopf,R3,46000
40,Fürstin Elora,R3,46000
41,Fran171526,R3,45900
42,SmartesGirl,R4,45800
43,MrSajmonn,R3,45550
44,2 s t y,R3,45350
45,케프 부인,R2,45200
46,Pinsel20,R2,44950
47,FATUUM,R2,44900
48,SNEAKY BUNNY,R3,44650
49,DaliborDaki,R3,44600
50,Peridakles,R3,44550
51,Aenwe,R3,44200
52,Bogo und Pini,R3,43900
53,Jacob Carter,R3,43700
54,MG Mayo,R2,43650
55,EXITUS,R2,43250
56,MiepStreet,R3,43100
57,CalziferFire,R3,43000
58,Dragon blou,R3,42850
59,Katerina77,R2,42650
60,Dr Cal Lightman,R2,41900
61,Leijonamieli,R2,41750
62,Tom12234455,R3,41700
63,Baba Basti,R3,41550
64,Kurdo,R2,41150
65,Bestia77,R3,40950
66,Last Arti,R2,40600
67,UMY Stern,R3,40300
68,Cheesynator,R2,40050
69,ozzy5255,R3,39900
70,Marshalfery,R3,39700
71,Himbeertony,R3,39600
72,Mac1902,R2,38900
73,Tyskie 66,R2,38700
74,haasenpeter rex,R3,38500
75,GaaGol,R2,37950
76,Kytrider,R4,37250
77,LatastrophenUlli,R2,34250
78,The Pharo 2026,R1,34150
79,Dejweed,R3,34000
80,Sphere8472,R3,33800
81,Feivel D MauS,R3,33500
82,Mel Lyn,R2,33150
83,Sultan Murat X,R2,32950
84,CërêålKillêr,R3,30500
85,Z4ID,R2,30450
86,yyyyyyvhhnmll,R1,29050
87,Hhjjjjcg,R3,27250
88,VxClicker,R1,25250
89,Lilien1999,R2,24800
90,Mischel89,R2,19950
91,Xambash,R2,15400
92,MacRoM,R1,0
93,R2DrehZwo,R1,0
